Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0.076172	1.12298	0.076172	1.81483	0.076172	5.34243
0.07666	1.12419	0.07666	1.81462	0.07666	5.342
0.077148	1.12681	0.077148	1.8144	0.077148	5.34244
0.077637	1.12339	0.077637	1.81452	0.077637	5.34202
0.078125	1.12371	0.078125	1.81424	0.078125	5.34135
0.078613	1.12494	0.078613	1.81441	0.078613	5.34256
0.079102	1.12169	0.079102	1.8146	0.079102	5.34143
0.07959	1.11945	0.07959	1.81426	0.07959	5.34326
0.080078	1.12017	0.080078	1.81462	0.080078	5.3428
0.080566	1.12197	0.080566	1.81508	0.080566	5.3423
0.081055	1.12277	0.081055	1.81473	0.081055	5.34239
0.081543	1.12317	0.081543	1.81476	0.081543	5.34178
0.082031	1.12596	0.082031	1.81518	0.082031	5.34192
0.08252	1.12407	0.08252	1.81562	0.08252	5.34161
0.083008	1.12151	0.083008	1.81522	0.083008	5.34257
0.083496	1.12104	0.083496	1.81492	0.083496	5.34199
0.083984	1.12234	0.083984	1.81516	0.083984	5.34192
0.084473	1.12099	0.084473	1.81505	0.084473	5.34363
0.084961	1.11986	0.084961	1.81552	0.084961	5.34327
0.085449	1.121	0.085449	1.81525	0.085449	5.3425
0.085937	1.11951	0.085937	1.81484	0.085937	5.34236
0.086426	1.12225	0.086426	1.81499	0.086426	5.34207
0.086914	1.12338	0.086914	1.81501	0.086914	5.34174
0.087402	1.12525	0.087402	1.81532	0.087402	5.3418
0.087891	1.12776	0.087891	1.81581	0.087891	5.34144
0.088379	1.12831	0.088379	1.81564	0.088379	5.3433
0.088867	1.12412	0.088867	1.81528	0.088867	5.34262
0.089355	1.12047	0.089355	1.81548	0.089355	5.34245
0.089844	1.12503	0.089844	1.81505	0.089844	5.3421
0.090332	1.12543	0.090332	1.8148	0.090332	5.34274
0.09082	1.12622	0.09082	1.81431	0.09082	5.34262
0.091309	1.12244	0.091309	1.8142	0.091309	5.34162
0.091797	1.12115	0.091797	1.81453	0.091797	5.34271
0.092285	1.12048	0.092285	1.81445	0.092285	5.34186
0.092773	1.12104	0.092773	1.81421	0.092773	5.34077
0.093262	1.12346	0.093262	1.81364	0.093262	5.34266
0.09375	1.12272	0.09375	1.81355	0.09375	5.34156
0.094238	1.12303	0.094238	1.81321	0.094238	5.34193
0.094727	1.12121	0.094727	1.81322	0.094727	5.3427
0.095215	1.12297	0.095215	1.81358	0.095215	5.34198
0.095703	1.12147	0.095703	1.8145	0.095703	5.34229
0.096191	1.12338	0.096191	1.81475	0.096191	5.34304
0.09668	1.12253	0.09668	1.81488	0.09668	5.34234
0.097168	1.12313	0.097168	1.81465	0.097168	5.34266
0.097656	1.12282	0.097656	1.81458	0.097656	5.34162
0.098145	1.12404	0.098145	1.8142	0.098145	5.34156
0.098633	1.12291	0.098633	1.8136	0.098633	5.34218
0.099121	1.12023	0.099121	1.81361	0.099121	5.34201
0.099609	1.1203	0.099609	1.81402	0.099609	5.34277
0.100098	1.1196	0.100098	1.81413	0.100098	5.34347
0.100586	1.12134	0.100586	1.81407	0.100586	5.3422
0.101074	1.12478	0.101074	1.81415	0.101074	5.34184
0.101562	1.12249	0.101562	1.81443	0.101562	5.34271
0.102051	1.11769	0.102051	1.81452	0.102051	5.34222
0.102539	1.11932	0.102539	1.81501	0.102539	5.34264
0.103027	1.12171	0.103027	1.8152	0.103027	5.34234
0.103516	1.1185	0.103516	1.81511	0.103516	5.34198
0.104004	1.11703	0.104004	1.81527	0.104004	5.34167
0.104492	1.11996	0.104492	1.81545	0.104492	5.34096
0.10498	1.12058	0.10498	1.81579	0.10498	5.34227
0.105469	1.12281	0.105469	1.8157	0.105469	5.34112
0.105957	1.11994	0.105957	1.81619	0.105957	5.34195
0.106445	1.12211	0.106445	1.81626	0.106445	5.34142
0.106934	1.11872	0.106934	1.81659	0.106934	5.34116
0.107422	1.11786	0.107422	1.81657	0.107422	5.34201
0.10791	1.12092	0.10791	1.81671	0.10791	5.34102
0.108398	1.118	0.108398	1.81664	0.108398	5.3414
0.108887	1.11821	0.108887	1.81672	0.108887	5.34145
0.109375	1.12062	0.109375	1.81638	0.109375	5.34125
0.109863	1.12084	0.109863	1.81607	0.109863	5.34103
0.110352	1.11807	0.110352	1.81606	0.110352	5.34119
0.11084	1.11555	0.11084	1.81541	0.11084	5.34119
0.111328	1.11875	0.111328	1.81512	0.111328	5.34069
0.111816	1.1193	0.111816	1.81498	0.111816	5.34086
0.112305	1.12002	0.112305	1.81517	0.112305	5.34156
0.112793	1.1203	0.112793	1.81477	0.112793	5.34092
0.113281	1.11829	0.113281	1.81446	0.113281	5.34136
0.11377	1.12223	0.11377	1.81367	0.11377	5.34125
0.114258	1.12114	0.114258	1.81339	0.114258	5.3404
0.114746	1.12096	0.114746	1.81339	0.114746	5.34042
0.115234	1.12294	0.115234	1.81298	0.115234	5.34111
0.115723	1.12371	0.115723	1.81298	0.115723	5.34031
0.116211	1.11808	0.116211	1.81338	0.116211	5.34135
0.116699	1.1188	0.116699	1.81378	0.116699	5.34146
0.117187	1.1191	0.117187	1.81407	0.117187	5.34083
0.117676	1.12059	0.117676	1.81442	0.117676	5.34057
0.118164	1.11981	0.118164	1.81452	0.118164	5.34021
0.118652	1.12064	0.118652	1.81455	0.118652	5.34073
0.119141	1.12171	0.119141	1.81435	0.119141	5.34132
0.119629	1.11813	0.119629	1.81439	0.119629	5.34059
0.120117	1.11931	0.120117	1.81449	0.120117	5.34004
0.120605	1.12081	0.120605	1.81462	0.120605	5.33982
0.121094	1.12161	0.121094	1.81458	0.121094	5.34061
0.121582	1.11902	0.121582	1.81489	0.121582	5.3392
0.12207	1.12052	0.12207	1.81522	0.12207	5.33974
0.122559	1.12125	0.122559	1.81527	0.122559	5.34017
0.123047	1.12061	0.123047	1.81509	0.123047	5.34019
0.123535	1.11981	0.123535	1.81525	0.123535	5.3397
0.124023	1.1205	0.124023	1.81524	0.124023	5.33938
0.124512	1.11788	0.124512	1.815	0.124512	5.33947
0.125	1.12136	0.125	1.81485	0.125	5.3397
0.125488	1.12209	0.125488	1.81484	0.125488	5.3398
0.125977	1.12051	0.125977	1.81493	0.125977	5.33974
0.126465	1.12583	0.126465	1.81496	0.126465	5.34014
0.126953	1.12527	0.126953	1.81473	0.126953	5.33902
0.127441	1.125	0.127441	1.81508	0.127441	5.33966
0.12793	1.12023	0.12793	1.81515	0.12793	5.33967
0.128418	1.12052	0.128418	1.81533	0.128418	5.33854
0.128906	1.12081	0.128906	1.81524	0.128906	5.33949
0.129395	1.11963	0.129395	1.81533	0.129395	5.33948
0.129883	1.12303	0.129883	1.81543	0.129883	5.33891
0.130371	1.12059	0.130371	1.81528	0.130371	5.3385
0.130859	1.12112	0.130859	1.81529	0.130859	5.33904
0.131348	1.12054	0.131348	1.81543	0.131348	5.33838
0.131836	1.12251	0.131836	1.81576	0.131836	5.33885
0.132324	1.12178	0.132324	1.81576	0.132324	5.33891
0.132812	1.12398	0.132812	1.81573	0.132812	5.33878
0.133301	1.12266	0.133301	1.81535	0.133301	5.33989
0.133789	1.12173	0.133789	1.81504	0.133789	5.33871
0.134277	1.12349	0.134277	1.81499	0.134277	5.33925
0.134766	1.1228	0.134766	1.81495	0.134766	5.33933
0.135254	1.12542	0.135254	1.81506	0.135254	5.3381
0.135742	1.12422	0.135742	1.81531	0.135742	5.33743
0.13623	1.12456	0.13623	1.81554	0.13623	5.33863
0.136719	1.12455	0.136719	1.81534	0.136719	5.3383
0.137207	1.12094	0.137207	1.81507	0.137207	5.3398
0.137695	1.11828	0.137695	1.81498	0.137695	5.33883
0.138184	1.12349	0.138184	1.81498	0.138184	5.33969
0.138672	1.12378	0.138672	1.81465	0.138672	5.33884
0.13916	1.12329	0.13916	1.8146	0.13916	5.33886
0.139648	1.12175	0.139648	1.81493	0.139648	5.33854
0.140137	1.1194	0.140137	1.81486	0.140137	5.33815
0.140625	1.1228	0.140625	1.81488	0.140625	5.33899
0.141113	1.12538	0.141113	1.81501	0.141113	5.33881
0.141602	1.12079	0.141602	1.81491	0.141602	5.33856
0.14209	1.12091	0.14209	1.81487	0.14209	5.33926
0.142578	1.12351	0.142578	1.81488	0.142578	5.3392
0.143066	1.1215	0.143066	1.81439	0.143066	5.33935
0.143555	1.11829	0.143555	1.81407	0.143555	5.3389
0.144043	1.12147	0.144043	1.81414	0.144043	5.3391
0.144531	1.12159	0.144531	1.81422	0.144531	5.33966
0.14502	1.12207	0.14502	1.81382	0.14502	5.33781
0.145508	1.12196	0.145508	1.81355	0.145508	5.33895
0.145996	1.12267	0.145996	1.81415	0.145996	5.33999
0.146484	1.11931	0.146484	1.81456	0.146484	5.33939
0.146973	1.121	0.146973	1.81442	0.146973	5.33849
0.147461	1.1212	0.147461	1.8138	0.147461	5.33858
0.147949	1.11946	0.147949	1.81328	0.147949	5.33897
0.148437	1.12153	0.148437	1.81295	0.148437	5.34085
0.148926	1.12616	0.148926	1.8133	0.148926	5.33946
0.149414	1.12321	0.149414	1.81381	0.149414	5.33861
0.149902	1.1198	0.149902	1.8139	0.149902	5.3396
0.150391	1.12154	0.150391	1.81376	0.150391	5.33913
0.150879	1.12026	0.150879	1.81376	0.150879	5.33944
0.151367	1.12255	0.151367	1.81382	0.151367	5.33992
0.151855	1.12749	0.151855	1.81422	0.151855	5.33925
0.152344	1.12604	0.152344	1.81437	0.152344	5.33947
0.152832	1.12346	0.152832	1.81454	0.152832	5.33961
0.15332	1.12246	0.15332	1.81458	0.15332	5.3398
0.153809	1.12171	0.153809	1.81484	0.153809	5.34044
0.154297	1.11986	0.154297	1.81469	0.154297	5.34061
0.154785	1.12335	0.154785	1.81432	0.154785	5.34042
0.155273	1.12597	0.155273	1.81441	0.155273	5.34042
0.155762	1.12294	0.155762	1.81438	0.155762	5.34065
0.15625	1.12179	0.15625	1.81419	0.15625	5.33957
0.156738	1.12338	0.156738	1.81407	0.156738	5.3408
0.157227	1.12168	0.157227	1.81423	0.157227	5.33963
0.157715	1.12137	0.157715	1.81451	0.157715	5.33995
0.158203	1.12463	0.158203	1.81457	0.158203	5.34082
0.158691	1.12277	0.158691	1.81452	0.158691	5.3394
0.15918	1.12173	0.15918	1.81486	0.15918	5.34126
0.159668	1.12153	0.159668	1.81494	0.159668	5.33968
0.160156	1.12097	0.160156	1.81449	0.160156	5.34087
0.160645	1.12111	0.160645	1.81442	0.160645	5.34108
0.161133	1.12117	0.161133	1.81451	0.161133	5.34094
0.161621	1.11802	0.161621	1.81469	0.161621	5.3412
0.162109	1.12475	0.162109	1.81498	0.162109	5.34076
0.162598	1.12698	0.162598	1.81472	0.162598	5.34072
0.163086	1.12223	0.163086	1.81487	0.163086	5.3407
0.163574	1.12185	0.163574	1.81492	0.163574	5.34141
0.164062	1.12423	0.164062	1.8152	0.164062	5.34153
0.164551	1.12586	0.164551	1.81506	0.164551	5.34043
0.165039	1.12335	0.165039	1.81481	0.165039	5.34149
0.165527	1.12101	0.165527	1.81512	0.165527	5.34116
0.166016	1.12475	0.166016	1.81538	0.166016	5.34258
0.166504	1.12386	0.166504	1.81527	0.166504	5.34143
0.166992	1.12432	0.166992	1.81512	0.166992	5.34058
0.16748	1.12614	0.16748	1.81523	0.16748	5.34118
0.167969	1.12229	0.167969	1.81545	0.167969	5.34119
0.168457	1.12084	0.168457	1.81519	0.168457	5.34149
0.168945	1.1241	0.168945	1.81492	0.168945	5.34117
0.169434	1.12413	0.169434	1.81449	0.169434	5.34154
0.169922	1.12067	0.169922	1.81428	0.169922	5.34169
0.17041	1.12152	0.17041	1.81401	0.17041	5.34157
0.170898	1.12209	0.170898	1.81437	0.170898	5.3422
0.171387	1.1237	0.171387	1.81459	0.171387	5.34174
0.171875	1.12475	0.171875	1.81419	0.171875	5.34142
0.172363	1.12499	0.172363	1.81392	0.172363	5.34105
0.172852	1.12105	0.172852	1.81347	0.172852	5.34187
0.17334	1.12127	0.17334	1.81276	0.17334	5.34252
0.173828	1.12478	0.173828	1.81211	0.173828	5.34167
0.174316	1.12302	0.174316	1.81161	0.174316	5.34282
0.174805	1.11985	0.174805	1.81139	0.174805	5.34253
0.175293	1.11868	0.175293	1.81166	0.175293	5.34216
0.175781	1.12037	0.175781	1.81184	0.175781	5.34277
0.17627	1.12095	0.17627	1.81142	0.17627	5.34267
0.176758	1.12355	0.176758	1.81139	0.176758	5.34183
0.177246	1.12246	0.177246	1.81098	0.177246	5.34232
0.177734	1.12107	0.177734	1.8109	0.177734	5.34201
0.178223	1.12139	0.178223	1.81122	0.178223	5.34268
0.178711	1.12411	0.178711	1.81196	0.178711	5.3426
0.179199	1.12256	0.179199	1.81218	0.179199	5.34339
0.179687	1.12456	0.179687	1.81206	0.179687	5.34208
0.180176	1.12244	0.180176	1.81191	0.180176	5.34226
0.180664	1.12409	0.180664	1.81188	0.180664	5.34162
0.181152	1.12483	0.181152	1.81202	0.181152	5.34363
0.181641	1.1235	0.181641	1.81171	0.181641	5.34228
0.182129	1.12365	0.182129	1.81182	0.182129	5.34309
0.182617	1.12034	0.182617	1.81155	0.182617	5.34277
