Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
3	1.12195	3	2.29282	3	0
3.000488	1.12363	3.000488	2.29276	3.000488	0
3.000977	1.1233	3.000977	2.2928	3.000977	0
3.001465	1.1211	3.001465	2.29274	3.001465	0
3.001953	1.12147	3.001953	2.29271	3.001953	0
3.002441	1.12207	3.002441	2.29275	3.002441	0
3.00293	1.12221	3.00293	2.29278	3.00293	0
3.003418	1.12167	3.003418	2.29277	3.003418	0
3.003906	1.12023	3.003906	2.29277	3.003906	0
3.004395	1.11982	3.004395	2.29277	3.004395	0
3.004883	1.12048	3.004883	2.29272	3.004883	0
3.005371	1.12174	3.005371	2.29275	3.005371	0
3.005859	1.12061	3.005859	2.29277	3.005859	0
3.006348	1.11856	3.006348	2.29278	3.006348	0
3.006836	1.11981	3.006836	2.29273	3.006836	0
3.007324	1.11889	3.007324	2.29278	3.007324	0
3.007812	1.11877	3.007812	2.2927	3.007812	0
3.008301	1.12161	3.008301	2.29279	3.008301	0
3.008789	1.12374	3.008789	2.29278	3.008789	0
3.009277	1.11922	3.009277	2.2928	3.009277	0
3.009766	1.11992	3.009766	2.29277	3.009766	0
3.010254	1.12219	3.010254	2.29279	3.010254	0
3.010742	1.1204	3.010742	2.29279	3.010742	0
3.01123	1.12264	3.01123	2.29281	3.01123	0
3.011719	1.12064	3.011719	2.29279	3.011719	0
3.012207	1.12144	3.012207	2.29278	3.012207	0
3.012695	1.12052	3.012695	2.2928	3.012695	0
3.013184	1.11615	3.013184	2.2928	3.013184	0
3.013672	1.11982	3.013672	2.29284	3.013672	0
3.01416	1.11841	3.01416	2.2928	3.01416	0
3.014648	1.11915	3.014648	2.29283	3.014648	0
3.015137	1.1187	3.015137	2.29281	3.015137	0
3.015625	1.1233	3.015625	2.29282	3.015625	0
3.016113	1.12338	3.016113	2.29276	3.016113	0
3.016602	1.12028	3.016602	2.29283	3.016602	0
3.01709	1.1183	3.01709	2.29281	3.01709	0
3.017578	1.12087	3.017578	2.29281	3.017578	0
3.018066	1.12254	3.018066	2.29279	3.018066	0
3.018555	1.12245	3.018555	2.29278	3.018555	0
3.019043	1.12384	3.019043	2.29277	3.019043	0
3.019531	1.12068	3.019531	2.29274	3.019531	0
3.02002	1.12245	3.02002	2.29274	3.02002	0
3.020508	1.12363	3.020508	2.29275	3.020508	0
3.020996	1.12555	3.020996	2.2928	3.020996	0
3.021484	1.12322	3.021484	2.29277	3.021484	0
3.021973	1.12135	3.021973	2.29278	3.021973	0
3.022461	1.12187	3.022461	2.29279	3.022461	0
3.022949	1.1226	3.022949	2.29281	3.022949	0
3.023437	1.12254	3.023437	2.29277	3.023437	0
3.023926	1.12111	3.023926	2.2928	3.023926	0
