Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0.147949	1.11957	0.147949	2.285	0.147949	0.273814
0.148437	1.12304	0.148437	2.28491	0.148437	0.275938
0.148926	1.1225	0.148926	2.28491	0.148926	0.275681
0.149414	1.12206	0.149414	2.2849	0.149414	0.276511
0.149902	1.12244	0.149902	2.28493	0.149902	0.276664
0.150391	1.12491	0.150391	2.28492	0.150391	0.27473
0.150879	1.12218	0.150879	2.28492	0.150879	0.274698
0.151367	1.12189	0.151367	2.2849	0.151367	0.275034
0.151855	1.12195	0.151855	2.28494	0.151855	0.275452
0.152344	1.12098	0.152344	2.28498	0.152344	0.274765
0.152832	1.12293	0.152832	2.28495	0.152832	0.276096
0.15332	1.1229	0.15332	2.28488	0.15332	0.274218
0.153809	1.12223	0.153809	2.28496	0.153809	0.276496
0.154297	1.12146	0.154297	2.28494	0.154297	0.275799
0.154785	1.12497	0.154785	2.28498	0.154785	0.275849
0.155273	1.12584	0.155273	2.28497	0.155273	0.275177
0.155762	1.12448	0.155762	2.28498	0.155762	0.274959
0.15625	1.12375	0.15625	2.285	0.15625	0.275559
0.156738	1.12022	0.156738	2.28501	0.156738	0.274733
0.157227	1.12324	0.157227	2.28498	0.157227	0.274862
0.157715	1.1238	0.157715	2.28494	0.157715	0.274705
0.158203	1.12274	0.158203	2.2849	0.158203	0.275248
0.158691	1.12245	0.158691	2.28491	0.158691	0.274726
0.15918	1.12175	0.15918	2.28491	0.15918	0.275448
0.159668	1.11954	0.159668	2.28499	0.159668	0.274444
0.160156	1.12037	0.160156	2.28494	0.160156	0.275073
0.160645	1.1208	0.160645	2.28494	0.160645	0.275684
0.161133	1.11858	0.161133	2.28492	0.161133	0.275105
0.161621	1.11857	0.161621	2.28493	0.161621	0.274744
0.162109	1.1224	0.162109	2.28493	0.162109	0.274537
0.162598	1.12411	0.162598	2.28489	0.162598	0.274855
0.163086	1.12073	0.163086	2.28495	0.163086	0.27468
0.163574	1.12434	0.163574	2.28494	0.163574	0.275695
0.164062	1.12116	0.164062	2.28494	0.164062	0.274873
0.164551	1.12348	0.164551	2.28494	0.164551	0.275409
0.165039	1.12143	0.165039	2.28492	0.165039	0.275949
0.165527	1.12429	0.165527	2.28495	0.165527	0.275895
0.166016	1.12436	0.166016	2.28497	0.166016	0.275495
0.166504	1.12141	0.166504	2.28491	0.166504	0.275838
0.166992	1.12182	0.166992	2.28492	0.166992	0.275949
0.16748	1.12118	0.16748	2.28493	0.16748	0.274937
0.167969	1.12217	0.167969	2.28495	0.167969	0.275756
0.168457	1.12277	0.168457	2.28497	0.168457	0.274841
0.168945	1.12084	0.168945	2.28496	0.168945	0.275928
0.169434	1.11922	0.169434	2.2849	0.169434	0.274647
0.169922	1.12069	0.169922	2.28495	0.169922	0.275484
0.17041	1.11973	0.17041	2.28491	0.17041	0.27621
0.170898	1.12233	0.170898	2.28498	0.170898	0.274723
0.171387	1.12308	0.171387	2.28494	0.171387	0.275946
0.171875	1.12068	0.171875	2.28497	0.171875	0.274858
0.172363	1.1208	0.172363	2.2849	0.172363	0.275892
0.172852	1.12151	0.172852	2.28483	0.172852	0.275838
0.17334	1.123	0.17334	2.28499	0.17334	0.27641
0.173828	1.12052	0.173828	2.28487	0.173828	0.274415
0.174316	1.12113	0.174316	2.28495	0.174316	0.276936
0.174805	1.11969	0.174805	2.28494	0.174805	0.275588
0.175293	1.1195	0.175293	2.28491	0.175293	0.275134
0.175781	1.12185	0.175781	2.28491	0.175781	0.275563
0.17627	1.12503	0.17627	2.28495	0.17627	0.27586
0.176758	1.12747	0.176758	2.28495	0.176758	0.276679
0.177246	1.12531	0.177246	2.28491	0.177246	0.275509
0.177734	1.12387	0.177734	2.28493	0.177734	0.275817
0.178223	1.12193	0.178223	2.28494	0.178223	0.275413
0.178711	1.11883	0.178711	2.28492	0.178711	0.276035
0.179199	1.1206	0.179199	2.28495	0.179199	0.275559
0.179687	1.1197	0.179687	2.2849	0.179687	0.275917
0.180176	1.12232	0.180176	2.28492	0.180176	0.274812
0.180664	1.12183	0.180664	2.28497	0.180664	0.276192
0.181152	1.12427	0.181152	2.28488	0.181152	0.275119
0.181641	1.12375	0.181641	2.28492	0.181641	0.275481
0.182129	1.1237	0.182129	2.28494	0.182129	0.275491
0.182617	1.12222	0.182617	2.28489	0.182617	0.276396
0.183105	1.124	0.183105	2.28492	0.183105	0.275863
0.183594	1.12156	0.183594	2.28496	0.183594	0.275645
0.184082	1.12344	0.184082	2.28498	0.184082	0.27533
0.18457	1.12212	0.18457	2.28495	0.18457	0.276185
0.185059	1.12112	0.185059	2.28494	0.185059	0.274683
0.185547	1.11957	0.185547	2.2849	0.185547	0.276128
0.186035	1.12082	0.186035	2.28499	0.186035	0.275845
0.186523	1.12104	0.186523	2.28493	0.186523	0.275806
0.187012	1.12243	0.187012	2.28491	0.187012	0.274944
0.1875	1.12477	0.1875	2.2849	0.1875	0.2764
0.187988	1.12328	0.187988	2.28491	0.187988	0.275145
0.188477	1.12336	0.188477	2.28492	0.188477	0.273886
