Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
340,479,496,512,729,1256
341,479,499,519,731,1260
342,479,490,505,732,1256
343,479,478,483,734,1264
344,479,465,455,735,1260
345,479,453,429,737,1272
346,479,449,420,738,1260
347,479,453,426,739,1272
348,479,463,443,741,1260
349,479,473,464,742,1264
350,479,486,488,744,1256
351,479,495,508,745,1256
352,479,499,519,747,1256
353,479,493,509,748,1256
354,479,459,452,752,3984
355,479,449,427,754,1256
356,479,451,425,755,1256
357,479,459,437,757,1264
358,479,469,455,758,1256
359,479,481,479,760,1272
360,479,492,502,761,1256
361,479,498,517,762,1272
362,479,497,516,764,1256
363,479,485,497,765,1256
364,479,473,471,768,1260
365,479,460,444,769,1256
366,479,450,421,771,1268
367,479,451,421,772,1256
368,479,457,433,774,1268
369,479,467,450,775,1256
370,479,479,474,776,1272
371,479,491,499,778,1256
372,479,498,516,779,1272
373,479,498,519,781,2816
374,479,485,493,784,1252
375,479,466,457,785,1256
376,479,452,428,787,1256
377,479,450,422,788,1256
378,479,455,430,790,1264
379,479,465,446,791,1256
380,479,477,470,793,1272
381,479,488,494,794,1256
382,479,497,513,795,1272
383,479,500,520,797,1256
384,479,491,506,798,1256
385,479,479,484,800,1256
386,479,465,455,801,1256
387,479,453,429,803,1264
388,479,449,420,804,1260
389,479,453,425,806,1264
390,479,463,442,807,1260
391,479,473,464,808,1268
392,479,486,488,811,1260
393,479,495,554,814,3092
394,479,499,524,816,1260
395,479,482,493,817,1260
396,479,465,460,819,1272
397,479,453,432,820,1260
398,479,448,420,821,1268
399,479,453,425,823,1260
400,479,463,442,824,1260
401,479,474,464,826,1260
402,479,486,489,827,1256
403,479,495,510,829,1268
404,479,500,520,830,1260
405,479,493,509,832,1268
406,479,482,489,833,1260
407,479,468,461,834,1272
408,479,455,434,836,1256
409,479,449,420,837,1268
410,479,452,423,839,1260
411,479,461,438,840,1256
412,479,471,458,842,1260
413,479,504,511,845,3088
414,479,505,524,846,1268
415,479,496,512,848,1260
416,479,483,490,849,1260
417,479,468,462,851,1260
418,479,455,434,852,1256
419,479,449,420,855,1260
420,479,452,423,856,1256
421,479,461,438,858,1268
422,479,471,458,859,1260
423,479,484,483,860,1268
424,479,494,505,862,1260
425,479,500,520,863,1272
426,479,496,513,865,1260
427,479,484,495,866,1256
428,479,471,467,868,1260
429,479,457,439,869,1256
430,479,449,421,871,1268
431,479,451,422,872,1260
432,479,459,435,874,1272
433,479,482,476,877,1252
434,479,494,502,878,1256
435,479,500,518,880,1260
436,479,495,511,881,1256
437,479,483,493,883,1264
438,479,470,466,884,1260
439,479,457,438,886,1272
440,479,450,423,887,1260
441,479,453,426,888,1268
442,479,463,443,890,1260
443,479,473,463,891,1264
444,479,485,486,893,1260
445,479,494,507,894,1256
446,479,499,520,897,1260
447,479,495,513,898,1256
448,479,483,494,900,1264
449,479,472,468,901,1260
450,479,459,441,902,1272
451,479,450,421,904,1256
452,479,452,422,907,3176
453,479,462,444,909,1260
454,479,480,476,910,1256
455,479,493,502,912,1264
456,479,499,517,913,1256
457,479,494,510,915,1272
