today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD_KP=0.0045KI=0KD=0.000742,PITCH_MEAS,ROLL_CMD_KP0.0045KI=0KD=0.000742,ROLL_MEAS,YAW_CMDKPy=0.231KIy=0KDy=0,YAW_MEAS,
Thu Feb 15 18:54:56 2018,9206827,558.297,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,16,1036,16,28,30,-0.229843,-0.612916,-10.501,0.0532112,0.00532112,-0.0361836,39.7793,15.9047,48.5291,0.140846,41.3525,0.0704269,45.3418,2.38419e-07,-0.0361836,
Thu Feb 15 18:54:56 2018,9216828,558.297,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,14,1028,14,8,28,-0.0670376,-0.325611,-9.50498,-0.0670461,0.0319267,-0.0574681,39.7793,15.9047,48.5291,0.0704269,41.1221,0.0704269,44.641,2.38419e-07,-0.0574681,
Thu Feb 15 18:54:56 2018,9226829,558.297,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,14,1028,14,8,28,-0.0526724,-0.373495,-10.2615,0.0404405,0.0510828,0.00319267,39.7793,15.9047,48.5291,0.0704269,40.9329,0.0704269,43.9577,2.38419e-07,0.00319267,
Thu Feb 15 18:54:56 2018,9236830,558.01,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5112,14,1040,14,8,28,0.11971,-0.162806,-10.3046,-0.071303,0.0234129,-0.00744957,39.7793,15.9047,48.5291,0.140846,40.7059,0.0704269,43.2612,2.38419e-07,-0.00744957,
Thu Feb 15 18:54:56 2018,9246831,558.01,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5112,14,1040,14,8,28,-0.186748,-0.301669,-10.8649,0.0266056,0.00744957,0.00532112,39.7793,15.9047,48.5291,0.140846,40.484,0.0704269,42.5816,2.38419e-07,0.00532112,
Thu Feb 15 18:54:56 2018,9256832,558.01,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5130,20,1044,14,8,28,-0.699107,-0.215478,-9.72046,0.00957802,-0.032991,0.0223487,39.7793,15.9047,48.5291,0.140846,40.2033,0.0704269,41.9256,2.38419e-07,0.0223487,
Thu Feb 15 18:54:56 2018,9266833,558.01,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5130,20,1044,14,8,28,-0.59855,-0.402226,-10.2568,-0.0148991,0.042569,-0.0393763,39.7793,15.9047,48.5291,0.140846,39.957,0.0704269,41.2716,2.38419e-07,-0.0393763,
Thu Feb 15 18:54:56 2018,9276834,558.609,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5112,14,1036,10,8,28,0.258574,-0.354342,-10.477,-0.0127707,-0.0223487,-0.0989729,39.7793,15.9047,48.5291,0.140846,39.7461,0.0704269,40.5605,2.38419e-07,-0.0989729,
Thu Feb 15 18:54:56 2018,9286835,558.609,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5112,14,1036,10,8,28,0.632069,-0.464475,-10.4291,0.0106422,0.00212845,-0.0446974,39.7793,15.9047,48.5291,0.140846,39.5368,0.0704269,39.8977,2.38419e-07,-0.0446974,
Thu Feb 15 18:54:56 2018,9296836,558.609,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,16,1044,10,6,30,-0.0574608,-0.368707,-10.252,-0.00638535,-0.0415047,0.0553397,39.7793,15.9047,48.5291,0.140846,39.2628,0.0704269,39.2415,2.38419e-07,0.0553397,
Thu Feb 15 18:54:56 2018,9306837,558.609,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,16,1044,10,6,30,-0.713472,0.311246,-10.3477,-0.0798168,-0.0393763,0.032991,39.7793,15.9047,48.5291,0.0704269,38.9709,0.0704269,38.5775,2.38419e-07,0.032991,
Thu Feb 15 18:54:56 2018,9316838,558.609,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,18,1044,4,8,28,-0.708684,0.392649,-10.568,-0.0446974,-0.00638535,-0.0595966,39.7793,15.9047,48.5291,0.0704269,38.7122,0.0704269,37.8756,2.38419e-07,-0.0595966,
Thu Feb 15 18:54:56 2018,9326839,558.609,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,18,1044,4,8,28,0.0383072,-0.866701,-10.501,0.139413,-0.0340552,-0.124514,39.7793,15.9047,48.5291,0.0704269,38.4743,0.0704269,37.2431,2.38419e-07,-0.124514,
Thu Feb 15 18:54:56 2018,9336840,559.122,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,18,1038,4,30,12,0.00957681,-1.75734,-9.97424,0.094716,-0.116,-0.0127707,39.7793,15.9047,48.5291,0.0704269,38.1505,0.0704269,36.6873,2.38419e-07,-0.0127707,
Thu Feb 15 18:54:56 2018,9346841,559.122,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,18,1038,4,30,12,-0.497994,-0.612916,-9.17458,-0.109615,-0.0649177,0.140478,39.7793,15.9047,48.5291,0.140846,37.7741,0.0704269,36.0875,2.38419e-07,0.140478,
Thu Feb 15 18:54:56 2018,9356842,559.122,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,18,1054,6,8,28,-0.138864,0.991199,-10.908,-0.269249,0.0361836,0.0340552,39.7793,15.9047,48.5291,0.140846,37.4837,0.0704269,35.3425,2.38419e-07,0.0340552,
Thu Feb 15 18:54:56 2018,9366843,559.122,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,18,1054,6,8,28,0.651223,1.03908,-11.5688,0.0702388,-0.0723673,-0.17879,39.7793,15.9047,48.5291,0.140846,37.2914,0.0704269,34.6063,2.38419e-07,-0.17879,
Thu Feb 15 18:54:56 2018,9376844,557.914,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5118,16,1038,0,30,14,0.440533,-0.737414,-10.1275,0.268185,-0.188368,-0.118129,39.7793,15.9047,48.5291,0.0704269,37.0148,0.0704269,34.0204,2.38419e-07,-0.118129,
Thu Feb 15 18:54:56 2018,9386845,557.914,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5118,16,1038,0,30,14,-1.42694,-2.03028,-8.80587,0.0734315,-0.128771,0.0989729,40.8691,15.9047,48.8795,0.0704269,36.5546,0.0704269,33.5626,2.38419e-07,0.0989729,
Thu Feb 15 18:54:56 2018,9396846,557.914,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5124,18,1044,2,30,28,-0.646434,-1.00556,-10.1945,-0.255414,0.0117065,0.061725,40.8691,15.9047,48.8795,0.0704269,36.1528,0.0704269,32.9664,2.38419e-07,0.061725,
Thu Feb 15 18:54:56 2018,9406847,557.914,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5124,18,1044,2,30,28,1.29766,0.646434,-11.0756,-0.126643,-0.052147,-0.0766241,40.8691,15.9047,48.8795,0.0704269,35.9143,0.0704269,32.2187,2.38419e-07,-0.0766241,
Thu Feb 15 18:54:56 2018,9416848,557.914,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5122,20,1046,2,8,30,0.622492,1.09654,-10.7595,0.052147,-0.20646,0.0042569,40.8691,15.9047,48.8795,0.140846,35.6335,0.0704269,31.5263,2.38419e-07,0.0042569,
Thu Feb 15 18:54:56 2018,9426849,557.914,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5122,20,1046,2,8,30,-1.81959,-0.316035,-10.3717,0.15112,-0.221359,0.0553397,40.8691,15.9047,48.8795,0.140846,35.1969,0.0704269,30.9958,2.38419e-07,0.0553397,
Thu Feb 15 18:54:56 2018,9436850,558.496,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5122,16,1046,0,8,28,-1.29287,-1.64242,-9.98861,0.071303,-0.0862022,-0.129835,40.8691,15.9047,48.8795,0.0704269,34.7703,0.0704269,30.4979,2.38419e-07,-0.129835,
Thu Feb 15 18:54:56 2018,9446851,558.496,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5122,16,1046,0,8,28,1.24498,-1.37906,-9.40442,-0.0755599,-0.125578,-0.133028,40.8691,15.9047,48.8795,0.0704269,34.4493,0.0704269,29.8815,2.38419e-07,-0.133028,
Thu Feb 15 18:54:56 2018,9456852,558.496,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5118,16,1044,2,8,30,1.23541,0.296881,-9.99819,-0.201138,-0.168147,0.139413,40.8691,15.9047,48.8795,0.140846,34.1316,0.0704269,29.1666,2.38419e-07,0.139413,
Thu Feb 15 18:54:56 2018,9466853,558.496,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5118,16,1044,2,8,30,-0.986411,1.02951,-11.3342,-0.0787526,-0.205395,0.145799,40.8691,15.9047,48.8795,0.140846,33.7125,0.0704269,28.5178,2.38419e-07,0.145799,
