ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,E-Max. In-Plane Principal,E-Max. In-Plane Principal (Abs),       S-Mises,S-Max. In-Plane Principal
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            40,             1,  -663.543E-03,   913.773E-03,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   46.1309E-06,  -226.805E-06,   6.68899E+03,      -722.326
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            40,             2,  -645.241E-03,       1.00550,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   185.534E-06,  -266.534E-06,   9.19987E+03,   3.48045E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            40,             3,  -749.904E-03,   953.150E-03,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   53.9939E-06,  -491.089E-06,   14.3666E+03,  -3.07691E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            40,             4,  -745.490E-03,       1.01134,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   300.953E-06,  -550.920E-06,   17.8476E+03,   4.47287E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            41,             1,  -999.707E-03,       1.82245,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.64454E-03,   1.64454E-03,   49.7991E+03,   48.6935E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            41,             2,      -1.16496,       1.82474,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.64000E-03,   1.64000E-03,   49.5874E+03,   48.6564E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            41,             3,  -988.280E-03,       1.71634,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.68498E-03,   1.68498E-03,   51.0141E+03,   49.9035E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            41,             4,      -1.13182,       1.72487,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.68281E-03,   1.68281E-03,   50.8610E+03,   49.9536E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            42,             1,  -269.971E-03,       1.31989,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   823.328E-06,   823.328E-06,   24.6055E+03,   24.8468E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            42,             2,  -385.757E-03,       1.38561,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   853.623E-06,   853.623E-06,   25.9662E+03,   25.1281E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            42,             3,  -342.656E-03,       1.19104,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   737.676E-06,   737.676E-06,   22.0720E+03,   22.2200E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            42,             4,  -441.539E-03,       1.27978,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   746.874E-06,   746.874E-06,   22.8411E+03,   21.8414E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            43,             1,  -701.994E-03,       1.63625,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.47331E-03,   1.47331E-03,   44.9802E+03,   43.1738E+03
