Break (Standard) : Extension at Break (Standard),2.03373,mm

Time,Extension,Load,Tensile strain,Tensile stress,Displacement (Strain 2),Strain 2
(sec),(mm),(N),(mm/mm),(MPa),(mm),(mm/mm)
8.39800,0.35545,471.37437,0.03498,4.87932,0.06173,0.00247
8.43200,0.35705,476.54623,0.03514,4.93286,0.06152,0.00246
8.46600,0.35845,480.67555,0.03528,4.97560,0.06163,0.00247
8.50000,0.35984,484.03306,0.03542,5.01036,0.06114,0.00245
8.53400,0.36134,488.20870,0.03556,5.05358,0.06163,0.00247
8.56800,0.36273,493.52841,0.03570,5.10865,0.06158,0.00246
8.60200,0.36407,497.84303,0.03583,5.15331,0.06176,0.00247
8.63600,0.36552,501.70703,0.03598,5.19331,0.06129,0.00245
8.67000,0.36712,506.76741,0.03613,5.24569,0.06132,0.00245
8.70400,0.36852,511.53693,0.03627,5.29506,0.06158,0.00246
8.73800,0.36991,514.91892,0.03641,5.33006,0.06170,0.00247
8.77200,0.37141,518.75185,0.03656,5.36974,0.06162,0.00246
8.80600,0.37280,523.38375,0.03669,5.41769,0.06138,0.00246
8.84000,0.37414,527.47954,0.03683,5.46008,0.06133,0.00245
8.87400,0.37554,531.54191,0.03696,5.50213,0.06165,0.00247
8.90800,0.37714,536.73461,0.03712,5.55589,0.06163,0.00247
8.94200,0.37864,541.83455,0.03727,5.60868,0.06167,0.00247
8.97600,0.37998,545.40748,0.03740,5.64566,0.06134,0.00245
9.01000,0.38143,549.25511,0.03754,5.68549,0.06139,0.00246
9.04400,0.38287,553.96060,0.03768,5.73420,0.06157,0.00246
9.07800,0.38421,558.23039,0.03782,5.77839,0.06154,0.00246
9.11200,0.38561,561.59740,0.03795,5.81325,0.06162,0.00246
9.14600,0.38727,566.42661,0.03812,5.86323,0.06157,0.00246
9.18000,0.38871,571.68541,0.03826,5.91767,0.06114,0.00245
9.21400,0.39005,575.58797,0.03839,5.95807,0.06175,0.00247
9.24800,0.39155,579.43270,0.03854,5.99786,0.06139,0.00246
9.28200,0.39300,583.99715,0.03868,6.04511,0.06167,0.00247
9.31600,0.39434,587.99710,0.03881,6.08652,0.06171,0.00247
9.35000,0.39568,591.36054,0.03894,6.12133,0.06109,0.00244
9.38400,0.39729,596.27540,0.03910,6.17221,0.06166,0.00247
9.41800,0.39879,601.09148,0.03925,6.22206,0.06138,0.00246
9.45200,0.40018,605.37284,0.03939,6.26638,0.06186,0.00247
9.48600,0.40157,609.44600,0.03952,6.30854,0.06133,0.00245
9.52000,0.40302,614.20575,0.03967,6.35781,0.06154,0.00246
9.55400,0.40441,618.51287,0.03980,6.40239,0.06134,0.00245
9.58800,0.40575,622.06121,0.03994,6.43912,0.06146,0.00246
9.62200,0.40736,626.86935,0.04009,6.48889,0.06189,0.00248
9.65600,0.40886,632.67594,0.04024,6.54900,0.06132,0.00245
9.69000,0.41020,636.95692,0.04037,6.59331,0.06151,0.00246
9.72400,0.41170,640.90624,0.04052,6.63419,0.06136,0.00245
9.75800,0.41314,645.47287,0.04066,6.68146,0.06147,0.00246
9.79200,0.41454,649.59498,0.04080,6.72413,0.06180,0.00247
9.82600,0.41587,653.62964,0.04093,6.76590,0.06163,0.00247
9.86000,0.41743,658.21018,0.04109,6.81331,0.06116,0.00245
9.89400,0.41893,663.57471,0.04123,6.86884,0.06157,0.00246
9.92800,0.42027,667.39965,0.04136,6.90843,0.06148,0.00246
9.96200,0.42171,670.94827,0.04151,6.94517,0.06177,0.00247
9.99600,0.42321,675.59559,0.04165,6.99327,0.06163,0.00247
10.03000,0.42461,679.88986,0.04179,7.03772,0.06127,0.00245
10.06400,0.42589,683.33147,0.04192,7.07335,0.06134,0.00245
10.09800,0.42745,687.12803,0.04207,7.11265,0.06164,0.00247
10.13200,0.42900,692.50468,0.04222,7.16830,0.06163,0.00247
10.16600,0.43039,696.76850,0.04236,7.21244,0.06171,0.00247
10.20000,0.43179,700.22542,0.04250,7.24822,0.06122,0.00245
10.23400,0.43329,704.53573,0.04265,7.29284,0.06150,0.00246
10.26800,0.43468,708.49260,0.04278,7.33380,0.06138,0.00246
10.30200,0.43602,711.60112,0.04292,7.36598,0.06182,0.00247
10.33600,0.43752,715.30005,0.04306,7.40426,0.06176,0.00247
10.37000,0.43907,719.83019,0.04322,7.45116,0.06108,0.00244
10.40400,0.44046,723.82266,0.04335,7.49248,0.06167,0.00247
10.43800,0.44191,726.93586,0.04350,7.52471,0.06122,0.00245
10.47200,0.44336,730.96421,0.04364,7.56641,0.06189,0.00248
10.50600,0.44475,734.84514,0.04377,7.60658,0.06170,0.00247
10.54000,0.44604,738.11956,0.04390,7.64048,0.06132,0.00245
10.57400,0.44759,741.70226,0.04405,7.67756,0.06137,0.00245
10.60800,0.44914,746.74459,0.04421,7.72976,0.06140,0.00246
10.64200,0.45054,751.05367,0.04434,7.77436,0.06175,0.00247
10.67600,0.45193,754.23170,0.04448,7.80726,0.06168,0.00247
10.71000,0.45343,757.81686,0.04463,7.84437,0.06150,0.00246
10.74400,0.45482,761.85990,0.04477,7.88622,0.06127,0.00245
10.77800,0.45616,765.65880,0.04490,7.92554,0.06134,0.00245
10.81200,0.45766,769.36925,0.04505,7.96395,0.06188,0.00248
10.84600,0.45921,774.53149,0.04520,8.01738,0.06162,0.00246
10.88000,0.46066,779.09868,0.04534,8.06466,0.06151,0.00246
10.91400,0.46205,782.75587,0.04548,8.10252,0.06132,0.00245
10.94800,0.46350,786.72571,0.04562,8.14361,0.06143,0.00246
10.98200,0.46495,791.27764,0.04576,8.19073,0.06165,0.00247
11.01600,0.46629,794.98557,0.04589,8.22911,0.06179,0.00247
11.05000,0.46773,798.58711,0.04604,8.26639,0.06147,0.00246
11.08400,0.46934,803.65626,0.04619,8.31886,0.06122,0.00245
11.11800,0.47073,808.50754,0.04633,8.36908,0.06170,0.00247
11.15200,0.47207,812.30694,0.04646,8.40841,0.06126,0.00245
11.18600,0.47357,816.49102,0.04661,8.45172,0.06207,0.00248
11.22000,0.47502,821.46250,0.04675,8.50318,0.06122,0.00245
11.25400,0.47636,825.86261,0.04689,8.54873,0.06158,0.00246
11.28800,0.47780,829.68034,0.04703,8.58825,0.06125,0.00245
11.32200,0.47936,834.98184,0.04718,8.64312,0.06163,0.00247
11.35600,0.48080,840.62995,0.04732,8.70159,0.06174,0.00247
11.39000,0.48214,845.05375,0.04745,8.74738,0.06157,0.00246
11.42400,0.48364,850.16895,0.04760,8.80033,0.06137,0.00245
11.45800,0.48509,855.83545,0.04774,8.85898,0.06145,0.00246
11.49200,0.48643,861.36036,0.04788,8.91617,0.06149,0.00246
11.52600,0.48782,866.36994,0.04801,8.96803,0.06178,0.00247
11.56000,0.48943,873.01103,0.04817,9.03677,0.06157,0.00246
11.59400,0.49087,880.20243,0.04831,9.11121,0.06138,0.00246
11.62800,0.49227,886.36927,0.04845,9.17505,0.06158,0.00246
11.66200,0.49371,892.40184,0.04859,9.23749,0.06119,0.00245
11.69600,0.49516,899.15631,0.04874,9.30741,0.06206,0.00248
11.73000,0.49650,905.46694,0.04887,9.37273,0.06144,0.00246
11.76400,0.49789,911.15054,0.04901,9.43157,0.06144,0.00246
11.79800,0.49950,917.94809,0.04916,9.50193,0.06158,0.00246
11.83200,0.50100,925.91068,0.04931,9.58435,0.06125,0.00245
11.86600,0.50234,932.32037,0.04944,9.65070,0.06186,0.00247
11.90000,0.50379,938.19771,0.04959,9.71154,0.06146,0.00246
11.93400,0.50523,945.35988,0.04973,9.78568,0.06174,0.00247
11.96800,0.50657,951.81294,0.04986,9.85247,0.06113,0.00245
12.00200,0.50796,957.71044,0.05000,9.91352,0.06167,0.00247
12.03600,0.50957,964.55310,0.05015,9.98435,0.06170,0.00247
12.07000,0.51107,972.72534,0.05030,10.06894,0.06132,0.00245
12.10400,0.51241,979.20589,0.05043,10.13602,0.06195,0.00248
12.13800,0.51386,985.31004,0.05058,10.19921,0.06110,0.00244
12.17200,0.51530,992.37610,0.05072,10.27235,0.06167,0.00247
12.20600,0.51670,999.09067,0.05086,10.34186,0.06151,0.00246
12.24000,0.51804,1005.38224,0.05099,10.40698,0.06178,0.00247
12.27400,0.51964,1012.22131,0.05115,10.47778,0.06142,0.00246
12.30800,0.52114,1020.68737,0.05129,10.56541,0.06154,0.00246
12.34200,0.52254,1027.73197,0.05143,10.63833,0.06152,0.00246
12.37600,0.52393,1033.51090,0.05157,10.69815,0.06132,0.00245
12.41000,0.52537,1039.93524,0.05171,10.76465,0.06202,0.00248
12.44400,0.52677,1047.13853,0.05185,10.83921,0.06114,0.00245
12.47800,0.52811,1053.21206,0.05198,10.90208,0.06176,0.00247
12.51200,0.52966,1060.27376,0.05213,10.97518,0.06125,0.00245
12.54600,0.53121,1068.92455,0.05228,11.06473,0.06159,0.00246
12.58000,0.53255,1076.20798,0.05242,11.14012,0.06176,0.00247
12.61400,0.53400,1082.52089,0.05256,11.20547,0.06140,0.00246
12.64800,0.53545,1089.45385,0.05270,11.27723,0.06164,0.00247
12.68200,0.53684,1096.70676,0.05284,11.35231,0.06128,0.00245
12.71600,0.53812,1102.70429,0.05297,11.41439,0.06168,0.00247
12.75000,0.53973,1109.51666,0.05312,11.48491,0.06155,0.00246
12.78400,0.54129,1118.33744,0.05328,11.57621,0.06166,0.00247
12.81800,0.54268,1125.90875,0.05341,11.65459,0.06145,0.00246
12.85200,0.54407,1132.16165,0.05355,11.71931,0.06140,0.00246
