today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=0, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:46:20 2019,7901592,1040.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1234,0,28,28,2.64799,-0.205901,-9.29908,-0.0670461,0.607672,-0.071303,-30.2813,32.9906,26.2734,15.8947,13.5769,3.40656,0.777161,4.18372,-0.0757505,-0,-0.0109146,0.281685,21.9247,
Thu Sep 26 02:46:20 2019,7911593,1040.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5372,5540,1234,0,30,30,2.37505,-0.277727,-8.92558,-0.0883306,0.578938,-0.0755599,-30.2813,32.9906,26.2734,14.9008,13.8716,3.99253,0.723131,4.71566,-0.0764981,-0,-0.0102529,0.281685,22.1383,
Thu Sep 26 02:46:20 2019,7921594,1040.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,28,28,2.49476,-0.172383,-9.1267,-0.0968444,0.557654,-0.0734315,-30.2813,32.9906,26.2734,15.2882,14.1642,4.57119,0.668921,5.24011,-0.07714,-0,-0.00880298,0.281685,22.3217,
Thu Sep 26 02:46:20 2019,7931595,1039.96,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,28,28,2.65756,-0.220267,-9.2895,-0.102166,0.529984,-0.0691746,-30.2813,32.9906,26.2734,15.9649,14.4586,5.1414,0.618543,5.75994,-0.0777341,-0,-0.0081481,0.281685,22.4914,
Thu Sep 26 02:46:20 2019,7941596,1039.96,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5554,1234,0,28,28,2.59531,-0.215478,-9.3326,-0.108551,0.506571,-0.0595966,-30.2813,32.9906,26.2734,15.5408,14.7518,5.70297,0.568945,6.27192,-0.0783036,-0,-0.00780981,0.281685,22.6541,
Thu Sep 26 02:46:20 2019,7951597,1039.96,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5554,1234,0,28,28,2.6432,0.0430956,-9.18416,-0.108551,0.491672,-0.0500185,-30.2813,32.9906,26.2734,16.0558,15.0425,6.25485,0.519081,6.77393,-0.078823,-0,-0.00712317,0.281685,22.8025,
Thu Sep 26 02:46:20 2019,7961598,1039.96,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5404,5546,1234,0,30,28,2.89698,0.292093,-9.20331,-0.0691746,0.470387,-0.0361836,-30.2813,32.9906,26.2734,17.4728,15.3351,6.79767,0.473244,7.27091,-0.079282,-0,-0.00629471,0.281685,22.9337,
Thu Sep 26 02:46:20 2019,7971599,1039.96,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5404,5546,1234,0,30,28,3.055,0.172383,-9.25119,-0.0287341,0.44591,-0.0117065,-30.2813,32.9906,26.2734,18.2747,15.6286,7.33408,0.430392,7.76447,-0.0797534,-0,-0.00646481,0.281685,23.0684,
Thu Sep 26 02:46:20 2019,7981600,1039.96,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,14,2.91135,0.0047884,-8.96868,-0.0042569,0.422497,-0.00532112,-30.2813,32.9906,26.2734,17.9841,15.9218,7.86518,0.389265,8.25444,-0.0802367,-0,-0.00662842,0.281685,23.2065,
Thu Sep 26 02:46:20 2019,7991601,1040.42,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,14,3.03585,0.0574608,-9.08839,0,0.400148,-0,-30.2813,32.9906,26.2734,18.4712,16.2147,8.39007,0.34987,8.73994,-0.0806688,-0,-0.00592548,0.281685,23.3299,
