today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:56:46 2019,44031979,4500.36,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5396,5546,1184,28,30,12,-1.1971,1.34075,-7.62793,-0.0904591,0.0180918,0.0585323,-15.675,33.7078,31.8047,-8.91906,218.292,-2.74559,-0.013565,-2.75915,8.29291e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44041980,4500.36,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5396,5546,1184,28,30,12,-1.33596,0.071826,-11.3246,-0.262863,0.00319267,0.0446974,-15.675,33.7078,31.8047,-6.72812,218.583,-2.87494,-0.00837911,-2.88332,8.28491e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44051981,4500.36,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5390,5540,1180,24,8,30,-0.976834,-0.306458,-10.8601,-0.0255414,-0.0989729,0.0319267,-15.675,33.7078,31.8047,-5.13976,218.899,-3.00842,0.0203082,-2.98811,8.28381e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44061982,4500.36,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5390,5540,1180,24,8,30,-0.502782,-0.296881,-9.94073,0.102166,-0.100037,0.0159634,-15.675,33.7078,31.8047,-2.89544,219.185,-3.13798,0.0187862,-3.11919,8.26619e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44071983,4500.36,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5392,5546,1192,16,28,30,-0.986411,0.201113,-8.14986,0.0893948,-0.0351194,0.0042569,-15.675,33.7078,31.8047,-6.90118,219.453,-3.26151,-0.00077427,-3.26228,8.22404e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44081984,4499.5,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5392,5546,1192,16,28,30,-0.909797,-0.023942,-9.56244,-0.0255414,0.00532112,0.00957802,-15.675,33.7078,31.8047,-5.43492,219.728,-3.38312,-0.0119557,-3.39507,8.21627e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44091985,4499.5,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5524,1198,8,8,30,-0.943315,-0.363919,-9.9503,-0.0340552,-0.0734315,0.00957802,-15.675,33.7078,31.8047,-5.41561,220.037,-3.5035,0.0105121,-3.49299,8.18447e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44101986,4499.5,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5524,1198,8,8,30,-0.708684,-0.0957681,-8.82503,-0.00744957,-0.00851379,-0.00638535,-15.675,33.7078,31.8047,-4.59122,220.305,-3.62011,-0.00833683,-3.62845,8.18718e-05,0,0,
Wed Sep 25 23:56:46 2019,44111987,4499.5,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5532,1208,8,8,14,-1.00556,0.373495,-8.86812,0.0287341,-0.0574681,-0.00319267,-15.675,33.7078,31.8047,-6.4692,220.606,-3.73303,0.00566701,-3.72737,8.15184e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44121988,4501.8,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5532,1208,8,8,14,-0.502782,0.0526724,-8.59997,-0.0244772,-0.0212845,0.0202203,-15.675,33.7078,31.8047,-3.34589,220.882,-3.84197,-0.00488658,-3.84685,8.11422e-05,-0,-0,
