today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:09:38 2019,9838840,1081.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5556,1234,0,30,14,-1.24498,0.114922,-9.66779,0.019156,0.138349,0.0223487,-23.8688,33.7078,29.0391,-7.33798,7.40882,-3.0715,1.75843,-1.31307,0.225002,-0,-0.0243642,
Thu Sep 26 01:09:38 2019,9848841,1082.27,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5556,1234,0,30,14,-1.15401,-0.0287304,-9.73004,0.0266056,0.170276,0.0159634,-23.8688,33.7078,29.0391,-6.76382,7.68616,-3.25559,1.71085,-1.54473,0.223714,-0,-0.0257547,
Thu Sep 26 01:09:38 2019,9858842,1082.27,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5538,1234,0,8,28,-1.20668,-0.0766145,-9.78271,0.0255414,0.195817,0.00744957,-23.8688,33.7078,29.0391,-7.03181,7.96532,-3.43807,1.66261,-1.77546,0.222378,-0,-0.0267299,
Thu Sep 26 01:09:38 2019,9868843,1082.27,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5538,1234,0,8,28,-1.10612,-0.0957681,-9.72525,0.0287341,0.22668,0.00851379,-23.8688,33.7078,29.0391,-6.48878,8.24296,-3.61784,1.61073,-2.00711,0.220995,-0,-0.0276679,
Thu Sep 26 01:09:38 2019,9878844,1082.27,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1236,0,8,28,-1.09176,-0.100556,-9.60554,0.0340552,0.237322,0.00532112,-23.8688,33.7078,29.0391,-6.48436,8.52639,-3.79368,1.56272,-2.23096,0.219549,-0,-0.0289203,
Thu Sep 26 01:09:38 2019,9888845,1081,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1236,0,8,28,-0.957681,-0.205901,-9.68694,0.0266056,0.259671,0.0148991,-23.8688,33.7078,29.0391,-5.64609,8.80646,-3.96395,1.50969,-2.45427,0.218056,-0,-0.0298431,
Thu Sep 26 01:09:38 2019,9898846,1081,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1234,0,8,28,-1.00556,-0.191536,-9.52892,0.0117065,0.285212,0.0106422,-23.8688,33.7078,29.0391,-6.024,9.08562,-4.12725,1.45458,-2.67267,0.216499,-0,-0.0311516,
Thu Sep 26 01:09:38 2019,9908847,1081,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1234,0,8,28,-0.938527,-0.0957681,-9.56723,0.0159634,0.300111,0.019156,-23.8688,33.7078,29.0391,-5.60268,9.36784,-4.28308,1.40159,-2.88149,0.214908,-0,-0.0318248,
Thu Sep 26 01:09:38 2019,9918848,1081,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1234,0,8,28,-0.823605,-0.0814029,-9.35175,0.0127707,0.313946,0.0212845,-23.8688,33.7078,29.0391,-5.03304,9.65035,-4.4305,1.3481,-3.08241,0.213243,-0,-0.0332956,
Thu Sep 26 01:09:38 2019,9928849,1081,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1234,0,8,28,-0.785298,-0.0957681,-9.47146,0.0170276,0.320332,0.0244772,-23.8688,33.7078,29.0391,-4.73967,9.935,-4.56794,1.2961,-3.27183,0.21153,-0,-0.0342555,
