today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],Filter accY,Filter accX,Filter accY,Filter gyroY, Filter gyroX, Filter gyroZ,Pitch(acc),Pitch(gyro), Comp Filter,P,I,D,
Thu Sep 26 00:39:58 2019,44415845,1087.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1234,0,28,10,-0.699107,-0.153229,-9.51935,0.00638535,-0.0287341,0.019156,-15.8531,35.6801,33.3604,-0.455149,-0.117725,-9.60018,-0.00146631,-0.00587897,0.00637238,-0.0162903,-2.71439,-2.73068,0.0209699,0,-0.00299053,
Thu Sep 26 00:39:58 2019,44425846,1087.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1234,0,28,10,-0.732626,-0.0287304,-9.72046,0.00957802,-0.0255414,0.019156,-15.8531,35.6801,33.3604,-0.462174,-0.117949,-9.59911,0.00174757,-0.00220749,0.00582241,-0.0186069,-2.75653,-2.77513,0.0208734,0,-0.00209054,
Thu Sep 26 00:39:58 2019,44435847,1087.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,8,30,-0.636858,-0.0622492,-9.54808,0.0148991,-0.0319267,0.0117065,-15.8531,35.6801,33.3604,-0.469501,-0.117966,-9.59824,0.00671773,-0.0080017,-0.00182879,-0.0215316,-2.80041,-2.82194,0.0207802,0,-0.00201836,
Thu Sep 26 00:39:58 2019,44445848,1086.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,8,30,-0.636858,-0.0574608,-9.71088,0.0127707,-0.0308625,0.00532112,-15.8531,35.6801,33.3604,-0.476927,-0.117736,-9.59756,0.00411415,-0.00614728,-0.00780488,-0.025585,-2.84483,-2.87042,0.0206831,0,-0.00210576,
Thu Sep 26 00:39:58 2019,44455849,1086.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,8,30,-0.608127,-0.177171,-9.60554,0.019156,-0.0319267,0.0106422,-15.8531,35.6801,33.3604,-0.484299,-0.117415,-9.59712,0.0098603,-0.00646326,-0.00204564,-0.0291977,-2.88886,-2.91806,0.0205862,0,-0.00209838,
Thu Sep 26 00:39:58 2019,44465850,1086.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5536,1234,0,28,14,-0.588974,-0.153229,-9.54808,0.0170276,-0.0340552,0.0106422,-15.8531,35.6801,33.3604,-0.49152,-0.117211,-9.59679,0.00693691,-0.00774598,-0.00185811,-0.0332683,-2.93197,-2.96524,0.0205004,0,-0.00185939,
Thu Sep 26 00:39:58 2019,44475851,1086.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1240,0,28,10,-0.574608,-0.071826,-9.51935,0.0117065,-0.0319267,0.0117065,-15.8531,35.6801,33.3604,-0.498501,-0.117106,-9.59633,0.00118177,-0.00481846,-0.000661504,-0.0368678,-2.97367,-3.01054,0.0203984,0,-0.00220941,
Thu Sep 26 00:39:58 2019,44485852,1085.6,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1240,0,28,10,-0.526724,-0.0430956,-9.60554,0.00851379,-0.0383121,0.00851379,-15.8531,35.6801,33.3604,-0.505143,-0.116889,-9.59573,-0.00205274,-0.0102655,-0.00363609,-0.041189,-3.01341,-3.0546,0.020302,0,-0.00208847,
Thu Sep 26 00:39:58 2019,44495853,1085.6,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,6,28,-0.612916,-0.129287,-9.53371,0.00851379,-0.032991,0.00851379,-15.8531,35.6801,33.3604,-0.51143,-0.11652,-9.59507,-0.00195063,-0.00401294,-0.00329016,-0.0452795,-3.05105,-3.09633,0.0201876,0,-0.00247974,
Thu Sep 26 00:39:58 2019,44505854,1085.6,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,6,28,-0.603339,-0.0957681,-9.40442,0.00532112,-0.0340552,0.0148991,-15.8531,35.6801,33.3604,-0.517475,-0.116118,-9.59419,-0.00490383,-0.00438457,0.00314678,-0.0476852,-3.08733,-3.13502,0.0200937,0,-0.00203413,
Thu Sep 26 00:39:58 2019,44515855,1085.6,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,28,30,-0.550666,-0.138864,-9.56723,0.00638535,-0.0297983,0.0148991,-15.8531,35.6801,33.3604,-0.523289,-0.115745,-9.59293,-0.00351555,0.000381938,0.00291682,-0.0488319,-3.12236,-3.17119,0.0199956,0,-0.00212504,
Thu Sep 26 00:39:58 2019,44525856,1085.6,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,28,30,-0.593762,0.023942,-9.5385,0.00957802,-0.0287341,0.0180918,-15.8531,35.6801,33.3604,-0.528803,-0.115297,-9.59151,-0.000195976,0.00168793,0.00574939,-0.0482389,-3.15566,-3.2039,0.0198672,0,-0.00278336,
