today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=5e-10, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:39:07 2019,6779358,1041.37,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5378,5544,1232,0,28,28,-0.426168,-0.335188,-9.72046,0.0606608,-0.0436332,0.0372479,-26.3625,32.9906,26.2734,-2.51038,7.17448,-2.61984,1.84635,-0.773487,0.219821,1.28346e-12,0.0246425,0.281685,-62.5243,
Thu Sep 26 02:39:07 2019,6789359,1041.37,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5390,5538,1234,0,26,26,-0.550666,-0.11971,-9.68215,0.0723673,-0.0308625,0.0744957,-26.3625,32.9906,26.2734,-3.25516,7.4573,-2.74532,1.8029,-0.942414,0.221635,1.29541e-12,0.0248719,0.281685,-63.0425,
Thu Sep 26 02:39:07 2019,6799360,1042.4,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5390,5538,1234,0,26,26,-0.612916,-0.0430956,-9.61033,0.105358,-0.0255414,0.094716,-26.3625,32.9906,26.2734,-3.6492,7.74225,-2.86172,1.75838,-1.10334,0.223456,1.30099e-12,0.0249791,0.281685,-63.5629,
Thu Sep 26 02:39:07 2019,6809361,1042.4,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5402,5544,1234,0,28,26,-0.718261,-0.282516,-9.43794,0.120257,-0.0223487,0.111744,-26.3625,32.9906,26.2734,-4.35202,8.02782,-2.9715,1.71159,-1.25992,0.225283,1.30535e-12,0.0250627,0.281685,-64.085,
Thu Sep 26 02:39:07 2019,6819362,1042.4,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5392,5538,1234,0,28,28,-0.80924,-0.316035,-9.36133,0.128771,-0.0117065,0.1309,-26.3625,32.9906,26.2734,-4.94066,8.31125,-3.07705,1.66027,-1.41679,0.227119,1.3114e-12,0.0251788,0.281685,-64.6096,
Thu Sep 26 02:39:07 2019,6829363,1042.4,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5392,5538,1234,0,28,28,-0.905008,-0.469264,-9.34696,0.1309,-0.0042569,0.135156,-26.3625,32.9906,26.2734,-5.53036,8.59559,-3.18067,1.60791,-1.57276,0.228957,1.31252e-12,0.0252004,0.281685,-65.1346,
Thu Sep 26 02:39:07 2019,6839364,1043.07,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5392,5538,1234,0,28,28,-0.957681,-0.416591,-9.43794,0.117065,0.00319267,0.135156,-26.3625,32.9906,26.2734,-5.79405,8.87994,-3.28405,1.55394,-1.73011,0.230805,1.32006e-12,0.0253451,0.281685,-65.6626,
Thu Sep 26 02:39:07 2019,6849365,1043.07,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5540,1234,0,28,28,-1.10612,-0.435745,-9.35654,0.0957802,0.00532112,0.12345,-26.3625,32.9906,26.2734,-6.74217,9.16581,-3.38876,1.50015,-1.88861,0.232658,1.32332e-12,0.0254077,0.281685,-66.1919,
Thu Sep 26 02:39:07 2019,6859366,1043.07,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5540,1234,0,28,28,-1.13485,-0.445322,-9.47146,0.0872664,0.00744957,0.10323,-26.3625,32.9906,26.2734,-6.8325,9.45168,-3.49642,1.44526,-2.05116,0.234511,1.32399e-12,0.0254205,0.281685,-66.7215,
Thu Sep 26 02:39:07 2019,6869367,1043.07,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5402,5540,1234,0,28,28,-1.15879,-0.397437,-9.50977,0.0862022,0.0106422,0.0670461,-26.3625,32.9906,26.2734,-6.94742,9.73724,-3.60755,1.38929,-2.21826,0.23637,1.32801e-12,0.0254978,0.281685,-67.2527,
Thu Sep 26 02:39:07 2019,6879368,1043.07,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1234,0,28,28,-1.06781,-0.378284,-9.51456,0.0872664,0.0117065,0.0351194,-26.3625,32.9906,26.2734,-6.40349,10.0234,-3.72122,1.33342,-2.3878,0.238234,1.33076e-12,0.0255505,0.281685,-67.785,
Thu Sep 26 02:39:07 2019,6889369,1043.07,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1234,0,28,28,-1.09654,-0.593762,-9.64863,0.0755599,0.0212845,-0.00532112,-26.3625,32.9906,26.2734,-6.48372,10.3072,-3.83595,1.27493,-2.56102,0.240104,1.33615e-12,0.0256542,0.281685,-68.3195,
Thu Sep 26 02:39:07 2019,6899370,1042.23,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1234,0,28,28,-1.01993,-0.430956,-9.57681,0.0510828,0.0276698,-0.032991,-26.3625,32.9906,26.2734,-6.07909,10.5918,-3.95047,1.21747,-2.733,0.241996,1.35141e-12,0.0259471,0.281685,-68.8601,
Thu Sep 26 02:39:07 2019,6909371,1042.23,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5540,1234,0,30,30,-0.833182,-0.344765,-9.64384,0.0510828,0.032991,-0.052147,-26.3625,32.9906,26.2734,-4.93783,10.8768,-4.06259,1.16059,-2.902,0.243908,1.36559e-12,0.0262192,0.281685,-69.4063,
Thu Sep 26 02:39:07 2019,6919372,1042.23,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5540,1234,0,30,30,-0.483629,-0.579397,-9.8689,0.0532112,0.0446974,-0.0681104,-26.3625,32.9906,26.2734,-2.80556,11.1599,-4.16755,1.10241,-3.06514,0.245839,1.3792e-12,0.0264807,0.281685,-69.958,
Thu Sep 26 02:39:07 2019,6929373,1042.23,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5412,5546,1234,0,28,28,-0.397437,-0.708684,-9.64384,0.0564039,0.0553397,-0.0776884,-26.3625,32.9906,26.2734,-2.35991,11.4433,-4.26005,1.04531,-3.21474,0.247805,1.40476e-12,0.0269714,0.281685,-70.5199,
Thu Sep 26 02:39:07 2019,6939374,1041.31,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5390,5548,1234,0,28,30,-0.3304,-0.823605,-9.8258,0.0446974,0.0670461,-0.0723673,-26.3625,32.9906,26.2734,-1.92589,11.7264,-4.33752,0.988822,-3.3487,0.249798,1.42296e-12,0.0273208,0.281685,-71.0891,
