today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Sun Feb 18 05:28:22 2018,7291035,751.732,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1194,0,8,30,0.0909797,0.0861913,-10.41,0.0106422,-0.0159634,0.00744957,-19.5322,43.1859,49.0898,0.055,0.00744957,
Sun Feb 18 05:28:22 2018,7301036,751.732,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3976,1210,0,30,14,0.114922,0.196325,-10.4818,0.0148991,-0.0159634,0.0042569,-19.5322,43.1859,49.0898,0.055,0.0042569,
Sun Feb 18 05:28:22 2018,7311037,752.827,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3976,1210,0,30,14,0.0574608,0.124498,-10.4244,0.0117065,-0.0180918,0.00638535,-19.5322,43.1859,49.0898,0.055,0.00638535,
Sun Feb 18 05:28:22 2018,7321038,752.827,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3976,1196,0,30,14,0.134075,0.191536,-10.4052,0.0106422,-0.0117065,0.00638535,-19.5322,43.1859,49.0898,0.055,0.00638535,
Sun Feb 18 05:28:22 2018,7331039,752.827,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3976,1196,0,30,14,0.0574608,0.0526724,-10.3765,0.0106422,-0.00851379,0.00212845,-19.5322,43.1859,49.0898,0.055,0.00212845,
Sun Feb 18 05:28:22 2018,7341040,752.827,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1202,0,8,32,0.158017,0.0622492,-10.3286,0.00638535,-0.0138349,0.00744957,-19.5322,43.1859,49.0898,0.055,0.00744957,
Sun Feb 18 05:28:22 2018,7351041,752.827,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1202,0,8,32,0.0814029,0.0143652,-10.4339,0.00532112,-0.00957802,0.0042569,-19.5322,43.1859,49.0898,0.055,0.0042569,
Sun Feb 18 05:28:22 2018,7361042,752.827,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3980,1196,0,30,12,0.0143652,0.0622492,-10.2711,0.00957802,-0.0170276,0.00319267,-19.5322,43.1859,49.0898,0.055,0.00319267,
Sun Feb 18 05:28:22 2018,7371043,752.175,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3980,1196,0,30,12,0.0287304,0.047884,-10.5345,0.0138349,-0.0127707,0.00744957,-19.5322,43.1859,49.0898,0.055,0.00744957,
Sun Feb 18 05:28:22 2018,7381044,752.175,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3980,1198,0,8,32,0.134075,0.129287,-10.386,0.0148991,-0.0148991,0.00851379,-19.5322,43.1859,49.0898,0.055,0.00851379,
Sun Feb 18 05:28:22 2018,7391045,752.175,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3980,1198,0,8,32,0.0670376,0.162806,-10.3765,0.0138349,-0.0127707,-0.00106422,-19.5322,43.1859,49.0898,0.055,-0.00106422,
Sun Feb 18 05:28:22 2018,7401046,752.175,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1194,0,8,32,0.158017,0.124498,-10.3908,0.0170276,-0.0202203,0.00212845,-19.5322,43.1859,49.0898,0.055,0.00212845,
Sun Feb 18 05:28:22 2018,7411047,752.297,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1194,0,8,32,0.124498,0.114922,-10.4722,0.0170276,-0.0159634,0.00212845,-19.5322,43.1859,49.0898,0.055,0.00212845,
Sun Feb 18 05:28:22 2018,7421048,752.297,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3976,1194,0,8,30,0.100556,0.0814029,-10.3094,0.0170276,-0.0159634,0.00532112,-19.5322,43.1859,49.0898,0.055,0.00532112,
Sun Feb 18 05:28:22 2018,7431049,752.297,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3976,1194,0,8,30,0.0766145,0.0957681,-10.5201,0.0170276,-0.0170276,0.00106422,-19.5322,43.1859,49.0898,0.055,0.00106422,
Sun Feb 18 05:28:22 2018,7441050,752.297,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4996,3976,1194,0,8,32,0.00957681,0.138864,-10.4579,0.0202203,-0.0180918,-0,-19.5322,43.1859,49.0898,0.055,-0,
Sun Feb 18 05:28:22 2018,7451051,752.297,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4996,3976,1194,0,8,32,0.100556,0.138864,-10.4052,0.0159634,-0.0138349,0.00638535,-19.5322,43.1859,49.0898,0.055,0.00638535,
Sun Feb 18 05:28:22 2018,7461052,752.297,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4982,3978,1196,0,6,30,0.0430956,0.11971,-10.4291,0.0106422,-0.0202203,0.00106422,-19.5322,43.1859,49.0898,0.055,0.00106422,
Sun Feb 18 05:28:22 2018,7471053,751.567,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4982,3978,1196,0,6,30,0.0861913,0.129287,-10.5058,0.0127707,-0.0159634,-0.00106422,-19.5322,43.1859,49.0898,0.055,-0.00106422,
Sun Feb 18 05:28:22 2018,7481054,751.567,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1198,0,30,14,0.0861913,0.143652,-10.4722,0.0148991,-0.0159634,-0,-19.5322,43.1859,49.0898,0.055,-0,
Sun Feb 18 05:28:22 2018,7491055,751.567,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1198,0,30,14,0.105345,0.129287,-10.386,0.0180918,-0.0180918,-0.00106422,-17.8037,42.4922,47.7586,0.055,-0.00106422,
Sun Feb 18 05:28:22 2018,7501056,751.567,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1196,0,32,32,0.134075,0.134075,-10.319,0.0138349,-0.0223487,-0.00106422,-17.8037,42.4922,47.7586,0.055,-0.00106422,
Sun Feb 18 05:28:22 2018,7511057,751.923,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1196,0,32,32,0.110133,0.129287,-10.4483,0.0170276,-0.0202203,0.00319267,-17.8037,42.4922,47.7586,0.055,0.00319267,
Sun Feb 18 05:28:22 2018,7521058,751.923,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3988,1194,0,8,30,0.0287304,0.162806,-10.3669,0.0202203,-0.0138349,0.00212845,-17.8037,42.4922,47.7586,0.055,0.00212845,
Sun Feb 18 05:28:22 2018,7531059,751.923,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3988,1194,0,8,30,0.114922,0.100556,-10.4627,0.0148991,-0.0159634,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7541060,751.923,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3980,1194,0,30,14,0.0622492,0.215478,-10.3813,0.0127707,-0.0148991,-0.00319267,-17.8037,42.4922,47.7586,0.055,-0.00319267,
