today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:22:09 2018,8747948,777.955,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3508,1130,0,20,30,0.0526724,0.0766145,-10.386,0.0170276,-0.0117065,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8757949,776.304,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3508,1130,0,20,30,0.0143652,0.00957681,-10.3525,0.0148991,-0.00851379,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8767950,776.304,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3510,1132,0,32,14,0.0287304,0.047884,-10.3813,0.0159634,-0.0127707,0.00532112,22.9893,36.2484,46.4273,0,0.00532112,
Sun Feb 18 06:22:09 2018,8777951,776.304,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3510,1132,0,32,14,0.023942,-0.023942,-10.5249,0.00957802,-0.0117065,0.0042569,22.9893,36.2484,46.4273,0,0.0042569,
Sun Feb 18 06:22:09 2018,8787952,776.304,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5008,3508,1134,0,20,14,0.0909797,-0.00957681,-10.5105,0.00532112,-0.0148991,0.00851379,22.9893,36.2484,46.4273,0,0.00851379,
Sun Feb 18 06:22:09 2018,8797953,776.304,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5008,3508,1134,0,20,14,0.0383072,0.0957681,-10.3334,0.0117065,-0.0170276,0.0106422,22.9893,36.2484,46.4273,0,0.0106422,
Sun Feb 18 06:22:09 2018,8807955,776.304,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5020,3508,1130,0,20,32,-0.071826,0.0909797,-10.4196,0.00532112,-0.0106422,0.00744957,22.9893,36.2484,46.4273,0,0.00744957,
Sun Feb 18 06:22:09 2018,8817956,777.278,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5020,3508,1130,0,20,32,0.0766145,0.205901,-10.3238,0.0138349,-0.00851379,0.0042569,22.9893,36.2484,46.4273,0,0.0042569,
Sun Feb 18 06:22:09 2018,8827957,777.278,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3502,1128,0,30,14,-0.0622492,0.114922,-10.3669,0.0202203,-0.00957802,0.00319267,22.9893,36.2484,46.4273,0,0.00319267,
Sun Feb 18 06:22:09 2018,8837958,777.278,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3502,1128,0,30,14,0.023942,0.0191536,-10.3046,0.0223487,-0.00851379,0.00532112,22.9893,36.2484,46.4273,0,0.00532112,
