today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:35:46 2019,12742456,659.532,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5528,1210,0,8,10,0.272939,0.0957681,-10.1418,-0.0106422,-0.0170276,0.0436332,-22.6219,28.1496,31.6318,-0.0117378,0.0436332,
Wed Oct  2 06:35:46 2019,12752457,658.22,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5528,1210,0,8,10,0.167594,0.177171,-9.44752,0.00638535,-0.00851379,0.0383121,-22.6219,28.1496,31.6318,-0.0117378,0.0383121,
Wed Oct  2 06:35:46 2019,12762458,658.22,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5528,1210,0,8,10,0.143652,0.292093,-9.16979,0.019156,-0.0106422,0.0351194,-22.6219,28.1496,31.6318,-0.0117378,0.0351194,
Wed Oct  2 06:35:46 2019,12772459,658.22,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5522,1210,0,8,28,0.229843,0.162806,-9.29429,0.0276698,-0.0276698,0.0478901,-22.6219,28.1496,31.6318,-0.0117378,0.0478901,
Wed Oct  2 06:35:46 2019,12782460,658.22,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1210,0,28,10,0.282516,0.0814029,-9.80665,0.0148991,-0.032991,0.0468259,-22.6219,28.1496,31.6318,-0.0117378,0.0468259,
Wed Oct  2 06:35:46 2019,12792461,658.22,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1210,0,28,10,0.335188,0.0143652,-10.4674,-0.00957802,-0.0244772,0.052147,-22.6219,28.1496,31.6318,-0.0117378,0.052147,
Wed Oct  2 06:35:46 2019,12802462,658.22,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5526,1212,0,8,28,0.220267,0.0430956,-9.76355,-0.0138349,-0.0255414,0.0393763,-22.6219,28.1496,31.6318,-0.0117378,0.0393763,
Wed Oct  2 06:35:46 2019,12812463,659.002,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5526,1212,0,8,28,0.110133,0.258574,-9.04051,-0.00106422,-0.00638535,0.0393763,-22.6219,28.1496,31.6318,-0.0117378,0.0393763,
Wed Oct  2 06:35:46 2019,12822464,659.002,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5526,1212,0,8,28,0.0622492,0.268151,-8.53772,0.0393763,-0.00744957,0.0361836,-22.6219,28.1496,31.6318,-0.0117378,0.0361836,
Wed Oct  2 06:35:46 2019,12832465,659.002,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5532,1210,0,8,28,0.316035,0.287304,-8.78193,0.0638535,-0.00851379,0.0372479,-22.6219,28.1496,31.6318,-0.0117378,0.0372479,
Wed Oct  2 06:35:46 2019,12842466,659.002,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5532,1210,0,8,28,0.316035,0.186748,-9.82102,0.0553397,-0.0117065,0.0446974,-22.6219,28.1496,31.6318,-0.0117378,0.0446974,
