today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:59:00 2018,8656868,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2840,1006,0,32,14,0.0143652,0.129287,-10.4244,0.00851379,-0.0106422,0.0106422,4.83984,16.65,42.2672,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8666869,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2844,1002,0,8,32,0.0383072,0.124498,-10.3477,0.0117065,-0.0117065,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8676870,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2844,1002,0,8,32,0.0335188,0.100556,-10.4674,0.00851379,-0.0148991,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8686871,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,8,30,0.0143652,0.162806,-10.4818,0.00638535,-0.0138349,0.0148991,4.83984,16.65,42.2672,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8696872,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,8,30,0.0191536,0.110133,-10.4196,0.00319267,-0.0106422,0.0117065,4.83984,16.65,42.2672,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8706873,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2846,1006,0,30,14,0.0526724,0.138864,-10.3525,0.00957802,-0.0127707,0.00851379,4.83984,16.65,42.2672,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,8716874,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2846,1006,0,30,14,0.0430956,0.138864,-10.3669,0.00744957,-0.00744957,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8726875,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1006,0,8,32,0.0047884,0.105345,-10.3717,0.0117065,-0.00744957,0.0117065,4.83984,16.65,42.2672,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8736876,778.902,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1006,0,8,32,0.071826,0.162806,-10.3286,0.0170276,-0.00532112,0.0117065,5.18555,18.3844,42.9328,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8746877,778.902,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1006,0,8,32,0.071826,0.0909797,-10.4052,0.0170276,-0.00532112,0.0117065,5.18555,18.3844,42.9328,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8756878,778.902,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5012,2846,1006,0,8,30,0.0670376,0.100556,-10.3334,0.0180918,-0.0106422,0.0159634,5.18555,18.3844,42.9328,-0.000234753,0.0159634,
Sun Feb 18 06:59:00 2018,8766879,778.902,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2846,1004,0,8,32,0,0.129287,-10.343,0.0138349,-0.0106422,0.00851379,5.18555,18.3844,42.9328,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,8776880,778.642,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2846,1004,0,8,32,0.071826,0.110133,-10.2951,0.0159634,-0.0117065,0.0138349,5.18555,18.3844,42.9328,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8786881,778.642,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1010,0,32,14,0.105345,0.105345,-10.3717,0.0106422,-0.0148991,0.0148991,5.18555,18.3844,42.9328,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8796882,778.642,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1010,0,32,14,0.0670376,0.114922,-10.2999,0.0127707,-0.0180918,0.0106422,5.18555,18.3844,42.9328,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8806883,778.642,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,8,32,0.0814029,0.0957681,-10.3094,0.00744957,-0.0138349,0.0138349,5.18555,18.3844,42.9328,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8816884,778.642,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,8,32,0.0909797,0.162806,-10.4339,0.0148991,-0.0170276,0.0117065,5.18555,18.3844,42.9328,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8826887,778.642,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1010,0,32,32,0.071826,0.177171,-10.343,0.0127707,-0.0127707,0.0159634,5.18555,18.3844,42.9328,-0.000234753,0.0159634,
Sun Feb 18 06:59:00 2018,8836890,778.529,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1010,0,32,32,0.0909797,0.134075,-10.228,0.0138349,-0.0117065,0.0117065,5.18555,18.3844,42.9328,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8846891,778.529,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2846,1010,0,32,32,0.0814029,0.114922,-10.4004,0.0159634,-0.0127707,0.0106422,5.18555,18.3844,42.9328,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8856892,778.529,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5000,2840,1004,0,8,30,0.0287304,0.220267,-10.4627,0.0170276,-0.00957802,0.0138349,5.18555,18.3844,42.9328,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8866893,778.529,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5000,2840,1004,0,8,30,0.0766145,0.201113,-10.4531,0.0212845,-0.0138349,0.019156,5.18555,18.3844,42.9328,-0.000234753,0.019156,
Sun Feb 18 06:59:00 2018,8876894,779.389,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2840,1006,0,32,14,0.023942,0.114922,-10.2999,0.0159634,-0.0148991,0.0127707,5.18555,18.3844,42.9328,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8886895,779.389,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2840,1006,0,32,14,0.158017,0.124498,-10.2855,0.0138349,-0.0170276,0.0148991,5.18555,18.3844,42.9328,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8896896,779.389,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5006,2846,1006,0,8,30,0.0191536,0.110133,-10.501,0.0148991,-0.0223487,0.0138349,5.18555,18.3844,42.9328,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8906897,779.389,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,32,14,0.0622492,0.124498,-10.3813,0.00957802,-0.0212845,0.00851379,5.18555,18.3844,42.9328,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,8916898,779.389,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,32,14,0.0143652,0.129287,-10.3717,0.00638535,-0.0202203,0.0159634,5.18555,18.3844,42.9328,-0.000234753,0.0159634,
Sun Feb 18 06:59:00 2018,8926899,779.389,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2840,1002,0,8,30,-0.0047884,0.100556,-10.3765,0.00744957,-0.0202203,0.0106422,5.18555,18.3844,42.9328,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8936900,778.729,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2840,1002,0,8,30,0.0766145,0.158017,-10.3334,0.00957802,-0.0170276,0.0170276,5.18555,18.3844,42.9328,-0.000234753,0.0170276,
Sun Feb 18 06:59:00 2018,8946901,778.729,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2844,1002,0,32,32,0.0430956,0.158017,-10.3477,0.00744957,-0.0127707,0.0202203,5.18555,18.3844,42.9328,-0.000234753,0.0202203,
Sun Feb 18 06:59:00 2018,8956902,778.729,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2844,1002,0,32,32,0.0861913,0.134075,-10.4291,0.0148991,-0.0106422,0.0148991,5.18555,18.3844,42.9328,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8966903,778.729,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1004,0,8,30,0.110133,0.177171,-10.3717,0.0148991,-0.0127707,0.0138349,5.18555,18.3844,42.9328,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8976904,778.755,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1004,0,8,30,-0.0191536,0.114922,-10.4674,0.0127707,-0.0148991,0.0148991,5.18555,18.3844,42.9328,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8986905,778.755,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1004,0,8,30,0.071826,0.172383,-10.4196,0.0117065,-0.0117065,0.00851379,3.45703,16.9969,42.6,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,8996906,778.755,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2844,1004,0,32,16,0.105345,0.11971,-10.386,0.0138349,-0.0106422,0.00851379,3.45703,16.9969,42.6,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,9006907,778.755,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2844,1006,0,30,14,0.00957681,0.129287,-10.4387,0.00532112,-0.0159634,0.0138349,3.45703,16.9969,42.6,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,9016908,778.755,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2844,1006,0,30,14,0.0143652,0.143652,-10.4148,0.00638535,-0.0170276,0.0138349,3.45703,16.9969,42.6,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,9026909,778.755,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,32,30,0.0526724,0.124498,-10.386,0.00532112,-0.019156,0.0148991,3.45703,16.9969,42.6,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,9036910,778.816,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1002,0,32,30,0.0861913,0.129287,-10.3525,0.00744957,-0.0159634,0.0127707,3.45703,16.9969,42.6,-0.000234753,0.0127707,
