Time,Strain
21.518,495.699
21.518,496.319
21.519,496.287
21.52,496.633
21.52,495.823
21.52,495.666
21.521,496.449
21.521,495.364
21.522,495.677
21.523,495.601
21.523,496.606
21.523,495.715
21.524,496.741
21.524,495.969
21.525,495.952
21.526,497.075
21.526,495.979
21.526,496.206
21.527,497.162
21.527,496.039
21.528,496.606
21.529,496.303
21.529,497.421
21.529,496.228
21.53,496.395
21.53,496.552
21.531,497.453
21.532,497.491
21.532,496.838
21.532,495.553
21.533,496.676
21.534,496.373
21.534,495.942
21.535,497.199
21.535,496.724
21.535,496.481
21.536,496.719
21.537,496.39
21.537,497.081
21.538,496.714
21.538,496.319
21.538,496.303
21.539,496.643
21.54,496.552
21.54,496.233
21.541,498.096
21.541,496.309
21.541,495.969
21.542,496.827
21.543,497.696
21.543,496.557
21.544,496.552
21.544,496.606
21.544,497.286
21.545,496.157
21.546,497.518
21.546,497.588
21.547,496.222
21.547,496.897
21.547,497.156
21.548,497.702
21.549,497.194
21.549,496.395
21.549,496.519
21.55,497.183
21.55,496.746
21.551,498.079
21.552,496.573
21.552,496.438
21.552,497.07
21.553,496.676
21.553,497.459
21.554,496.654
21.555,496.465
21.555,497.324
21.555,497.653
21.556,497.259
21.556,495.882
21.557,497.432
21.558,498.268
21.558,496.541
21.558,498.263
21.559,497.345
21.559,496.94
21.56,497.378
21.561,497.313
21.561,498.074
21.561,497.34
21.562,496.994
21.562,497.426
21.563,497.248
21.564,496.514
21.564,497.664
21.564,497.944
21.565,497.113
21.566,496.73
21.566,496.784
21.567,497.923
21.567,496.692
21.567,497.091
21.568,496.784
21.569,496.746
21.569,497.086
21.57,497.291
21.57,497.162
21.57,497.016
21.571,497.707
21.572,497.691
21.572,497.469
21.573,496.654
21.573,497.329
21.573,497.863
21.574,497.48
21.575,497.459
21.575,497.966
21.576,497.939
21.576,496.616
21.576,497.334
21.577,498.15
21.578,498.252
21.578,497.502
21.578,497.82
21.579,497.318
21.579,497.054
21.58,497.637
21.581,497.432
21.581,498.285
21.581,497.739
21.582,497.091
21.582,496.643
21.583,497.804
21.584,497.199
21.584,497.486
21.584,497.772
21.585,496.816
21.585,498.749
21.586,496.395
21.587,498.274
21.587,497.405
21.587,497.405
21.588,497.513
21.588,498.393
21.589,497.351
21.59,496.849
21.59,496.962
21.59,498.214
21.591,497.658
21.591,496.341
21.592,498.042
21.593,498.371
21.593,497.048
21.593,498.133
21.594,497.718
21.595,498.096
21.595,497.82
21.596,497.809
21.596,497.782
21.596,498.101
21.597,498.193
21.598,497.885
21.598,498.036
21.599,497.955
21.599,495.958
21.599,498.565
21.6,498.425
21.601,497.944
21.601,497.61
21.602,497.221
21.602,497.313
21.602,497.388
21.603,497.961
21.604,497.75
21.604,498.506
21.605,498.511
21.605,497.658
21.605,497.869
21.606,497.459
21.607,498.49
21.607,498.743
21.608,498.333
21.608,498.301
21.608,497.48
21.609,497.534
21.61,498.452
21.61,498.652
21.611,498.765
21.611,497.167
21.611,497.178
21.612,498.479
21.613,497.707
21.613,498.139
21.613,498.096
21.614,497.777
21.614,497.151
21.615,498.247
21.616,497.237
21.616,497.502
21.616,497.928
21.617,497.108
21.617,498.16
21.618,498.333
21.619,497.809
21.619,498.452
21.619,498.322
21.62,497.475
21.62,498.295
21.621,497.831
21.622,497.513
21.622,498.106
21.622,497.831
21.623,497.977
21.623,498.376
21.624,498.884
21.625,498.522
21.625,497.194
21.625,498.749
21.626,498.112
21.627,498.263
21.627,498.895
21.628,498.22
21.628,498.765
21.628,498.668
21.629,498.133
21.63,497.199
21.63,498.268
21.631,498.069
21.631,498.144
21.631,497.826
21.632,496.897
21.633,496.741
21.633,498.927
21.634,497.815
21.634,498.565
21.634,497.842
21.635,497.491
21.636,498.986
21.636,497.351
21.637,498.058
21.637,498.171
21.637,498.274
21.638,498.425
21.639,498.393
21.639,497.739
21.64,497
21.64,496.919
21.64,499.084
21.641,499.24
21.642,497.723
21.642,498.565
21.642,499.105
21.643,498.727
21.643,499.348
21.644,499.067
21.645,499.127
21.645,498.695
21.645,498.997
21.646,497.583
21.646,498.225
21.647,498.511
21.648,498.193
21.648,498.743
21.648,498.511
21.649,497.944
21.649,498.052
21.65,498.565
21.651,499.008
21.651,499.348
21.651,498.689
21.652,497.507
21.652,497.847
21.653,498.619
21.654,498.959
21.654,499.434
21.654,499.127
21.655,498.986
21.655,498.684
21.656,499.3
21.657,498.63
21.657,499.31
21.657,499.667
21.658,497.939
21.659,499.051
21.659,498.339
21.66,498.581
21.66,499.03
21.66,498.997
21.661,498.263
21.662,499.607
21.662,499.44
21.663,498.646
21.663,498.797
21.663,499.175
21.664,497.534
21.665,499.402
21.665,499.694
21.666,498.479
21.666,498.355
21.666,499.969
21.667,498.214
21.668,497.561
21.668,498.689
21.669,498.77
21.669,498.949
21.669,499.343
21.67,498.042
21.671,499.348
21.671,498.484
21.672,498.393
21.672,498.425
21.672,498.441
21.673,498.069
21.674,498.16
21.674,498.997
21.674,498.306
21.675,498.436
21.675,499.289
21.676,498.9
21.677,498.797
21.677,498.857
21.677,498.765
21.678,497.48
21.678,498.042
21.679,498.565
21.68,497.89
21.68,499.505
21.68,498.155
21.681,498.76
21.681,499.294
21.682,497.853
21.683,498.09
21.683,499.775
21.683,498.457
21.684,498.673
21.684,499.094
21.685,498.468
21.686,498.689
21.686,498.02
21.686,499.445
21.687,498.312
21.687,498.495
21.688,499.192
21.689,498.625
21.689,498.457
21.689,498.927
21.69,497.664
21.691,499.461
21.691,499.127
21.692,499.251
21.692,499.159
21.692,498.101
21.693,498.749
21.694,498.15
21.694,499.483
21.695,499.321
21.695,498.101
21.695,498.376
21.696,498.382
21.697,498.857
21.697,498.544
21.698,499.105
21.698,498.29
21.698,498.954
21.699,498.15
21.7,499.526
21.7,500.034
21.701,498.56
21.701,499.24
21.701,498.501
21.702,498.9
21.703,498.587
21.703,498.398
21.703,499.186
21.704,498.63
21.704,499.467
21.705,499.386
21.706,499.348
21.706,499.586
21.706,498.16
21.707,499.796
21.707,500.368
21.708,498.9
21.709,499.85
21.709,499.04
21.709,499.661
21.71,499.197
21.71,499.499
21.711,499.569
21.712,500.066
21.712,499.051
21.712,499.057
21.713,499.688
21.713,499.127
21.714,498.949
21.715,499.71
21.715,499.1
21.715,497.885
21.716,499.138
21.716,500.196
21.717,498.722
21.718,499.353
21.718,499.737
21.718,499.429
21.719,499.494
21.72,498.182
21.72,498.878
21.721,499.24
21.721,500.39
21.721,498.711
21.722,499.332
21.723,499.246
21.723,498.684
21.724,498.263
21.724,500.104
21.724,498.868
21.725,498.603
21.726,501.005
21.726,499.623
21.727,499.321
21.727,500.395
21.727,500.498
21.728,499.035
21.729,499.208
21.729,499.532
21.73,498.501
21.73,499.785
21.73,499.559
21.731,498.981
21.732,499.44
21.732,499.488
21.733,498.938
21.733,500.169
21.733,499.353
21.734,499.51
21.735,500.077
21.735,499.267
21.736,498.965
21.736,498.803
21.736,498.954
21.737,499.402
21.738,499.856
21.738,499.694
21.738,500.104
21.739,499.505
21.739,499.424
21.74,499.332
21.741,500.174
21.741,500.417
21.741,498.808
21.742,500.25
21.742,500.86
21.743,499.327
21.744,500.077
21.744,499.407
21.744,500.59
21.745,499.796
21.745,499.553
21.746,499.964
21.747,499.812
21.747,499.764
21.747,500.822
21.748,500.277
21.748,500.876
21.749,499.375
21.75,500.309
21.75,500.169
21.75,499.483
21.751,500.752
21.752,500.206
21.752,499.224
21.753,500.433
21.753,501.389
21.753,500.093
21.754,499.931
21.755,499.785
21.755,500.827
21.756,500.174
21.756,501.2
21.756,499.845
21.757,500.082
21.758,501.292
21.758,499.85
21.759,500.314
21.759,500.179
21.759,500.385
21.76,499.148
21.761,500.136
21.761,500.487
21.762,499.904
21.762,501.043
21.762,500.638
21.763,500.687
21.764,500.142
21.764,500.93
21.765,499.931
21.765,501.032
21.765,501.162
21.766,500.304
21.767,501.858
21.767,501.043
21.767,501.346
21.768,501.022
21.768,500.557
21.769,501.464
21.77,500.806
21.77,501.454
21.77,499.845
21.771,500.32
21.771,500.39
21.772,500.433
21.773,501.729
21.773,501.448
21.773,500.466
21.774,501.707
21.774,500.795
21.775,499.985
21.776,501.578
21.776,501.745
21.776,501.27
21.777,501.227
21.777,500.865
21.778,501.038
21.779,501.378
21.779,501.281
21.779,501.88
21.78,501.464
21.78,500.93
21.781,501.875
21.782,500.941
21.782,500.379
21.782,499.893
21.783,500.854
21.784,501.248
21.784,500.725
21.785,500.746
21.785,500.919
21.785,501.059
21.786,500.844
21.787,501.162
21.787,500.752
21.788,501.437
21.788,500.898
21.788,499.985
21.789,501.794
21.79,500.363
21.79,501.167
21.791,501.945
21.791,501.086
21.791,499.98
21.792,501.178
21.793,500.757
21.793,501.211
21.794,501.378
21.794,501.086
21.794,501.567
21.795,501.173
21.796,501.146
21.796,500.676
21.797,501.211
21.797,500.995
21.797,501.815
21.798,502.69
21.799,500.266
21.799,500.557
21.799,501.113
21.8,502.058
21.8,501.713
21.801,501.259
21.802,501.13
21.802,500.698
21.802,502.085
21.803,501.918
21.803,501.108
21.804,501.481
21.805,500.946
21.805,501.783
21.805,501.427
21.806,500.525
21.806,501.205
21.807,501.286
21.808,502.301
21.808,501.999
21.808,500.8
21.809,502.409
21.809,502.085
21.81,501.67
21.811,501.724
21.811,501.853
21.811,500.8
21.812,501.416
21.812,502.177
21.813,501.324
21.814,501.826
21.814,500.417
21.814,501.524
21.815,502.393
21.816,501.756
21.816,501.464
21.817,502.328
21.817,501.373
21.817,501.637
21.818,501.119
21.819,501.383
21.819,501.427
21.82,501.702
21.82,502.204
21.82,502.96
21.821,501.529
21.822,501.076
21.822,501.885
21.823,501.265
21.823,501.999
21.823,501.734
21.824,502.096
21.825,501.502
21.825,501.799
21.826,501.972
21.826,501.966
21.826,501.535
21.827,501.481
21.828,501.378
21.828,501.373
21.828,501.815
21.829,502.42
21.829,502.047
21.83,502.89
21.831,502.166
21.831,502.371
21.831,501.788
21.832,502.425
21.832,501.373
21.833,502.755
21.834,502.679
21.834,502.35
21.834,502.69
21.835,501.562
21.835,501.524
21.836,501.848
21.837,502.436
21.837,502.641
21.837,502.382
21.838,503.17
21.838,502.458
21.839,501.626
21.84,502.614
21.84,502.469
21.84,503.386
21.841,503.802
21.841,502.938
21.842,502.836
21.843,503.052
21.843,502.776
21.843,501.713
21.844,502.765
21.845,501.966
21.845,502.895
21.846,502.253
21.846,502.776
21.846,503.359
21.847,502.604
21.848,502.744
21.848,502.868
21.849,503.883
21.849,501.956
21.849,503.554
21.85,503.386
21.851,503.079
21.851,503.262
21.852,503.187
21.852,503.338
21.852,502.247
21.853,503.019
21.854,502.911
21.854,502.657
21.855,502.631
21.855,502.636
21.855,502.949
21.856,503.349
21.857,502.922
21.857,503.591
21.858,503.489
21.858,502.064
21.858,503.235
21.859,503.403
21.86,503.446
21.86,503.181
21.861,503.311
21.861,502.744
21.861,503.241
21.862,503.332
21.863,503.111
21.863,503.878
21.863,503.008
21.864,504.029
21.864,504.18
21.865,503.84
21.866,503.111
21.866,502.9
21.866,504.693
21.867,503.014
21.867,502.636
21.868,503.262
21.869,503.591
21.869,503.98
21.869,503.618
21.87,503.613
21.87,503.77
21.871,503.656
21.872,504.331
21.872,503.478
21.872,504.007
21.873,504.655
21.873,503.527
21.874,504.256
21.875,503.845
21.875,502.814
21.875,504.272
21.876,504.04
21.877,503.716
21.877,504.655
21.878,503.975
21.878,504.137
21.878,503.71
21.879,503.894
21.88,503.143
21.88,503.219
21.881,504.725
21.881,504.266
21.881,505.179
21.882,504.693
21.883,502.954
21.883,503.878
21.884,503.942
21.884,503.662
21.884,503.818
21.885,503.548
21.886,504.31
21.886,504.196
21.887,503.386
21.887,504.272
21.887,503.791
21.888,504.266
21.889,503.969
21.889,503.322
21.89,503.608
21.89,503.597
21.89,503.689
21.891,504.644
21.892,503.581
21.892,504.331
21.892,504.536
21.893,504.266
21.893,504.283
21.894,504.72
21.895,505.368
21.895,504.876
21.895,504.234
21.896,504.828
21.896,503.969
21.897,504.687
21.898,504.93
21.898,504.968
21.898,504.898
21.899,504.11
21.899,504.909
21.9,505.033
21.901,504.347
21.901,504.498
21.901,504.849
21.902,505.265
21.902,504.941
21.903,505.276
21.904,504.628
21.904,504.11
21.904,505.098
21.905,504.806
21.905,503.883
21.906,505.486
21.907,505.152
21.907,504.66
21.907,505.314
21.908,504.828
21.909,505.335
21.909,505.265
21.91,505.794
21.91,504.758
21.91,506.815
21.911,505.621
21.912,505.962
21.912,505.2
21.913,505.638
21.913,504.855
21.913,504.979
21.914,504.655
21.915,505.443
21.915,505.362
21.916,504.585
21.916,504.99
21.916,505.589
21.917,505.254
21.918,504.709
21.918,505.686
21.919,505.589
21.919,504.574
21.919,504.974
21.92,505.589
21.921,504.947
21.921,505.432
21.922,505.87
21.922,504.148
21.922,505.762
21.923,505.351
21.924,504.779
21.924,505.729
21.924,506.323
21.925,505.546
21.925,505.378
21.926,505.243
21.927,505.848
21.927,505.794
21.927,505.567
21.928,506.118
21.928,504.99
21.929,504.866
21.93,506.021
21.93,505.071
21.93,504.795
21.931,506.005
21.931,505.735
21.932,505.54
21.933,505.125
21.933,506.437
21.933,505.362
21.934,504.898
21.934,505.265
21.935,505.659
21.936,505.184
21.936,505.773
21.936,505.4
21.937,504.493
21.937,506.237
21.938,504.018
21.939,505.152
21.939,505.362
21.939,505.53
21.94,504.795
21.941,505.994
21.941,507.387
21.942,505.001
21.942,505.794
21.942,505.654
21.943,504.974
21.944,505.611
21.944,505.044
21.945,505.719
21.945,506.107
21.945,505.632
21.946,505.978
21.947,505.476
21.947,505.557
21.948,505.384
21.948,506.744
21.948,506.14
21.949,504.326
21.95,505.535
21.95,506.734
21.951,505.783
21.951,506.242
21.951,506.766
21.952,506.669
21.953,506.906
21.953,505.956
21.953,505.692
21.954,505.513
21.954,505.497
21.955,505.935
21.956,506.242
21.956,506.717
21.956,506.01
21.957,505.837
21.957,507.025
21.958,505.648
21.959,506.323
21.959,507.101
21.959,505.713
21.96,506.577
21.96,506.777
21.961,506.674
21.962,505.972
21.962,506.707
21.962,506.177
21.963,505.519
21.963,506.318
21.964,506.717
21.965,506.555
21.965,507.03
21.965,504.952
21.966,505.891
21.966,507.614
21.967,505.033
21.968,506.426
21.968,506.226
21.968,506.231
21.969,505.837
21.97,506.026
21.97,506.453
21.971,506.043
21.971,506.744
21.971,506.242
21.972,506.291
21.973,506.744
21.973,506.21
21.974,506.248
21.974,507.511
21.974,507.473
21.975,505.589
21.976,506.836
21.976,507.16
21.977,507.484
21.977,507.138
21.977,506.318
21.978,507.3
21.979,505.951
21.979,506.798
21.98,506.599
21.98,506.183
21.98,506.771
21.981,507.117
21.982,506.399
21.982,507.036
21.983,506.312
21.983,506.901
21.983,507.765
21.984,507.489
21.985,506.804
21.985,506.599
21.986,505.762
21.986,506.647
21.986,507.144
21.987,506.188
21.988,507.02
21.988,507.203
21.988,506.971
21.989,507.371
21.989,506.469
21.99,506.82
21.991,507.419
21.991,508.153
21.991,507.106
21.992,507.522
21.992,507.29
21.993,508.067
21.994,506.971
21.994,507.819
21.994,508.132
21.995,507.948
21.995,507.808
21.996,507.387
21.997,508.488
21.997,507.711
21.997,507.419
21.998,507.5
21.998,507.117
21.999,507.959
22,507.419
22,514.389
22,514.054
22.001,514.071
22.002,515.604
22.002,514.486
22.003,514.492
22.003,515.96
22.003,515.285
22.004,514.216
22.005,514.897
22.005,515.264
22.006,515.577
22.006,515.102
22.006,515.096
22.007,515.086
22.008,514.519
22.008,515.561
22.009,514.81
22.009,514.718
22.009,514.643
22.01,514.373
22.011,515.642
22.011,515.366
22.012,513.617
22.012,514.902
22.012,513.973
22.013,515.647
22.014,515.112
22.014,515.021
22.015,515.145
22.015,515.771
22.015,514.276
22.016,514.427
22.017,514.81
22.017,514.843
22.017,514.589
22.018,516.122
22.018,515.274
22.019,514.529
22.02,515.372
22.02,516.041
22.02,516.079
22.021,515.096
22.021,515.264
22.022,514.994
22.023,514.832
22.023,515.107
22.023,515.825
22.024,515.399
22.024,515.69
22.025,515.431
22.026,515.669
22.026,515.496
22.026,514.022
22.027,516.732
22.027,515.328
22.028,514.924
22.029,515.679
22.029,515.55
22.029,515.339
22.03,515.539
22.03,515.544
22.031,514.762
22.032,515.928
22.032,515.642
22.032,515.145
22.033,515.917
22.034,516.003
22.034,515.879
22.035,516.333
22.035,516.964
22.035,514.907
22.036,516.327
22.037,516.122
22.037,517.067
22.038,515.723
22.038,516.273
22.038,516.63
22.039,516.37
22.04,516.009
22.04,515.339
22.041,516.468
22.041,515.701
22.041,517.704
22.042,516.122
22.043,517.931
22.043,516.824
22.044,516.246
22.044,518.19
22.044,516.311
22.045,516.754
22.046,517.115
22.046,516.732
22.047,516.613
22.047,516.921
22.047,516.505
22.048,516.311
22.049,516.84
22.049,517.321
22.049,516.862
22.05,516.732
22.05,516.748
22.051,516.705
22.052,517.456
22.052,515.858
22.052,515.906
22.053,517.391
22.053,516.457
22.054,517.159
22.055,516.894
22.055,517.223
22.055,516.711
22.056,516.419
22.056,517.126
22.057,517.763
22.058,516.954
22.058,517.817
22.058,516.673
22.059,517.92
22.059,516.684
22.06,517.105
22.061,518.249
22.061,517.699
22.061,516.543
22.062,516.5
22.062,516.824
22.063,517.483
22.064,517.196
22.064,517.083
22.064,517.331
22.065,517.218
22.066,516.916
22.066,516.608
22.067,517.245
22.067,516.316
22.067,517.585
22.068,518.222
22.069,518.022
22.069,516.997
22.07,517.034
22.07,517.677
22.07,517.591
22.071,518.039
22.072,517.283
22.072,518.217
22.073,517.915
22.073,518.109
22.073,518.017
22.074,517.898
22.075,517.666
22.075,518.476
22.076,517.731
22.076,516.743
22.076,517.52
22.077,517.342
22.078,517.969
22.078,517.526
22.078,517.164
22.079,517.272
22.079,517.418
22.08,516.829
22.081,518.211
22.081,517.272
22.081,518.292
22.082,517.661
22.082,517.407
22.083,518.33
22.084,517.936
22.084,517.612
22.084,518.503
22.085,518.579
22.085,517.213
22.086,518.044
22.087,519.631
22.087,518.411
22.087,518.822
22.088,518.319
22.088,518.719
22.089,517.753
22.09,517.483
22.09,518.087
22.09,518.384
22.091,518.292
22.091,518.211
22.092,518.589
22.093,518.589
22.093,518.757
22.093,517.99
22.094,518.881
22.095,518.103
22.095,517.704
22.096,518.627
22.096,518.568
22.096,518.157
22.097,519.594
22.098,518.838
22.098,518.465
22.099,519.453
22.099,517.72
22.099,518.406
22.1,519.459
22.101,518.06
22.101,517.78
22.102,519.513
22.102,518.606
22.102,517.893
22.103,518.562
22.104,518.476
22.104,519.097
22.105,517.99
22.105,519.313
22.105,518.687
22.106,519.345
22.107,520.274
22.107,518.589
22.108,518.924
22.108,518.654
22.108,518.859
22.109,519.091
22.11,517.828
22.11,518.33
22.11,519.189
22.111,518.508
22.111,517.51
22.112,518.957
22.113,519.334
22.113,518.325
22.113,518.271
22.114,519.745
22.114,518.892
22.115,519.756
22.116,519.297
22.116,518.379
22.116,519.183
22.117,518.584
22.117,518.687
22.118,520.166
22.119,519.982
22.119,519.043
22.119,519.513
22.12,519.615
22.12,518.886
22.121,519.869
22.122,519.399
22.122,518.589
22.122,520.533
22.123,519.712
22.123,519.307
22.124,520.522
22.125,519.313
22.125,519.696
22.125,520.322
22.126,519.734
22.127,519.167
22.127,520.436
22.128,520.22
22.128,518.746
22.128,518.892
22.129,520.139
22.13,519.712
22.13,519.653
22.131,519.507
22.131,520.187
22.131,519.124
22.132,519.912
22.133,519.75
22.133,520.819
22.134,519.993
22.134,519.766
22.134,521.024
22.135,521.624
22.136,519.291
22.136,520.117
22.137,519.621
22.137,519.567
22.137,519.307
22.138,519.826
22.139,520.819
22.139,519.869
22.14,519.918
22.14,519.615
22.14,520.517
22.141,519.372
22.142,519.475
22.142,519.696
22.142,519.518
22.143,519.604
22.143,520.684
22.144,520.317
22.145,520.522
22.145,520.873
22.145,519.761
22.146,520.22
22.146,519.28
22.147,519.912
22.148,520.063
22.148,521.294
22.148,520.171
22.149,519.788
22.149,520.798
22.15,521.235
22.151,519.685
22.151,521.1
22.151,521.807
22.152,519.934
22.152,520.808
22.153,521.24
22.154,521.121
22.154,520.479
22.154,521.057
22.155,520.889
22.155,519.971
22.156,520.555
22.157,519.799
22.157,520.781
22.157,521.003
22.158,520.241
22.159,520.814
22.159,521.796
22.16,520.009
22.16,519.955
22.16,520.258
22.161,520.965
22.162,520.625
22.162,520.193
22.163,520.938
22.163,520.684
22.163,521.278
22.164,520.738
22.165,521.651
22.165,520.555
22.166,520.333
22.166,521.105
22.166,520.441
22.167,520.268
22.168,520.63
22.168,520.97
22.169,521.413
22.169,520.042
22.169,521.553
22.17,520.976
22.171,521.386
22.171,521.046
22.172,520.636
22.172,521.073
22.172,521.127
22.173,522.666
22.174,521.229
22.174,521.883
22.174,520.846
22.175,521.235
22.175,521.154
22.176,521.073
22.177,520.76
22.177,522.406
22.177,522.261
22.178,520.96
22.178,521.721
22.179,521.397
22.18,521.251
22.18,521.505
22.18,521.634
22.181,521.964
22.181,521.823
22.182,521.991
22.183,521.742
22.183,522.104
22.183,520.916
22.184,520.447
22.184,522.066
22.185,522.714
22.186,521.451
22.186,522.158
22.186,522.012
22.187,522.374
22.187,521.969
22.188,522.001
22.189,522.163
22.189,522.304
22.189,522.19
22.19,521.705
22.191,522.244
22.191,522.552
22.192,521.845
22.192,523.119
22.192,522.617
22.193,521.764
22.194,521.694
22.194,522.633
22.195,521.467
22.195,522.396
22.195,522.034
22.196,522.077
22.197,522.012
22.197,522.19
22.198,521.748
22.198,521.823
22.198,522.082
22.199,522.46
22.2,521.829
22.2,522.39
22.201,523.556
22.201,522.909
22.201,522.973
22.202,522.466
22.203,522.331
22.203,522.487
22.203,522.201
22.204,522.541
22.204,523.929
22.205,523.081
22.206,522.288
22.206,522.784
22.206,522.115
22.207,522.363
22.207,522.752
22.208,522.104
22.209,522.007
22.209,524.242
22.209,522.563
22.21,520.803
22.21,523.848
22.211,522.687
22.212,521.645
22.212,523.097
22.212,522.142
22.213,523.205
22.213,522.433
22.214,523.146
22.215,522.703
22.215,522.909
22.215,522.795
22.216,522.396
22.216,521.894
22.217,523.249
22.218,522.417
22.218,522.498
22.218,522.639
22.219,522.482
22.22,523.2
22.22,522.973
22.221,523.821
22.221,523.562
22.221,522.973
22.222,523.648
22.223,523.038
22.223,524.204
22.224,523.238
22.224,522.585
22.224,523.578
22.225,522.99
22.226,523.297
22.226,523.259
22.227,521.489
22.227,523.173
22.227,523.972
22.228,522.369
22.229,523.562
22.229,523.524
22.23,523.151
22.23,523.124
22.23,522.903
22.231,522.833
22.232,522.855
22.232,523.794
22.233,522.59
22.233,523.324
22.233,523.141
22.234,523.389
22.235,524.48
22.235,524.22
22.235,522.806
22.236,522.39
22.236,523.643
22.237,524.01
22.238,524.798
22.238,524.015
22.238,523.643
22.239,523.475
22.239,523.6
22.24,523.589
22.241,523.238
22.241,523.843
22.241,524.264
22.242,523.378
22.242,524.399
22.243,523.659
22.244,522.396
22.244,523.864
22.244,523.016
22.245,524.064
22.245,523.162
22.246,523.675
22.247,522.936
22.247,524.042
22.247,522.86
22.248,524.177
22.248,524.177
22.249,524.258
22.25,524.55
22.25,523.335
22.25,524.642
22.251,523.34
22.252,523.907
22.252,524.015
22.253,522.995
22.253,524.955
22.253,523.918
22.254,524.393
22.255,524.237
22.255,523.934
22.256,524.55
22.256,524.28
22.256,523.34
22.257,523.945
22.258,524.102
22.258,524.598
22.259,524.787
22.259,523.859
22.259,522.909
22.26,523.411
22.261,525.381
22.261,524.096
22.262,524.291
22.262,524.636
22.262,524.345
22.263,523.821
22.264,524.706
22.264,524.901
22.265,524.382
22.265,525.047
22.265,524.987
22.266,524.49
22.267,524.539
22.267,524.539
22.267,523.891
22.268,524.696
22.268,525.219
22.269,523.2
22.27,524.674
22.27,525.117
22.27,525.511
22.271,526.202
22.271,525.711
22.272,524.636
22.273,524.987
22.273,525.462
22.273,525.538
22.274,525.576
22.274,525.262
22.275,524.906
22.276,524.372
22.276,525.975
22.276,523.87
22.277,524.922
22.277,524.933
22.278,524.312
22.279,524.555
22.279,525.203
22.279,525.322
22.28,525.57
22.28,525.678
22.281,524.534
22.282,525.468
22.282,525.981
22.282,524.679
22.283,525.505
22.284,525.511
22.284,525.927
22.285,524.982
22.285,525.651
22.285,525.014
22.286,525.279
22.287,526.909
22.287,525.732
22.288,525.689
22.288,525.36
22.288,523.972
22.289,526.137
22.29,526.483
22.29,525.203
22.291,526.353
22.291,526.693
22.291,524.863
22.292,526.585
22.293,525.986
22.293,526.191
22.294,524.928
22.294,526.974
22.294,525.586
22.295,524.723
22.296,526.229
22.296,526.078
22.297,525.122
22.297,525.408
22.297,526.645
22.298,527.185
22.299,525.732
22.299,525.743
22.299,526.78
22.3,526.051
22.3,525.748
22.301,525.846
22.302,527.093
22.302,526.958
22.302,526.164
22.303,526.925
22.303,527.26
22.304,526.823
22.305,526.132
22.305,526.013
22.305,526.979
22.306,526.369
22.306,525.808
22.307,527.163
22.308,526.153
22.308,526.304
22.308,526.51
22.309,527.023
22.309,526.331
22.31,526.52
22.311,527.341
22.311,527.023
22.311,526.153
22.312,525.905
22.312,527.233
22.313,526.358
22.314,526.92
22.314,527.579
22.314,526.18
22.315,526.445
22.316,527.271
22.316,526.688
22.317,526.051
22.317,527.071
22.317,527.508
22.318,527.082
22.319,526.963
22.319,526.321
22.32,527.39
22.32,527.028
22.32,527.292
22.321,526.439
22.322,526.942
22.322,527.271
22.323,526.682
22.323,527.541
22.323,527.454
22.324,527.676
22.325,527.212
22.325,527.017
22.326,527.676
22.326,527.131
22.326,526.348
22.327,526.888
22.328,527.93
22.328,526.272
22.328,527.217
22.329,527.276
22.329,527.228
22.33,526.92
22.331,528.016
22.331,526.958
22.331,527.746
22.332,527.724
22.332,527.168
22.333,527.881
22.334,527.282
22.334,527.077
22.334,527.957
22.335,528.507
22.335,527.357
22.336,527.546
22.337,527.865
22.337,527.471
22.337,527.271
22.338,528.61
22.338,527.93
22.339,527.66
22.34,527.773
22.34,528.108
22.34,528.032
22.341,527.616
22.341,528.426
22.342,527.433
22.343,528.669
22.343,528.119
22.343,528.113
22.344,528.567
22.345,527.579
22.345,528.124
22.346,528.14
22.346,527.622
22.346,528.146
22.347,527.454
22.348,528.27
22.348,527.989
22.349,527.336
22.349,527.487
22.349,527.94
22.35,528.415
22.351,527.676
22.351,528.113
22.352,528.842
22.352,528.534
22.352,527.406
22.353,528.21
22.354,528.621
22.354,528.038
22.355,528.286
22.355,527.665
22.355,528.113
22.356,527.444
22.357,527.676
22.357,528.372
22.358,527.562
22.358,527.66
22.358,528.108
22.359,528.847
22.36,528.14
22.36,527.411
22.36,528.097
22.361,529.171
22.361,528.642
22.362,528.442
22.363,528.248
22.363,527.46
22.363,528.388
22.364,527.946
22.364,527.114
22.365,528.254
22.366,528.313
22.366,527.854
22.366,528.615
22.367,527.611
22.367,528.756
22.368,528.631
22.369,528.399
22.369,527.552
22.369,527.676
22.37,529.506
22.37,528.696
22.371,528.939
22.372,528.448
22.372,528.842
22.372,528.75
22.373,528.577
22.373,527.951
22.374,527.465
22.375,528.264
22.375,529.031
22.375,529.333
22.376,528.07
22.377,528.464
22.377,528.842
22.378,529.457
22.378,528.038
22.378,528.394
22.379,528.383
22.38,528.388
22.38,528.826
22.381,529.069
22.381,528.718
22.381,528.934
22.382,528.739
22.383,528.496
22.383,528.367
22.384,529.457
22.384,529.069
22.384,529.576
22.385,529.56
22.386,528.448
22.386,528.513
22.387,529.193
22.387,529.468
22.387,529.161
22.388,529.717
22.389,529.754
22.389,529.619
22.39,528.955
22.39,528.599
22.39,529.868
22.391,529.42
22.392,529.663
22.392,530.759
22.392,529.123
