0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:24:36 2018,4510860,762.723,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1202,0,62,26,5.29597,-1.07739,-8.91601,0,0.0170276,-0.0542754,-52.374,47.6953,22.7977,-30.5277,-0.593292
Mon Feb  5 12:24:36 2018,4520861,762.723,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,60,24,5.08528,-1.15879,-8.86333,-0.0042569,0.0340552,-0.0468259,-52.374,47.6953,22.7977,-29.6357,-0.578658
Mon Feb  5 12:24:36 2018,4530862,762.723,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,60,24,5.17626,-1.21147,-9.03093,-0.00638535,0.042569,-0.0372479,-52.374,47.6953,22.7977,-29.6001,-0.556707
Mon Feb  5 12:24:36 2018,4540863,762.723,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1210,0,16,62,5.05655,-1.22104,-8.9208,-0.0159634,0.0478901,-0.0319267,-52.374,47.6953,22.7977,-29.3182,-0.530792
Mon Feb  5 12:24:36 2018,4550864,759.604,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1210,0,16,62,5.07092,-1.25935,-8.78672,-0.0127707,0.0446974,-0.0255414,-52.374,47.6953,22.7977,-29.7382,-0.504268
Mon Feb  5 12:24:36 2018,4560865,759.604,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,60,24,5.15232,-1.21625,-8.90164,-0.0138349,0.042569,-0.0117065,-52.374,47.6953,22.7977,-29.8333,-0.479268
Mon Feb  5 12:24:36 2018,4570866,759.604,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,60,24,5.31513,-1.04866,-8.62391,-0.0255414,0.0500185,-0.00638535,-52.374,47.6953,22.7977,-31.459,-0.452744
Mon Feb  5 12:24:36 2018,4580867,759.604,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1202,0,60,24,5.28161,-0.986411,-8.65743,-0.0202203,0.0457616,0.00106422,-52.374,47.6953,22.7977,-31.2219,-0.425305
Mon Feb  5 12:24:36 2018,4590868,759.604,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1202,0,60,24,5.34386,-1.02951,-8.48984,-0.0159634,0.0393763,0.00638535,-52.374,47.6953,22.7977,-31.9998,-0.400914
Mon Feb  5 12:24:36 2018,4600869,759.604,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,8,1210,0,16,62,5.46357,-1.27372,-8.44674,-0.0170276,0.0361836,0.0170276,-52.374,47.6953,22.7977,-32.6028,-0.379268
