today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:08:47 2018,4555772,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,16,1210,0,60,62,0.023942,0.153229,-10.2663,0.00638535,-0.0170276,0.00744957,-36.9902,45.7875,42.2672,-0.133604,-0.289634,
Mon Feb  5 12:08:47 2018,4565773,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,16,1210,0,60,62,0.114922,0.11971,-10.228,0.00212845,-0.0106422,0.00638535,-36.9902,45.7875,42.2672,-0.643702,-0.297561,
Mon Feb  5 12:08:47 2018,4575774,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,60,24,0.0430956,0.172383,-10.2951,0.00106422,-0.0234129,0.00851379,-36.9902,45.7875,42.2672,-0.239808,-0.307317,
Mon Feb  5 12:08:47 2018,4585782,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,60,24,0.023942,0.196325,-10.2663,0.00319267,-0.0159634,0.00744957,-36.9902,45.7875,42.2672,-0.133594,-0.318597,
Mon Feb  5 12:08:47 2018,4595783,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,60,60,0.0957681,0.268151,-10.343,0.00212845,-0.0127707,0.00957802,-36.9902,45.7875,42.2672,-0.530323,-0.326829,
Mon Feb  5 12:08:47 2018,4605784,759.482,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,12,1206,0,58,60,0.0957681,0.220267,-10.2568,0.00212845,-0.0180918,0.00851379,-36.9902,45.7875,42.2672,-0.534836,-0.33567,
Mon Feb  5 12:08:47 2018,4615787,759.482,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,14,1210,0,16,24,0.124498,0.23942,-10.3382,0.00638535,-0.0180918,0.0127707,-36.9902,45.7875,42.2672,-0.689773,-0.346036,
Mon Feb  5 12:08:47 2018,4625788,759.482,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,14,1210,0,16,24,0.124498,0.263362,-10.3573,0.00106422,-0.0159634,0.00532112,-36.9902,45.7875,42.2672,-0.688459,-0.355792,
Mon Feb  5 12:08:47 2018,4635789,759.482,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1202,0,16,62,0.0383072,0.244209,-10.3094,0,-0.0127707,0.0106422,-36.9902,45.7875,42.2672,-0.212836,-0.364024,
Mon Feb  5 12:08:47 2018,4645790,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1202,0,16,62,0.0430956,0.23942,-10.2232,0.00212845,-0.0127707,0.0106422,-36.9902,45.7875,42.2672,-0.24146,-0.371341,
