today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:15:53 2018,4569871,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1194,0,16,62,-1.39343,1.87227,-9.98861,-0.278827,-0.601287,-0.271377,-30.249,39.7172,45.4289,7.80735,-9.76615,
Mon Feb  5 12:15:53 2018,4579872,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1194,0,16,62,-1.45567,1.88184,-9.98861,-0.221359,-0.587452,-0.25435,-30.249,39.7172,45.4289,8.15014,-10.1067,
Mon Feb  5 12:15:53 2018,4589873,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1200,0,16,58,-1.56581,1.78129,-10.386,-0.168147,-0.573617,-0.22668,-30.249,39.7172,45.4289,8.45181,-10.4393,
Mon Feb  5 12:15:53 2018,4599874,761.185,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,14,1200,0,16,58,-1.60412,1.7765,-9.98861,-0.114936,-0.571488,-0.202203,-30.249,39.7172,45.4289,8.98484,-10.7674,
Mon Feb  5 12:15:53 2018,4609875,758.344,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4850,16,1192,0,16,60,-2.05422,1.98719,-9.79707,-0.0510828,-0.580002,-0.19156,-30.249,39.7172,45.4289,11.6122,-11.0972,
Mon Feb  5 12:15:53 2018,4619876,758.344,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4850,16,1192,0,16,60,-2.10211,2.09732,-9.94073,0.0287341,-0.59703,-0.180918,-30.249,39.7172,45.4289,11.6901,-11.4344,
Mon Feb  5 12:15:53 2018,4629877,758.344,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4854,14,1192,0,62,24,-2.1452,2.25055,-9.70131,0.0893948,-0.600222,-0.176661,-30.249,39.7172,45.4289,12.1561,-11.7774,
Mon Feb  5 12:15:53 2018,4639878,758.344,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4854,14,1192,0,62,24,-2.02071,2.60489,-9.92157,0.148991,-0.608736,-0.172404,-30.249,39.7172,45.4289,11.1441,-12.1238,
Mon Feb  5 12:15:53 2018,4649879,759.978,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1194,0,62,24,-2.19309,2.68629,-9.61033,0.229872,-0.600222,-0.170276,-30.249,39.7172,45.4289,12.3952,-12.4701,
Mon Feb  5 12:15:53 2018,4659880,759.978,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4858,16,1194,0,62,24,-2.20745,2.37026,-9.51456,0.300111,-0.586388,-0.172404,-30.249,39.7172,45.4289,12.6873,-12.8101,
Mon Feb  5 12:15:53 2018,4669881,759.978,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,8,1202,0,16,60,-2.17394,1.93451,-9.57681,0.3629,-0.572553,-0.154313,-30.249,39.7172,45.4289,12.5443,-13.1421,
Mon Feb  5 12:15:53 2018,4679882,759.978,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,8,1202,0,16,60,-1.98719,1.55144,-9.93115,0.426754,-0.559782,-0.126643,-30.249,39.7172,45.4289,11.1831,-13.4665,
Mon Feb  5 12:15:53 2018,4689883,759.978,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,14,1208,0,62,60,-2.1883,1.31681,-9.9934,0.484222,-0.560846,-0.0968444,-30.249,39.7172,45.4289,12.2487,-13.7875,
Mon Feb  5 12:15:53 2018,4699884,759.978,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,14,1208,0,62,60,-2.29843,1.31202,-9.97424,0.545947,-0.556589,-0.0691746,-30.249,39.7172,45.4289,12.8694,-14.1076,
Mon Feb  5 12:15:53 2018,4709885,758.579,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,12,1202,0,60,24,-2.48518,1.54187,-9.70609,0.599158,-0.552332,-0.0457616,-30.249,39.7172,45.4289,14.191,-14.4253,
Mon Feb  5 12:15:53 2018,4719886,758.579,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,12,1202,0,60,24,-2.91614,1.96325,-9.50977,0.643856,-0.562975,-0.0361836,-30.249,39.7172,45.4289,16.7157,-14.7448,
Mon Feb  5 12:15:53 2018,4729887,758.579,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,14,1204,0,58,24,-2.91135,2.11169,-9.50019,0.684296,-0.578938,-0.0361836,-30.249,39.7172,45.4289,16.6546,-15.0719,
Mon Feb  5 12:15:53 2018,4739888,758.579,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,14,1204,0,58,24,-2.67672,1.75734,-9.5385,0.724737,-0.580002,-0.0436332,-30.249,39.7172,45.4289,15.4283,-15.404,
Mon Feb  5 12:15:53 2018,4749889,758.64,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,8,1202,0,58,24,-2.39899,1.23541,-9.78271,0.736443,-0.566167,-0.0340552,-16.0752,33.8203,48.757,13.6741,-15.7323,
