today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:05:44 2018,4544846,757.319,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1192,0,16,26,0.0526724,0.186748,-10.4291,-0.00319267,-0.0170276,0.0042569,-31.8047,41.9719,40.6031,-0.289324,0.0429878,
Mon Feb  5 12:05:44 2018,4554847,757.319,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4868,14,1200,0,16,62,0.105345,0.201113,-10.2089,0.00106422,-0.019156,0.00744957,-31.8047,41.9719,40.6031,-0.591097,0.042378,
Mon Feb  5 12:05:44 2018,4564848,757.319,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4868,14,1200,0,16,62,0.0909797,0.205901,-10.2137,0.00532112,-0.0138349,0.00532112,-31.8047,41.9719,40.6031,-0.510253,0.0442073,
Mon Feb  5 12:05:44 2018,4574849,757.319,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,16,1192,0,16,62,0.0861913,0.23942,-10.2807,0.00319267,-0.0148991,0.00744957,-31.8047,41.9719,40.6031,-0.480214,0.0466463,
Mon Feb  5 12:05:44 2018,4584850,757.319,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,16,1192,0,16,62,0.0526724,0.229843,-10.2568,0.00532112,-0.0159634,0.0042569,-31.8047,41.9719,40.6031,-0.29416,0.0490853,
Mon Feb  5 12:05:44 2018,4594851,757.319,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,14,1192,0,62,60,0.0766145,0.134075,-10.1993,-0.00106422,-0.0170276,0.00532112,-31.8047,41.9719,40.6031,-0.430346,0.0503048,
Mon Feb  5 12:05:44 2018,4604852,758.744,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,14,1192,0,62,60,0.0335188,0.282516,-10.2951,0.00319267,-0.0148991,0.0138349,-31.8047,41.9719,40.6031,-0.186474,0.0509146,
Mon Feb  5 12:05:44 2018,4614853,758.744,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1202,0,16,62,0.071826,0.263362,-10.1897,0.00851379,-0.019156,0.00744957,-31.8047,41.9719,40.6031,-0.403729,0.0542682,
Mon Feb  5 12:05:44 2018,4624854,758.744,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1202,0,16,62,0.0766145,0.138864,-10.1993,0.00532112,-0.0127707,0.0042569,-31.8047,41.9719,40.6031,-0.430343,0.0582317,
Mon Feb  5 12:05:44 2018,4634855,758.744,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4832,16,1194,0,64,24,0.0574608,0.225055,-10.3286,0.00106422,-0.0159634,0.00957802,-32.4961,41.625,39.9375,-0.318674,0.0600609,
