today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 07:02:46 2019,4539223,949.451,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,22,8,60,24,0.162806,0.186748,-9.7444,0.00532112,0.00106422,-0.00744957,-23.4609,39.832,17.4023,0.957188,9.45351,0.525663,1.47996,2.00562,
Thu Sep 19 07:02:46 2019,4549224,949.451,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,24,10,62,66,0.196325,-0.0191536,-9.80665,0.00106422,0.00106422,-0.0212845,-23.4609,39.832,17.4023,1.14688,9.73999,0.547649,1.42093,1.96858,
Thu Sep 19 07:02:46 2019,4559225,949.451,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,24,10,62,66,0.0430956,0.201113,-9.55765,0.00106422,-0.00532112,-0.0042569,-23.4609,39.832,17.4023,0.258346,10.0283,0.569012,1.36329,1.93231,
Thu Sep 19 07:02:46 2019,4569226,949.451,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,16,62,0.172383,0.0622492,-9.77792,0.00851379,-0.0042569,-0.00851379,-23.4609,39.832,17.4023,1.01001,10.3145,0.588934,1.30337,1.89231,
Thu Sep 19 07:02:46 2019,4579227,950.207,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,16,62,0.162806,0.0861913,-9.66779,0.00212845,-0.00106422,-0.0127707,-23.6414,40.0131,18.2725,0.964772,10.6,0.608,1.24304,1.85104,
Thu Sep 19 07:02:46 2019,4589228,950.207,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,2,24,8,58,22,0.0287304,0.105345,-9.73482,0.00638535,-0.00212845,0.0042569,-23.6414,40.0131,18.2725,0.169097,10.8868,0.626085,1.18431,1.81039,
Thu Sep 19 07:02:46 2019,4599229,950.207,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,2,24,8,58,22,0.0287304,0.138864,-9.67257,0.0117065,-0.00319267,-0.00319267,-23.6414,40.0131,18.2725,0.170185,11.1736,0.64166,1.1261,1.76776,
Thu Sep 19 07:02:46 2019,4609230,950.207,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,24,0.138864,0.0047884,-9.67257,0.0117065,-0.00106422,-0.00638535,-23.6414,40.0131,18.2725,0.822507,11.4595,0.654746,1.06771,1.72245,
Thu Sep 19 07:02:46 2019,4619231,950.65,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,24,0.100556,0.158017,-9.70131,0.00212845,-0.00638535,-0.00106422,-23.6414,40.0131,18.2725,0.593864,11.7475,0.666521,1.01229,1.67881,
Thu Sep 19 07:02:46 2019,4629232,950.65,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,14,20,16,66,0.0909797,0.196325,-9.64384,0.00851379,-0.00638535,-0.0127707,-23.6414,40.0131,18.2725,0.540511,12.034,0.677188,0.956302,1.63349,
