today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 06:50:42 2019,4509534,949.364,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,10,64,26,0.181959,0.047884,-9.66779,0.00532112,-0.00744957,-0.0042569,-22.7391,36.9352,17.4023,1.07825,8.59651,0.436972,1.65524,2.09221,
Thu Sep 19 06:50:42 2019,4519535,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,10,64,26,0.0766145,0.110133,-9.56723,0.00532112,0,-0.00532112,-22.7391,36.9352,17.4023,0.458816,8.88085,0.453476,1.5967,2.05018,
Thu Sep 19 06:50:42 2019,4529536,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,62,26,0.0526724,0.110133,-9.68215,0.00744957,-0.00638535,-0.00851379,-22.7391,36.9352,17.4023,0.311695,9.16916,0.469042,1.54091,2.00995,
Thu Sep 19 06:50:42 2019,4539537,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,62,26,-0.0047884,-0.0383072,-9.54329,0.00638535,-0.0042569,-0.0042569,-22.7391,36.9352,17.4023,-0.0287485,9.45503,0.48251,1.4817,1.96421,
Thu Sep 19 06:50:42 2019,4549538,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,10,62,26,0.21069,0.153229,-9.62948,0.00319267,-0.00532112,-0.00744957,-22.7391,36.9352,17.4023,1.25341,9.74182,0.494434,1.42281,1.91725,
Thu Sep 19 06:50:42 2019,4559539,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,10,62,26,0.047884,0.129287,-9.54329,0.00851379,-0.00212845,-0.00957802,-22.7391,36.9352,17.4023,0.287483,10.0274,0.506088,1.36239,1.86848,
Thu Sep 19 06:50:42 2019,4569540,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,24,10,62,26,0.138864,0.0143652,-9.84017,0.00957802,-0.00532112,-0,-22.7391,36.9352,17.4023,0.808501,10.3148,0.51733,1.30371,1.82104,
Thu Sep 19 06:50:42 2019,4579541,949.242,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,24,10,62,26,0.00957681,0.0766145,-9.76355,0.00212845,0,-0.00957802,-22.7391,36.9352,17.4023,0.0561999,10.5997,0.527514,1.24275,1.77027,
Thu Sep 19 06:50:42 2019,4589542,949.242,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,10,20,20,66,0.100556,0.172383,-9.663,-0.00106422,-0.00212845,-0.0170276,-22.7391,36.9352,17.4023,0.596218,10.8868,0.536273,1.18434,1.72061,
Thu Sep 19 06:50:42 2019,4599543,949.242,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,10,20,20,66,0.153229,0.0143652,-9.64384,0.0138349,-0.00532112,-0.00106422,-22.7391,36.9352,17.4023,0.910284,11.1742,0.544301,1.1267,1.671,
Thu Sep 19 06:50:42 2019,4609544,949.242,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,8,62,26,-0.0287304,0.0622492,-9.56723,0.00638535,0,-0.00212845,-22.7391,36.9352,17.4023,-0.172059,11.4592,0.55171,1.06738,1.61909,
Thu Sep 19 06:50:42 2019,4619545,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,8,62,26,0.215478,0.162806,-9.71567,-0.00212845,0.00106422,-0.0117065,-22.7391,36.9352,17.4023,1.27052,11.7453,0.558141,1.01023,1.56837,
Thu Sep 19 06:50:42 2019,4629546,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,22,8,62,26,0.11971,0.105345,-9.70131,0.00532112,-0.00106422,-0.00638535,-22.7391,36.9352,17.4023,0.706971,12.0324,0.56482,0.955006,1.51983,
Thu Sep 19 06:50:42 2019,4639547,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,22,8,62,26,0.0335188,-0.0287304,-9.47625,0.00744957,0,-0.0042569,-22.7391,36.9352,17.4023,0.202663,12.3186,0.571525,0.899992,1.47152,
Thu Sep 19 06:50:42 2019,4649548,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,14,18,18,66,0.0814029,0.138864,-9.71088,0.00638535,-0.00106422,-0.00638535,-22.7391,36.9352,17.4023,0.480279,12.6054,0.577006,0.846839,1.42385,
Thu Sep 19 06:50:42 2019,4659549,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,14,18,18,66,0.196325,0.0622492,-9.50498,0.00638535,-0.00319267,-0.0138349,-22.7391,36.9352,17.4023,1.18327,12.8925,0.582057,0.7953,1.37736,
Thu Sep 19 06:50:42 2019,4669550,948.843,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,8,62,24,0.138864,0.11971,-9.6199,0.0106422,-0.00319267,-0.00106422,-22.7391,36.9352,17.4023,0.82701,13.179,0.587949,0.744553,1.3325,
Thu Sep 19 06:50:42 2019,4679551,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,8,62,24,0.100556,0.0622492,-9.67257,0.0042569,-0.0042569,-0.00212845,-22.7391,36.9352,17.4023,0.595628,13.4657,0.59436,0.6956,1.28996,
Thu Sep 19 06:50:42 2019,4689552,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,20,66,0.110133,0.129287,-9.77313,0.00212845,-0.00638535,-0.0148991,-22.7391,36.9352,17.4023,0.645639,13.7528,0.600497,0.648475,1.24897,
Thu Sep 19 06:50:42 2019,4699553,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,20,66,0.100556,0.0191536,-9.64384,0.00851379,0.00106422,-0.00851379,-22.7391,36.9352,17.4023,0.597403,14.0372,0.60619,0.600279,1.20647,
Thu Sep 19 06:50:42 2019,4709554,948.26,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,10,20,18,66,0.11971,0.0814029,-9.62469,0.00212845,-0.00532112,-0,-22.7391,36.9352,17.4023,0.712598,14.3255,0.61152,0.557705,1.16923,
Thu Sep 19 06:50:42 2019,4719555,947.166,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,10,20,18,66,0.124498,0.0574608,-9.69652,0.00638535,0,-0.00957802,-22.7391,36.9352,17.4023,0.73561,14.6104,0.616692,0.513437,1.13013,
Thu Sep 19 06:50:42 2019,4729556,947.166,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,10,66,26,0.172383,0.0814029,-9.73482,0.0148991,-0.0042569,-0.00851379,-22.7391,36.9352,17.4023,1.01448,14.8981,0.622115,0.473617,1.09573,
Thu Sep 19 06:50:42 2019,4739557,947.166,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,10,66,26,0.105345,0.071826,-9.70131,0.0042569,-0.00212845,-0.00532112,-22.7391,36.9352,17.4023,0.622142,15.184,0.627925,0.433643,1.06157,
Thu Sep 19 06:50:42 2019,4749558,947.166,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,10,20,20,66,0.129287,0.0957681,-9.71567,0.00638535,-0.00212845,-0.00744957,-22.7391,36.9352,17.4023,0.762393,15.4705,0.633722,0.396012,1.02973,
Thu Sep 19 06:50:42 2019,4759559,947.166,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,10,20,20,66,0.0861913,0.105345,-9.68215,0.00744957,-0.00319267,-0.0042569,-22.7391,36.9352,17.4023,0.510038,15.7573,0.639141,0.360376,0.999517,
Thu Sep 19 06:50:42 2019,4769560,947.166,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,22,8,64,26,0.0766145,0.105345,-9.50977,0.00744957,-0.00744957,-0.00532112,-22.7391,36.9352,17.4023,0.461588,16.045,0.643805,0.327283,0.971089,
Thu Sep 19 06:50:42 2019,4779561,948.964,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,22,8,64,26,0.047884,0.129287,-9.58638,0.00638535,-0.00212845,-0.00851379,-22.7391,36.9352,17.4023,0.286191,16.3299,0.647265,0.293142,0.940407,
Thu Sep 19 06:50:42 2019,4789562,948.964,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,66,0.215478,0.071826,-9.62948,0.00744957,0,-0.00532112,-22.7391,36.9352,17.4023,1.28189,16.6158,0.650173,0.261671,0.911844,
