today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:31:22 2019,4515094,947.418,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,8,66,28,0.0861913,-0.023942,-9.64863,0.0042569,-0.0042569,-0.0106422,-22.1977,33.133,17.5764,0.51181,8.88207,
Thu Sep 19 06:31:22 2019,4525095,947.418,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,10,62,26,0.162806,0.134075,-9.63427,0.0042569,-0.00212845,-0.00106422,-22.1977,33.133,17.5764,0.968128,9.16794,
Thu Sep 19 06:31:22 2019,4535096,947.418,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,10,62,26,0.0430956,0.110133,-9.46188,0.00638535,-0.00532112,0.00319267,-22.1977,33.133,17.5764,0.260961,9.45534,
Thu Sep 19 06:31:22 2019,4545097,947.418,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,0,24,10,62,24,0.114922,0,-9.74919,0.00638535,-0.00106422,-0.0106422,-22.1977,33.133,17.5764,0.675362,9.74059,
Thu Sep 19 06:31:22 2019,4555098,947.418,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,0,24,10,62,24,0.191536,0.0335188,-9.77313,0.00638535,-0.0042569,-0.00851379,-22.1977,33.133,17.5764,1.12275,10.028,
Thu Sep 19 06:31:22 2019,4565099,947.418,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,8,60,26,0.153229,0.143652,-9.55287,0.00212845,-0.00212845,-0.00638535,-22.1977,33.133,17.5764,0.918952,10.3139,
Thu Sep 19 06:31:22 2019,4575100,947.513,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,8,60,26,0.0766145,0.0287304,-9.87369,0.00319267,-0.0042569,-0.0127707,-22.1977,33.133,17.5764,0.444576,10.6009,
Thu Sep 19 06:31:22 2019,4585101,947.513,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,64,0.11971,0.229843,-9.61033,0.00638535,0.00319267,0.0117065,-22.1977,33.133,17.5764,0.713663,10.8853,
Thu Sep 19 06:31:22 2019,4595102,947.513,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,64,0.0574608,0.0430956,-9.78271,0.0042569,-0.00319267,-0.0212845,-22.1977,33.133,17.5764,0.336535,11.1736,
Thu Sep 19 06:31:22 2019,4605103,947.513,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,8,20,18,64,0.0383072,0.047884,-9.41879,0.0127707,-0.00957802,-0,-22.1977,33.133,17.5764,0.233027,11.4619,
