time,input,output,voltage
0.324,-0.3,-0.355883542789469,0.141071545879662
0.326,-0.3,-0.355883542789469,0.156321143376564
0.328,-0.3,-0.355883542789469,0.168001765394605
0.33,-0.3,-0.352815581213697,0.0237860257888838
0.332,-0.3,-0.352815581213697,0.0724529705654484
0.334,-0.3,-0.352815581213697,0.107470512370891
0.336,-0.3,-0.352815581213697,0.132933472096549
0.338,-0.3,-0.352815581213697,0.151708224366354
0.34,-0.3,-0.352815581213697,0.165801231417064
0.342,-0.3,-0.352815581213697,0.176617016814409
0.344,-0.3,-0.352815581213697,0.185138747054395
0.346,-0.3,-0.349747619637926,0.0386565598956641
0.348,-0.3,-0.349747619637926,0.0856817680767651
0.35,-0.3,-0.349747619637926,0.11949487095702
0.352,-0.3,-0.349747619637926,0.144059500126678
0.354,-0.3,-0.349747619637926,0.162150197698923
0.356,-0.3,-0.349747619637926,0.175709143152976
0.358,-0.3,-0.346679658062155,0.0326977833357326
0.36,-0.3,-0.346679658062155,0.0820973473475057
0.362,-0.3,-0.346679658062155,0.117517276000866
0.364,-0.3,-0.346679658062155,0.143151459903336
0.366,-0.3,-0.346679658062155,0.161935622480183
0.368,-0.3,-0.346679658062155,0.175924770129096
0.37,-0.3,-0.343611696486384,0.0331593285398892
0.372,-0.3,-0.343611696486384,0.0826758120029223
0.374,-0.3,-0.343611696486384,0.118122360963804
0.376,-0.3,-0.343611696486384,0.143719955773175
0.378,-0.3,-0.343611696486384,0.162423282676489
0.38,-0.3,-0.340543734910612,0.0229025432570018
0.382,-0.3,-0.340543734910612,0.0746350949304735
0.384,-0.3,-0.340543734910612,0.111577668330296
0.386,-0.3,-0.340543734910612,0.138167256938563
0.388,-0.3,-0.340543734910612,0.157509756192742
0.39,-0.3,-0.340543734910612,0.171779292899057
0.392,-0.3,-0.340543734910612,0.182497755821869
0.394,-0.3,-0.340543734910612,0.190730467096229
0.396,-0.3,-0.337475773334841,0.0438250734281056
0.398,-0.3,-0.337475773334841,0.0903331438191724
0.4,-0.3,-0.337475773334841,0.123563357012945
0.402,-0.3,-0.337475773334841,0.147499070168614
0.404,-0.3,-0.337475773334841,0.16492863329761
0.406,-0.3,-0.337475773334841,0.177803891407933
