Var1,Var2,Var3
0.286,-0.497009775274948,0.828909394240086
0.288,-0.506213660002262,0.886749404393152
0.29,-0.512349583153804,0.929801839751001
0.292,-0.518485506305347,0.973222430497942
0.294,-0.524621429456889,1.01701117663398
0.296,-0.530757352608432,1.0611680781591
0.298,-0.533825314184203,1.09035332719446
0.3,-0.536893275759974,1.11972265392437
0.302,-0.539961237335746,1.14927605834883
0.304,-0.539961237335746,1.16367373258897
0.306,-0.543029198911517,1.19341121470797
0.308,-0.543029198911517,1.20799296664266
0.31,-0.539961237335746,1.2072349106985
0.312,-0.536893275759974,1.20629277705979
0.314,-0.533825314184203,1.20516656572653
0.316,-0.530757352608432,1.20385627669873
0.318,-0.524621429456889,1.18702210209752
0.32,-0.518485506305347,1.16981977210722
0.322,-0.512349583153804,1.15224928672783
0.324,-0.506213660002262,1.13431064595934
0.326,-0.497009775274948,1.10066404192291
0.328,-0.487805890547634,1.06646520480284
0.33,-0.47860200582032,1.03171413459913
0.332,-0.469398121093006,0.996410831311775
0.334,-0.457126274789921,0.94521548706193
0.336,-0.447922390062607,0.908623639912756
0.338,-0.435650543759522,0.856139751801087
0.34,-0.423378697456437,0.802919552911233
0.342,-0.411106851153352,0.748963043243193
0.344,-0.395767043274495,0.678930414918112
0.346,-0.38349519697141,0.623317205999156
0.348,-0.371223350668325,0.566967686302015
0.35,-0.355883542789469,0.494542047947833
0.352,-0.343611696486384,0.436535828999775
0.354,-0.328271888607527,0.362453491394676
0.356,-0.316000042304442,0.302790573195702
0.358,-0.300660234425586,0.227051536339686
0.36,-0.285320426546729,0.150392111010939
0.362,-0.273048580243644,0.0881521050883176
0.364,-0.257708772364788,0.00983598050865422
0.366,-0.245436926061703,-0.0540607246648842
0.368,-0.233165079758617,-0.118693740616608
0.37,-0.220893233455532,-0.184063067346516
0.372,-0.208621387152447,-0.25016870485461
0.374,-0.196349540849362,-0.317010653140889
0.376,-0.184077694546277,-0.384588912205353
0.378,-0.171805848243192,-0.452903482048002
0.38,-0.159534001940107,-0.521954362668836
0.382,-0.150330117212793,-0.576401746188999
0.384,-0.141126232485479,-0.6314013627928
0.386,-0.131922347758165,-0.686953212480241
0.388,-0.122718463030851,-0.74305729525132
0.39,-0.116582539879309,-0.784373803227182
0.392,-0.107378655151995,-0.841398274470993
0.394,-0.101242732000452,-0.883635170919586
0.396,-0.098174770424681,-0.910900414878415
0.398,-0.0920388472731385,-0.953689544410647
0.4,-0.0889708856973672,-0.981507021453115
0.402,-0.0859029241215959,-1.00950857619013
0.404,-0.0828349625458246,-1.03769420862169
0.406,-0.0828349625458246,-1.05072411086894
0.408,-0.0828349625458246,-1.06375401311619
