time,input,output,voltage
0.534,-0,0.279184503395187,-1.39592251697593
0.536,-0,0.282252464970958,-1.41126232485479
0.538,-0,0.285320426546729,-1.42660213273365
0.54,-0,0.285320426546729,-1.42660213273365
0.542,-0,0.288388388122501,-1.4419419406125
0.544,-0,0.291456349698272,-1.45728174849136
0.546,-0,0.291456349698272,-1.45728174849136
0.548,-0,0.294524311274043,-1.47262155637022
0.55,-0,0.297592272849814,-1.48796136424907
0.552,-0,0.297592272849814,-1.48796136424907
0.554,-0,0.300660234425586,-1.50330117212793
0.556,-0,0.300660234425586,-1.50330117212793
0.558,-0,0.303728196001357,-1.51864098000678
0.56,-0,0.303728196001357,-1.51864098000678
0.562,-0,0.306796157577128,-1.53398078788564
0.564,-0,0.306796157577128,-1.53398078788564
0.566,-0,0.3098641191529,-1.5493205957645
0.568,-0,0.3098641191529,-1.5493205957645
0.57,-0,0.3098641191529,-1.5493205957645
0.572,-0,0.312932080728671,-1.56466040364335
0.574,-0,0.312932080728671,-1.56466040364335
0.576,-0,0.316000042304442,-1.58000021152221
0.578,-0,0.316000042304442,-1.58000021152221
0.58,-0,0.316000042304442,-1.58000021152221
0.582,-0,0.319068003880213,-1.59534001940107
0.584,-0,0.319068003880213,-1.59534001940107
0.586,-0,0.322135965455985,-1.61067982727992
0.588,-0,0.322135965455985,-1.61067982727992
0.59,-0,0.325203927031756,-1.62601963515878
0.592,-0,0.325203927031756,-1.62601963515878
0.594,-0,0.328271888607527,-1.64135944303764
0.596,-0,0.328271888607527,-1.64135944303764
0.598,-0,0.331339850183298,-1.65669925091649
0.6,-0,0.33440781175907,-1.67203905879535
0.602,-0,0.33440781175907,-1.67203905879535
0.604,-0,0.337475773334841,-1.68737886667421
0.606,-0,0.337475773334841,-1.68737886667421
0.608,-0,0.340543734910612,-1.70271867455306
0.61,-0,0.343611696486384,-1.71805848243192
0.612,-0,0.343611696486384,-1.71805848243192
0.614,-0,0.346679658062155,-1.73339829031077
0.616,-0,0.346679658062155,-1.73339829031077
0.618,-0,0.349747619637926,-1.74873809818963
0.62,-0,0.352815581213697,-1.76407790606849
0.622,-0,0.352815581213697,-1.76407790606849
0.624,-0,0.355883542789469,-1.77941771394734
0.626,-0,0.355883542789469,-1.77941771394734
0.628,-0,0.35895150436524,-1.7947575218262
0.63,-0,0.35895150436524,-1.7947575218262
0.632,-0,0.362019465941011,-1.81009732970506
0.634,-0,0.362019465941011,-1.81009732970506
0.636,-0,0.365087427516783,-1.82543713758391
0.638,-0,0.365087427516783,-1.82543713758391
0.64,-0,0.365087427516783,-1.82543713758391
0.642,-0,0.368155389092554,-1.84077694546277
0.644,-0,0.368155389092554,-1.84077694546277
0.646,-0,0.368155389092554,-1.84077694546277
0.648,-0,0.371223350668325,-1.85611675334163
0.65,-0,0.371223350668325,-1.85611675334163
0.652,-0,0.371223350668325,-1.85611675334163
0.654,-0,0.374291312244096,-1.87145656122048
0.656,-0,0.374291312244096,-1.87145656122048
0.658,-0,0.374291312244096,-1.87145656122048
0.66,-0,0.377359273819868,-1.88679636909934
0.662,-0,0.377359273819868,-1.88679636909934
0.664,-0,0.377359273819868,-1.88679636909934
0.666,-0,0.380427235395639,-1.9021361769782
0.668,-0,0.380427235395639,-1.9021361769782
0.67,-0,0.380427235395639,-1.9021361769782
0.672,-0,0.38349519697141,-1.91747598485705
0.674,-0,0.38349519697141,-1.91747598485705
0.676,-0,0.38349519697141,-1.91747598485705
0.678,-0,0.386563158547182,-1.93281579273591
0.68,-0,0.386563158547182,-1.93281579273591
0.682,-0,0.386563158547182,-1.93281579273591
0.684,-0,0.386563158547182,-1.93281579273591
0.686,-0,0.389631120122953,-1.94815560061476
0.688,-0,0.389631120122953,-1.94815560061476
0.69,-0,0.389631120122953,-1.94815560061476
0.692,-0,0.389631120122953,-1.94815560061476
0.694,-0,0.392699081698724,-1.96349540849362
0.696,-0,0.392699081698724,-1.96349540849362
0.698,-0,0.392699081698724,-1.96349540849362
0.7,-0,0.395767043274495,-1.97883521637248
0.702,-0,0.395767043274495,-1.97883521637248
0.704,-0,0.395767043274495,-1.97883521637248
0.706,-0,0.398835004850267,-1.99417502425133
0.708,-0,0.398835004850267,-1.99417502425133
0.71,-0,0.401902966426038,-2.00951483213019
0.712,-0,0.401902966426038,-2.00951483213019
0.714,-0,0.404970928001809,-2.02485464000905
0.716,-0,0.404970928001809,-2.02485464000905
0.718,-0,0.408038889577581,-2.0401944478879
0.72,-0,0.411106851153352,-2.05553425576676
