today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:21:53 2018,194664883,683.254,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5106,9996,62,46,114,906,7.05332,4.29999,9.02614,1.06103,0.317139,-0.101101,15.5988,12.0914,-61.9172,194.665,20,-4.59829,2.45983,-2.63069,-0.00103305,-0.000732444,-2.98043,0.355962,-0.158417,
Sun Sep 23 20:21:53 2018,194674884,683.584,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5106,9996,62,46,114,906,-3.18429,7.87214,7.16824,1.87091,0.147927,-0.0638535,15.5988,12.0914,-61.9172,194.675,20,-4.30305,2.4303,-2.63103,-0.00391739,-0.000897283,-2.98047,0.355953,-2.2973,
Sun Sep 23 20:21:53 2018,194684885,683.584,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5162,9996,68,18,48,1086,-2.01592,2.34632,26.8725,2.70739,0.389506,-0.145799,15.5988,12.0914,-61.9172,194.685,20,-3.668,2.3668,-2.63132,-0.00842325,-0.00106559,-2.98055,0.355942,-4.73389,
Sun Sep 23 20:21:53 2018,194694886,683.584,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5162,9996,68,18,48,1086,2.16915,-9.13627,32.4941,2.53392,0.280955,0.170276,22.7707,20.032,-58.1016,194.695,20,-2.72549,2.27255,-2.63156,-0.0144546,-0.0012133,-2.98069,0.35593,-7.26102,
Sun Sep 23 20:21:53 2018,194704887,683.584,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5160,9996,48,8,0,1090,4.29999,-6.91924,27.6004,1.90603,0.285212,0.536369,22.7707,20.032,-58.1016,194.705,20,-1.51443,2.15144,-2.63175,-0.0130894,-0.00111136,-2.98082,0.355919,-6.78743,
Sun Sep 23 20:21:53 2018,194714888,684.053,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5160,9996,48,8,0,1090,2.05422,-6.83784,30.1622,2.47326,0.106422,0.470387,22.7707,20.032,-58.1016,194.715,20,0.127699,1.98723,-2.6319,-0.0086494,-0.000901789,-2.98091,0.35591,-4.97442,
Sun Sep 23 20:21:53 2018,194724889,684.053,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5180,9996,54,18,0,1092,2.40378,-5.72214,30.1095,3.93018,0.243707,0.184111,22.7707,20.032,-58.1016,194.725,20,2.20086,1.77991,-2.63199,-0.0126266,-0.00090869,-2.98104,0.355901,-6.7394,
Sun Sep 23 20:21:53 2018,194734890,684.053,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5180,9996,54,18,0,1092,-3.76368,8.89685,20.2693,5.22428,0.464002,-0.188368,22.7707,20.032,-58.1016,194.735,20,4.52385,1.54761,-2.63205,-0.0257907,-0.00101558,-2.9813,0.35589,-11.1662,
Sun Sep 23 20:21:53 2018,194744891,684.053,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5160,9996,72,8,0,1092,-8.07804,16.7067,20.0155,5.32751,0.436332,-0.138349,22.7707,20.032,-58.1016,194.745,20,6.9902,1.30098,-2.63206,-0.0410437,-0.00102209,-2.98171,0.35588,-15.1143,
Sun Sep 23 20:21:53 2018,194754892,684.053,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5160,9996,72,8,0,1092,-13.2687,27.1167,10.5919,3.69499,-0.19901,0.0180918,22.7707,20.032,-58.1016,194.755,20,9.48067,1.05193,-2.63203,-0.0424045,-0.000837289,-2.98213,0.355872,-15.513,
Sun Sep 23 20:21:53 2018,194764893,684.053,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1090,-6.55532,6.24887,22.7162,4.78156,-0.625764,-0.270313,22.7707,20.032,-58.1016,194.765,20,11.9847,0.801531,-2.63197,-0.023378,-0.000507125,-2.98236,0.355867,-10.7346,
Sun Sep 23 20:21:53 2018,194774894,683.227,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1090,-3.09331,-1.71425,-5.34386,5.29132,-0.251157,-0.251157,22.7707,20.032,-58.1016,194.775,20,14.7744,0.52256,-2.63187,-0.0354478,-0.000387396,-2.98272,0.355863,-14.0761,
Sun Sep 23 20:21:53 2018,194784895,683.227,1518,1515,1088,1514,1940,1514,0.18779,0.0469437,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1092,7.06289,-4.09408,23.693,4.52934,-0.388442,-0.163891,22.7707,20.032,-58.1016,194.785,20,17.7861,0.221393,-2.63174,-0.0419235,-0.000175411,-2.98314,0.355861,-15.706,
Sun Sep 23 20:21:53 2018,194794896,683.227,1518,1515,1088,1514,1940,1514,0.18779,0.0469437,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1092,-3.04542,15.864,-5.81312,5.86707,-0.146863,-0.104294,22.7707,20.032,-58.1016,194.795,20,20.6403,-0.0640287,-2.63159,-0.0324343,4.58505e-05,-2.98346,0.355862,-13.5359,
Sun Sep 23 20:21:53 2018,194804897,683.227,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,72,8,0,1068,-0.78051,5.64074,23.5781,5.70211,-0.22668,0.0989729,22.7707,20.032,-58.1016,194.805,20,23.6733,-0.367332,-2.63141,-0.0498611,0.000312177,-2.98396,0.355865,-17.6378,
Sun Sep 23 20:21:53 2018,194814898,683.358,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,72,8,0,1068,-0.876278,-2.74376,3.5099,4.74006,-0.452295,0.307561,16.316,-7.39922,-43.5328,194.815,20,26.7791,-0.677911,-2.63121,-0.0475175,0.000564925,-2.98444,0.35587,-17.2588,
Sun Sep 23 20:21:53 2018,194824899,683.358,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5148,9996,48,8,0,1076,-0.632069,7.70933,15.1984,7.35166,-0.142606,-0.00106422,16.316,-7.39922,-43.5328,194.825,20,29.9239,-0.992387,-2.63099,-0.0349391,0.000731493,-2.98478,0.355878,-14.5012,
