today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:13:16 2018,11000780,682.949,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5158,9996,70,18,0,1090,0.0335188,0.469264,10.0221,0.00212845,-0.0383121,-0.00532112,19.0055,6.13594,-60.7031,11.0008,-1.90735e-06,15.9066,-12.9866,-0.109735,-1.28108e-06,0.00015633,-8.14291e-09,1.02174e-05,-0.00013269,
Sun Sep 23 20:13:16 2018,11010781,682.949,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5158,9996,70,18,0,1090,-0.0143652,0.483629,10.2089,0.00212845,-0.0372479,-0.00532112,19.0055,6.13594,-60.7031,11.0108,-1.90735e-06,15.924,-13.0009,-0.119849,-2.59622e-07,0.00015858,-1.07391e-08,1.18032e-05,-0.000153452,
Sun Sep 23 20:13:16 2018,11020782,682.949,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5180,9996,72,16,0,1088,-0.0670376,0.545878,10.2185,-0.00106422,-0.0297983,0.00319267,19.0055,6.13594,-60.7031,11.0208,-1.90735e-06,15.9375,-13.0119,-0.130378,-2.82034e-07,0.000172416,-1.35595e-08,1.35274e-05,-0.000176017,
Sun Sep 23 20:13:16 2018,11030783,682.949,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5180,9996,72,16,0,1088,0.172383,0.56982,10.2089,0.00532112,-0.0244772,0.00638535,19.0055,6.13594,-60.7031,11.0308,-1.90735e-06,15.9548,-13.026,-0.141321,1.49265e-07,0.000182699,-1.20668e-08,1.53544e-05,-0.000200006,
Sun Sep 23 20:13:16 2018,11040784,682.081,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,70,44,0,1090,0.023942,0.59855,10.1466,0.00638535,-0.0244772,0.00319267,19.0055,6.13594,-60.7031,11.0408,-1.90735e-06,15.979,-13.0457,-0.152673,-8.40705e-07,0.000206115,-2.04739e-08,1.74155e-05,-0.000227198,
Sun Sep 23 20:13:16 2018,11050785,682.081,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,70,44,0,1090,0.0191536,0.555455,10.0556,0.00744957,-0.0340552,-0.00212845,19.0055,6.13594,-60.7031,11.0508,-1.90735e-06,16.003,-13.0654,-0.16443,-1.09072e-06,0.000223177,-3.1381e-08,1.96473e-05,-0.000256699,
Sun Sep 23 20:13:16 2018,11060786,682.081,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,74,18,0,1090,0.0287304,0.464475,10.319,0.0042569,-0.0351194,-0.00744957,19.0055,6.13594,-60.7031,11.0608,-1.90735e-06,16.0217,-13.0807,-0.17659,-1.37102e-06,0.000240736,-4.50912e-08,2.20546e-05,-0.00028849,
Sun Sep 23 20:13:16 2018,11070787,682.081,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,74,18,0,1090,-0.0383072,0.392649,10.0078,-0.00212845,-0.0383121,-0,19.0055,6.13594,-60.7031,11.0708,-1.90735e-06,16.0365,-13.0927,-0.18915,-8.23311e-07,0.000253222,-5.33243e-08,2.45869e-05,-0.00032191,
Sun Sep 23 20:13:16 2018,11080788,683.957,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,70,18,0,1088,0.0526724,0.565032,10.1275,0.00319267,-0.0415047,-0,19.0055,6.13594,-60.7031,11.0808,-1.90735e-06,16.0532,-13.1063,-0.202104,4.25638e-07,0.000262095,-4.9068e-08,2.72078e-05,-0.000356594,
Sun Sep 23 20:13:16 2018,11090789,683.957,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,70,18,0,1088,0.129287,0.454898,10.0604,0.00744957,-0.0415047,-0.00106422,19.0055,6.13594,-60.7031,11.0908,-1.90735e-06,16.0696,-13.1198,-0.215451,-6.98058e-07,0.000286855,-5.60485e-08,3.00764e-05,-0.000394595,
