today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:27:12 2019,4519595,334.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4820,0,22,20,64,66,0.0430956,-0.0287304,-9.70609,0.00638535,-0.00212845,-0.00532112,-18.9053,59.0209,8.30566,-90.2545,8.88146,
Thu Sep 19 06:27:12 2019,4529596,334.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,18,66,64,0.148441,0.0766145,-9.6199,0.00744957,-0.00106422,-0.00532112,-18.9053,59.0209,8.30566,-90.8841,9.16764,
Thu Sep 19 06:27:12 2019,4539597,334.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,18,66,64,0.114922,0.0574608,-9.63906,0.00851379,-0.0042569,-0.0042569,-18.9053,59.0209,8.30566,-90.6832,9.45503,
Thu Sep 19 06:27:12 2019,4549598,334.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,22,20,62,64,0.110133,0.11971,-9.71567,0.00638535,-0.00638535,-0.0042569,-18.9053,59.0209,8.30566,-90.6495,9.74212,
Thu Sep 19 06:27:12 2019,4559599,334.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,22,20,62,64,0.177171,0.138864,-9.59596,0.00638535,-0.00638535,-0.00638535,-18.9053,59.0209,8.30566,-91.0578,10.0286,
Thu Sep 19 06:27:12 2019,4569653,334.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,24,20,62,66,0.215478,-0.023942,-9.73482,0.00532112,-0.00319267,-0.00638535,-18.9053,59.0209,8.30566,-91.2681,10.3142,
Thu Sep 19 06:27:12 2019,4579654,333.112,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,24,20,62,66,0.143652,-0.0143652,-9.69652,0.00744957,-0.0042569,-0.00957802,-18.9053,59.0209,8.30566,-90.8488,10.6009,
Thu Sep 19 06:27:12 2019,4589655,333.112,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,22,20,64,62,0.153229,0.153229,-9.62469,0.00744957,-0.00212845,-0.00532112,-18.9053,59.0209,8.30566,-90.9122,10.8868,
Thu Sep 19 06:27:12 2019,4599663,333.112,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,22,20,64,62,0.114922,0.0383072,-9.55287,0.00212845,-0.00638535,-0.00851379,-18.9053,59.0209,8.30566,-90.6893,11.1745,
Thu Sep 19 06:27:12 2019,4609664,333.112,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4828,0,22,20,66,68,0.148441,0.071826,-9.70131,0.00744957,-0.00106422,-0.00744957,-19.8855,59.6941,8.54297,-90.8767,11.4595,
Thu Sep 19 06:27:12 2019,4619665,331.565,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4828,0,22,20,66,68,0.0622492,0.0909797,-9.5816,0.00744957,-0.0042569,-0.00212845,-19.8855,59.6941,8.54297,-90.3723,11.7469,
Thu Sep 19 06:27:12 2019,4629666,331.565,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4882,0,22,20,66,66,0.248997,0.114922,-9.67257,0.0042569,0,-0.00319267,-19.8855,59.6941,8.54297,-91.4747,12.0321,
Thu Sep 19 06:27:12 2019,4639667,331.565,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4882,0,22,20,66,66,0.0909797,0.0766145,-9.56723,0.00744957,-0.0042569,-0.00957802,-19.8855,59.6941,8.54297,-90.5449,12.3198,
Thu Sep 19 06:27:12 2019,4649668,331.565,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4826,0,22,20,66,60,0.138864,0.0287304,-9.55765,0.00744957,-0.00106422,-0.00532112,-19.8855,59.6941,8.54297,-90.8325,12.6054,
Thu Sep 19 06:27:12 2019,4659669,331.565,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4826,0,22,20,66,60,0.138864,0.114922,-9.82102,0.00532112,-0.00319267,-0.00638535,-19.8855,59.6941,8.54297,-90.8102,12.8925,
Thu Sep 19 06:27:12 2019,4669670,331.565,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,24,20,66,66,0.148441,0.0191536,-9.72046,0.0106422,-0.00212845,-0.00319267,-19.8855,59.6941,8.54297,-90.875,13.1787,
Thu Sep 19 06:27:12 2019,4679671,332.686,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,24,20,66,66,0.272939,0.0814029,-9.57681,0.00851379,-0.00106422,-0.0042569,-19.8855,59.6941,8.54297,-91.6326,13.4648,
Thu Sep 19 06:27:12 2019,4689672,332.686,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,20,22,62,66,0.114922,0.0574608,-9.5816,0.00957802,-0.00319267,-0.00638535,-19.8855,59.6941,8.54297,-90.6872,13.7519,
Thu Sep 19 06:27:12 2019,4699673,332.686,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,20,22,62,66,0.0909797,-0.023942,-9.50977,0.00532112,-0.00319267,-0.00638535,-19.8855,59.6941,8.54297,-90.5482,14.0384,
Thu Sep 19 06:27:12 2019,4709674,332.686,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4806,0,20,20,66,66,0.11971,-0.0574608,-9.77313,0.00638535,-0.00212845,-0.00532112,-19.8855,59.6941,8.54297,-90.7018,14.3246,
Thu Sep 19 06:27:12 2019,4719675,333.355,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4806,0,20,20,66,66,0.201113,0.071826,-9.71088,0.00319267,-0.00212845,-0.00532112,-19.8855,59.6941,8.54297,-91.1865,14.611,
Thu Sep 19 06:27:12 2019,4729676,333.355,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,66,66,0.158017,0.0287304,-9.70131,0.00957802,0,-0.00319267,-19.8855,59.6941,8.54297,-90.9332,14.8969,
