today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitch,desired pitch,roll,desired roll,yaw,desired yaw,msl,kppitch,kdpitch,kipitch,lampitch,pp,pd,pi,kproll,kdroll,kiroll,lamroll,rp,rd,ri,kpyaw,kdyaw,kiyaw,lamyaw,yp,yd,yi
Thu Oct  3 09:59:03 2019,8442796,575.579,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5388,5538,40,20,8,28,0.756568,-0.229843,-10.0461,-0.00851379,-0.0255414,0.0117065,-34.9125,6.45469,-15.2109,18.1566,-0.093895,25.8702,0.0469513,0.0117065,0,575.579,0.0022,0.00035,0.00018,-0.0343305,-0.0405901,0.00706752,-0.000807981,0.0022,0.00035,0.00018,-0.0454442,-0.0576311,0.0134265,-0.00123969,0.28,0,0.03,-0.00335108,-0.00327781,-0,-7.32718e-05,
Thu Oct  3 09:59:03 2019,8452797,575.579,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5392,5540,36,18,6,28,0.612916,0.023942,-9.4954,0.00212845,-0.0212845,0.0117065,-34.9125,6.45469,-15.2109,17.9553,-0.093895,25.4937,0.0469513,0.0117065,0,575.579,0.0022,0.00035,0.00018,-0.03401,-0.0401512,0.0069822,-0.000841012,0.0022,0.00035,0.00018,-0.0450519,-0.0568111,0.0130457,-0.00128651,0.28,0,0.03,-0.00335459,-0.00327781,0,-7.67838e-05,
Thu Oct  3 09:59:03 2019,8462798,575.579,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5392,5540,36,18,6,28,0.646434,-0.129287,-9.84017,0.0117065,-0.0170276,0.00957802,-34.9125,6.45469,-15.2109,17.7582,-0.093895,25.1197,0.0469513,0.00957802,0,575.579,0.0022,0.00035,0.00018,-0.0335363,-0.0397083,0.00704569,-0.000873681,0.0022,0.00035,0.00018,-0.0441382,-0.0559828,0.0131772,-0.00133265,0.28,0,0.03,-0.00276182,-0.00268185,0,-7.99765e-05,
Thu Oct  3 09:59:03 2019,8472799,575.579,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5378,5532,36,8,28,14,0.636858,-0.023942,-9.6199,0.00744957,-0.0223487,0.0138349,-34.9125,6.45469,-15.2109,17.5596,-0.093895,24.7473,0.0469513,0.0138349,0,575.579,0.0022,0.00035,0.00018,-0.0332811,-0.0392746,0.00689956,-0.000905993,0.0022,0.00035,0.00018,-0.0434503,-0.0551601,0.0130879,-0.00137812,0.28,0,0.03,-0.00395726,-0.00387378,-0,-8.34884e-05,
Thu Oct  3 09:59:03 2019,8482800,576.7,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5378,5532,36,8,28,14,0.603339,-0.105345,-9.47625,0.0127707,-0.0255414,0.0117065,-34.9125,6.45469,-15.2109,17.3563,-0.093895,24.3764,0.0469513,0.0117065,0,576.7,0.0022,0.00035,0.00018,-0.0328251,-0.0388377,0.00695056,-0.000937948,0.0022,0.00035,0.00018,-0.0427302,-0.0543409,0.0130335,-0.00142292,0.28,0,0.03,-0.00336513,-0.00327781,0,-8.73196e-05,
Thu Oct  3 09:59:03 2019,8492801,576.7,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5534,34,8,28,12,0.565032,-0.205901,-9.60554,0.0244772,-0.0148991,0.00957802,-34.9125,6.45469,-15.2109,17.1559,-0.093895,24.0208,0.0469513,0.00957802,0,576.7,0.0022,0.00035,0.00018,-0.0322419,-0.0383903,0.00711792,-0.000969541,0.0022,0.00035,0.00018,-0.0420093,-0.0535248,0.0129825,-0.00146704,0.28,0,0.03,-0.00277236,-0.00268185,0,-9.05123e-05,
Thu Oct  3 09:59:03 2019,8502802,576.7,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5534,34,8,28,12,0.632069,-0.0574608,-9.73482,0.0159634,-0.0244772,0.0170276,-34.9125,6.45469,-15.2109,16.9576,-0.093895,23.6638,0.0469513,0.0170276,0,576.7,0.0022,0.00035,0.00018,-0.0319362,-0.0379494,0.00701405,-0.00100077,0.0022,0.00035,0.00018,-0.0418082,-0.0527426,0.0124449,-0.00151052,0.28,0,0.03,-0.00486223,-0.00476772,-0,-9.45031e-05,
Thu Oct  3 09:59:03 2019,8512803,576.7,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5388,5548,36,8,28,12,0.641646,-0.105345,-9.87848,0.0159634,-0.0212845,0.0159634,-34.9125,6.45469,-15.2109,16.7639,-0.093895,23.3198,0.0469513,0.0159634,0,576.7,0.0022,0.00035,0.00018,-0.0316059,-0.0375133,0.00693901,-0.00103164,0.0022,0.00035,0.00018,-0.0410131,-0.051957,0.0124973,-0.00155335,0.28,0,0.03,-0.00456919,-0.00446974,0,-9.94518e-05,
Thu Oct  3 09:59:03 2019,8522804,575.718,1513,1515,1088,1514,1088,1514,0.0469513,-0.0469437,0.9,0,-0.05,-1.19209e-07,5388,5548,36,8,28,12,0.732626,-0.158017,-9.65342,0.0159634,-0.0255414,0.00851379,-34.9125,6.45469,-15.2109,16.5722,-0.093895,22.9796,0.0469513,0.00851379,0,575.718,0.0022,0.00035,0.00018,-0.0313698,-0.0370871,0.00677953,-0.00106216,0.0022,0.00035,0.00018,-0.0407564,-0.0512003,0.0120394,-0.00159555,0.28,0,0.03,-0.00248699,-0.00238386,0,-0.000103123,
Thu Oct  3 09:59:03 2019,8532805,575.718,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5382,5538,36,16,6,28,0.694318,-0.114922,-9.71088,0.0234129,-0.0244772,0.0138349,-34.9125,6.45469,-15.2109,16.3741,-0.0469437,22.6416,0.0469513,0.0138349,0,575.718,0.0022,0.00035,0.00018,-0.0293014,-0.0365621,0.00835299,-0.00109229,0.0022,0.00035,0.00018,-0.0401823,-0.0504518,0.0119067,-0.00163713,0.28,0,0.03,-0.00398025,-0.00387378,-0,-0.000106476,
