today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 11:01:41 2018,72696813,606.486,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5488,1080,0,30,14,0.00957681,0.0287304,-10.4866,0.0117065,-0.0138349,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72706814,606.486,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5488,1080,0,30,14,-0.0191536,0.153229,-10.4196,0.00957802,-0.0138349,0.00744957,49.2627,37.6359,-57.0773,2.38419e-07,0.00744957,
Sun Feb 18 11:01:41 2018,72716815,606.486,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5502,1080,0,32,12,-0.00957681,0.138864,-10.4627,0.0106422,-0.0148991,0.00106422,49.2627,37.6359,-57.0773,2.38419e-07,0.00106422,
Sun Feb 18 11:01:41 2018,72726816,606.33,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5502,1080,0,32,12,-0.0047884,0.110133,-10.3813,0.00957802,-0.0117065,0.00532112,49.2627,37.6359,-57.0773,2.38419e-07,0.00532112,
Sun Feb 18 11:01:41 2018,72736817,606.33,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5528,1084,0,8,32,-0.0670376,0.0861913,-10.4004,0.00532112,-0.0170276,0.0138349,49.2627,37.6359,-57.0773,2.38419e-07,0.0138349,
Sun Feb 18 11:01:41 2018,72746818,606.33,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5528,1084,0,8,32,-0.0287304,0.071826,-10.3573,0.00851379,-0.0127707,0.0180918,49.2627,37.6359,-57.0773,2.38419e-07,0.0180918,
Sun Feb 18 11:01:41 2018,72756819,606.33,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5488,1076,0,32,32,0.0526724,0.0766145,-10.3717,0.00744957,-0.0148991,0.0117065,49.2627,37.6359,-57.0773,2.38419e-07,0.0117065,
Sun Feb 18 11:01:41 2018,72766820,606.33,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5488,1076,0,32,32,0.143652,0.0574608,-10.41,0.0127707,-0.00851379,0.00532112,49.2627,37.6359,-57.0773,2.38419e-07,0.00532112,
Sun Feb 18 11:01:41 2018,72776821,606.33,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5528,1086,0,32,12,0.023942,0.114922,-10.4531,0.0117065,-0.0106422,0.00106422,49.2627,37.6359,-57.0773,2.38419e-07,0.00106422,
Sun Feb 18 11:01:41 2018,72786822,607.242,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5528,1086,0,32,12,-0.0143652,0.0957681,-10.3525,0.00744957,-0.0148991,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
