microseconds_since_start, kpe(P)=0.0035, kiei(I)=1e-09, kded(D)=0.0006,P_CMD,signal, mad_pitch,,,,,,,,,,,,,,,,,,,,,,,,,,
8644977,0.0228044,-3.72E-13,-0.00446102,1.83E-02,0.281685,-6.23386,,,,,,,,,,,,,,,,,,,,,,,,,,
8654978,0.022529,-3.93E-13,-0.00472146,1.78E-02,0.281685,-6.15517,,,,,,,,,,,,,,,,,,,,,,,,,,
8664979,0.0221785,-5.01E-13,-0.00600792,1.62E-02,0.281685,-6.05504,,,,,,,,,,,,,,,,,,,,,,,,,,
8674980,0.0217142,-6.63E-13,-0.00795985,1.38E-02,0.281685,-5.92237,,,,,,,,,,,,,,,,,,,,,,,,,,
8685077,0.021233,-6.87E-13,-0.00824847,1.30E-02,0.211266,-5.7849,,,,,,,,,,,,,,,,,,,,,,,,,,
8695078,0.0204685,-1.09E-12,-0.0131067,7.36E-03,0.211266,-5.63687,,,,,,,,,,,,,,,,,,,,,,,,,,
8705081,0.0199258,-7.75E-13,-0.00930336,1.06E-02,0.281685,-5.48182,,,,,,,,,,,,,,,,,,,,,,,,,,
8715082,0.019641,-4.07E-13,-0.00488277,1.48E-02,0.281685,-5.33002,,,,,,,,,,,,,,,,,,,,,,,,,,
8725083,0.0191313,-7.28E-13,-0.00873785,1.04E-02,0.281685,-5.18439,,,,,,,,,,,,,,,,,,,,,,,,,,
8735084,0.0186138,-7.39E-13,-0.00887117,9.74E-03,0.281685,-5.03653,,,,,,,,,,,,,,,,,,,,,,,,,,
8745085,0.0181258,-6.97E-13,-0.00836575,9.76E-03,0.281685,-4.89711,,,,,,,,,,,,,,,,,,,,,,,,,,
8755086,0.0176607,-6.64E-13,-0.00797284,9.69E-03,0.211266,-4.76422,,,,,,,,,,,,,,,,,,,,,,,,,,
8765087,0.0169937,-9.53E-13,-0.0114332,5.56E-03,0.211266,-4.64409,,,,,,,,,,,,,,,,,,,,,,,,,,
8775088,0.0165966,-5.67E-13,-0.00680901,9.79E-03,0.211266,-4.53061,,,,,,,,,,,,,,,,,,,,,,,,,,
8785089,0.0162606,-4.80E-13,-0.00575958,1.05E-02,0.211266,-4.43461,,,,,,,,,,,,,,,,,,,,,,,,,,
8795090,0.015967,-4.19E-13,-0.00503288,1.09E-02,0.281685,-4.35073,,,,,,,,,,,,,,,,,,,,,,,,,,
8805091,0.0159366,-4.34E-14,-0.000520477,1.54E-02,0.281685,-4.27164,,,,,,,,,,,,,,,,,,,,,,,,,,
8815092,0.0156798,-3.67E-13,-0.00440249,1.13E-02,0.211266,-4.19826,,,,,,,,,,,,,,,,,,,,,,,,,,
8825093,0.0152158,-6.63E-13,-0.00795376,7.26E-03,0.211266,-4.13612,,,,,,,,,,,,,,,,,,,,,,,,,,
8835095,0.0150241,-2.74E-13,-0.00328769,1.17E-02,0.211266,-4.08133,,,,,,,,,,,,,,,,,,,,,,,,,,
8845096,0.0148491,-2.50E-13,-0.0029991,1.18E-02,0.211266,-4.03134,,,,,,,,,,,,,,,,,,,,,,,,,,
8855097,0.0147317,-1.68E-13,-0.0020135,1.27E-02,0.211266,-3.99778,,,,,,,,,,,,,,,,,,,,,,,,,,
8865098,0.0146562,-1.08E-13,-0.00129301,1.34E-02,0.281685,-3.97623,,,,,,,,,,,,,,,,,,,,,,,,,,
8875099,0.014829,2.47E-13,0.0029621,1.78E-02,0.281685,-3.95518,,,,,,,,,,,,,,,,,,,,,,,,,,
8885101,0.0147351,-1.34E-13,-0.00161096,1.31E-02,0.281685,-3.92833,,,,,,,,,,,,,,,,,,,,,,,,,,
8895102,0.0146525,-1.18E-13,-0.00141601,1.32E-02,0.281685,-3.90473,,,,,,,,,,,,,,,,,,,,,,,,,,
8905103,0.0145733,-1.13E-13,-0.00135736,1.32E-02,0.281685,-3.88211,,,,,,,,,,,,,,,,,,,,,,,,,,
8915104,0.0145065,-9.55E-14,-0.00114561,1.34E-02,0.281685,-3.86302,,,,,,,,,,,,,,,,,,,,,,,,,,
8925105,0.0144571,-7.06E-14,-0.000846748,1.36E-02,0.211266,-3.8489,,,,,,,,,,,,,,,,,,,,,,,,,,
8935106,0.0141526,-4.35E-13,-0.00521848,8.93E-03,0.211266,-3.83235,,,,,,,,,,,,,,,,,,,,,,,,,,
8945107,0.0140932,-8.50E-14,-0.00101981,1.31E-02,0.211266,-3.81535,,,,,,,,,,,,,,,,,,,,,,,,,,
