today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchGyr0,pitchAccel,pitchgyro_f,pitchAccel_f,ekp,ekoldp,edp,eip,lamdap,ekr,ekoldr,edr,eir,lamdar,eky,ekoldy,edy,eiy,lamday
Sun Feb 18 10:28:05 2018,18661191,613.064,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5332,5526,1088,0,8,30,-0.0526724,0.153229,-10.319,0.0127707,-0.0117065,0.00957802,-33.7061,127.823,24.4617,-0.253659,-0.292459,0.0020178,-0.14641,0.0648879,0.0648879,1.15673,0.000591043,0.00115029,0.485526,0.485526,0.690919,0.00482071,0.00269753,,,,,
Sun Feb 18 10:28:05 2018,18671192,613.064,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5524,1086,0,30,12,-0.0191536,0.21069,-10.3765,0.0138349,-0.00957802,0.00638535,-33.7061,127.823,24.4617,-0.253049,-0.105761,0.00242607,-0.145025,0.0773233,0.0773233,1.24353,0.000711056,0.00127066,0.49343,0.49343,0.790408,0.00489478,0.00280692,,,,,
Sun Feb 18 10:28:05 2018,18681193,613.863,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5524,1086,0,30,12,-0.071826,0.110133,-10.4579,0.0117065,-0.0148991,0.00638535,-33.7061,127.823,24.4617,-0.252439,-0.393509,0.0027905,-0.144058,0.0853146,0.0853146,0.799133,0.000813189,0.000976872,0.497669,0.497669,0.423911,0.0049555,0.00255405,,,,,
Sun Feb 18 10:28:05 2018,18691194,613.863,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5326,5514,1080,0,30,12,0.0335188,0.215478,-10.4387,0.0127707,-0.0117065,0.00744957,-33.7061,127.823,24.4617,-0.253049,0.183977,0.00194687,-0.143298,0.0989717,0.0989717,1.36571,0.000921431,0.00145873,0.49649,0.49649,-0.117955,0.00497079,0.00214668,,,,,
Sun Feb 18 10:28:05 2018,18701195,613.863,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5326,5514,1080,0,30,12,-0.0335188,0.162806,-10.4244,0.0148991,-0.0106422,0.00532112,-33.7061,127.823,24.4617,-0.252134,-0.18423,0.00262577,-0.142259,0.104909,0.104909,0.593762,0.0010194,0.000912663,0.502092,0.502092,0.560245,0.00499291,0.00267512,,,,,
Sun Feb 18 10:28:05 2018,18711196,613.863,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5334,5532,1086,0,30,14,0,0.177171,-10.3477,0.0148991,-0.0138349,0.0042569,-33.7061,127.823,24.4617,-0.250915,0,0.00352869,-0.140946,0.1144,0.1144,0.949103,0.00109655,0.00121904,0.503286,0.503286,0.119442,0.00502689,0.00235341,,,,,
Sun Feb 18 10:28:05 2018,18721197,613.863,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5334,5532,1086,0,30,14,-0.100556,0.215478,-10.4244,0.0138349,-0.0117065,0.00744957,-33.7061,127.823,24.4617,-0.250915,-0.552676,0.00317502,-0.139908,0.124383,0.124383,0.998297,0.00119392,0.00130046,0.505869,0.505869,0.258237,0.00504578,0.00246802,,,,,
Sun Feb 18 10:28:05 2018,18731198,613.863,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5516,1084,0,28,12,-0.0814029,0.229843,-10.477,0.0127707,-0.0138349,0.00532112,-33.7061,127.823,24.4617,-0.25061,-0.44516,0.00313107,-0.139894,0.136141,0.136141,1.17574,0.00130262,0.00148503,0.509534,0.509534,0.366491,0.00507701,0.00256484,,,,,
Sun Feb 18 10:28:05 2018,18741199,612.177,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5516,1084,0,28,12,-0.0861913,0.301669,-10.3525,0.0138349,-0.0106422,0.00532112,-33.7061,127.823,24.4617,-0.25061,-0.477012,0.00278739,-0.141164,0.148009,0.148009,1.18684,0.00142075,0.00154668,0.514751,0.514751,0.521696,0.00512142,0.00270348,,,,,
Sun Feb 18 10:28:05 2018,18751200,612.177,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5524,1088,0,30,14,0.0047884,0.114922,-10.3238,0.0138349,-0.0138349,0.00957802,-33.7061,127.823,24.4617,-0.249695,0.0265751,0.0033373,-0.143089,0.158021,0.158021,1.00115,0.00153015,0.00145395,0.522848,0.522848,0.809747,0.00518799,0.00295365,,,,,
