today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=5e-08, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:47:28 2018,9599191,920.586,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4134,1216,0,8,32,-0.392649,-0.0909797,-10.3142,0.0244772,0.105358,0.032991,30.7676,30.8719,46.9266,-2.18013,7.70475,-2.31563,1.81776,-0.497861,0.0865163,-1.27533e-10,-0.0306079,0.0704193,-34.5361,0,
Sun Feb 11 14:47:28 2018,9609192,920.586,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4996,4122,1216,0,32,14,-0.435745,-0.186748,-10.2472,0.0234129,0.0979086,0.0351194,30.7676,30.8719,46.9266,-2.43494,7.99337,-2.35635,1.76973,-0.586619,0.0852496,-1.26675e-10,-0.0304019,0.0704193,-34.0294,0,
Sun Feb 11 14:47:28 2018,9619193,920.586,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4996,4122,1216,0,32,14,-0.588974,-0.11971,-10.3956,0.0180918,0.0957802,0.0297983,30.7676,30.8719,46.9266,-3.24268,8.28046,-2.39443,1.71764,-0.676792,0.084005,-1.24456e-10,-0.0298695,0.0704193,-33.5316,0,
Sun Feb 11 14:47:28 2018,9629194,920.586,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5024,4138,1216,0,30,14,-0.536301,-0.143652,-10.477,0.0127707,0.0904591,0.0276698,30.7676,30.8719,46.9266,-2.93032,8.56846,-2.43142,1.66436,-0.767056,0.0827782,-1.22681e-10,-0.0294434,0.0704193,-33.0409,0,
Sun Feb 11 14:47:28 2018,9639195,921.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5024,4138,1216,0,30,14,-0.555455,-0.0957681,-10.4722,0.0127707,0.0787526,0.0138349,30.7676,30.8719,46.9266,-3.03617,8.85829,-2.46754,1.61108,-0.85646,0.0815656,-1.21261e-10,-0.0291026,0.0704193,-32.5558,0,
Sun Feb 11 14:47:28 2018,9649196,921.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4134,1214,0,8,32,-0.59855,-0.134075,-10.3908,0.00744957,0.0755599,0.00212845,30.7676,30.8719,46.9266,-3.29681,9.14569,-2.50289,1.55391,-0.948974,0.0803791,-1.18648e-10,-0.0284754,0.0704193,-32.0812,0,
Sun Feb 11 14:47:28 2018,9659197,921.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4134,1214,0,8,32,-0.545878,-0.0861913,-10.2663,0.019156,0.0638535,-0.0042569,30.7676,30.8719,46.9266,-3.04365,9.43552,-2.53774,1.49807,-1.03967,0.0792098,-1.1693e-10,-0.0280632,0.0704193,-31.6135,0,
Sun Feb 11 14:47:28 2018,9669198,921.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4138,1214,0,8,32,-0.612916,-0.248997,-10.2568,0.0308625,0.052147,-0.00212845,30.7676,30.8719,46.9266,-3.41977,9.72535,-2.57214,1.44132,-1.13082,0.0780592,-1.15062e-10,-0.0276149,0.0704193,-31.1533,0,
Sun Feb 11 14:47:28 2018,9679199,921.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4138,1214,0,8,32,-0.469264,-0.349553,-10.2615,0.0202203,0.0478901,-0.00212845,30.7676,30.8719,46.9266,-2.61833,10.0131,-2.6057,1.38191,-1.22379,0.0769348,-1.12436e-10,-0.0269847,0.0704193,-30.7035,0,
Sun Feb 11 14:47:28 2018,9689200,921.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5018,4138,1216,0,8,32,-0.387861,-0.253785,-10.2615,0.0127707,0.0351194,-0.00744957,30.7676,30.8719,46.9266,-2.16461,10.3032,-2.63678,1.32466,-1.31212,0.0758246,-1.11027e-10,-0.0266465,0.0704193,-30.2594,0,
