today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:28:12 2018,8970865,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1216,0,32,14,0.248997,-0.282516,-10.2232,-0.0042569,-0.0202203,0.00957802,26.4463,33.4734,49.4227,1.39522,7.16777,0.678407,1.90835,2.58676,0.063748,-0,-0.0272906,50.3838,-31.874,50.3838,
Sun Feb 11 14:28:12 2018,8980866,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1218,0,30,14,0.292093,-0.272939,-10.3525,-0.00212845,-0.0148991,0.0138349,26.4463,33.4734,49.4227,1.61615,7.45273,0.707599,1.86203,2.56963,0.0628423,-0,-0.0271713,50.3838,-31.4212,50.3838,
Sun Feb 11 14:28:12 2018,8990867,921.411,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1218,0,30,14,0.287304,-0.162806,-10.501,0.00106422,-0.0202203,0.00957802,26.4463,33.4734,49.4227,1.56721,7.74073,0.737485,1.81554,2.55302,0.0619385,-0,-0.0271138,50.3838,-30.9693,50.3838,
Sun Feb 11 14:28:12 2018,9000868,921.411,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1216,0,30,14,0.292093,-0.148441,-10.2472,0.00319267,-0.0223487,0.00851379,26.4463,33.4734,49.4227,1.63276,8.02782,0.768071,1.76527,2.53334,0.0610421,-0,-0.0268916,50.3838,-30.5211,50.3838,
Sun Feb 11 14:28:12 2018,9010869,921.411,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1216,0,30,14,0.229843,-0.23942,-10.3286,0.00851379,-0.0234129,0.0042569,26.4463,33.4734,49.4227,1.2748,8.3146,0.798923,1.71231,2.51123,0.060149,-0,-0.0267935,50.3838,-30.0745,50.3838,
Sun Feb 11 14:28:12 2018,9020870,921.411,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4128,1216,0,8,32,0.301669,-0.138864,-10.4004,0.0148991,-0.0287341,0.00532112,26.4463,33.4734,49.4227,1.66143,8.60261,0.829652,1.65856,2.48821,0.0592603,-0,-0.0266613,50.3838,-29.6301,50.3838,
Sun Feb 11 14:28:12 2018,9030871,920.621,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4128,1216,0,8,32,0.186748,-0.23942,-10.2663,0.0138349,-0.0244772,0.00106422,26.4463,33.4734,49.4227,1.04211,8.88787,0.85996,1.60049,2.46044,0.0583799,-0,-0.0264117,50.3838,-29.19,50.3838,
Sun Feb 11 14:28:12 2018,9040872,920.621,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,32,32,0.258574,-0.244209,-10.3382,0.0148991,-0.0351194,0.00319267,26.4463,33.4734,49.4227,1.43276,9.17739,0.889333,1.54539,2.43472,0.0575021,-0,-0.0263349,50.3838,-28.751,50.3838,
Sun Feb 11 14:28:12 2018,9050873,920.621,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,32,32,0.234632,-0.268151,-10.2711,0.0159634,-0.0287341,0.00638535,26.4463,33.4734,49.4227,1.30863,9.46204,0.917776,1.48448,2.40225,0.0566304,-0,-0.0261508,50.3838,-28.3152,50.3838,
Sun Feb 11 14:28:12 2018,9060874,920.621,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4122,1216,0,8,32,0.316035,-0.306458,-10.2855,0.00851379,-0.032991,0.0106422,26.4463,33.4734,49.4227,1.75993,9.74974,0.94582,1.42605,2.37188,0.0557603,-0,-0.0261023,50.3838,-27.8802,50.3838,
