today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.05, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 11:26:31 2018,8424838,980.488,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4056,1202,0,32,30,0.134075,-0.459687,-10.2424,0.00744957,0.052147,0.0223487,27.1377,33.8203,47.093,0.749973,7.43352,0.343575,1.85138,2.19496,1.4569,-0,-0,0.0704193,-29.0676,
Sun Feb 11 11:26:31 2018,8434839,981.044,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4056,1202,0,32,30,0.153229,-0.512359,-10.3813,0.0308625,0.100037,0.019156,27.1377,33.8203,47.093,0.845634,7.70628,0.364677,1.79148,2.15616,1.43264,-0,-0,0.0704193,-28.5824,
Sun Feb 11 11:26:31 2018,8444840,981.044,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4986,4030,1196,0,8,32,0.177171,-0.363919,-10.4627,-0.00851379,0.107487,0.0276698,27.1377,33.8203,47.093,0.970134,7.99062,0.385828,1.741,2.12682,1.40786,-0,-0,0.0704193,-28.0868,
Sun Feb 11 11:26:31 2018,8454841,981.044,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4986,4030,1196,0,8,32,-0.143652,-0.383072,-10.4196,0.032991,0.145799,0.0287341,27.1377,33.8203,47.093,-0.789874,8.26613,0.405609,1.67977,2.08538,1.38292,-0,-0,0.0704193,-27.588,
Sun Feb 11 11:26:31 2018,8464842,981.044,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4056,1202,0,8,32,0.0287304,-0.507571,-9.9503,0.0117065,0.175597,0.0042569,27.1377,33.8203,47.093,0.165435,8.54407,0.421758,1.61974,2.0415,1.35732,-0,-0,0.0704193,-27.076,
Sun Feb 11 11:26:31 2018,8474843,980.158,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4056,1202,0,8,32,0.201113,-0.0814029,-10.0796,0.0117065,0.209652,0.00744957,27.1377,33.8203,47.093,1.14304,8.82079,0.435588,1.55753,1.99312,1.33093,-0,-0,0.0704193,-26.5482,
Sun Feb 11 11:26:31 2018,8484844,980.158,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4956,4044,1202,0,32,32,0.0191536,-0.349553,-10.7117,0.019156,0.255414,0.0361836,27.1377,33.8203,47.093,0.102451,9.09416,0.44901,1.49152,1.94053,1.30339,-0,-0,0.0704193,-25.9973,
Sun Feb 11 11:26:31 2018,8494845,980.158,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4956,4044,1202,0,32,32,-0.167594,-0.713472,-9.70609,0.0234129,0.256478,0.0106422,27.1377,33.8203,47.093,-0.989223,9.38034,0.459934,1.43773,1.89767,1.27555,-0,-0,0.0704193,-25.4405,
Sun Feb 11 11:26:31 2018,8504846,980.158,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4042,1202,0,8,32,0.320823,-0.474052,-10.0844,0.0340552,0.327781,-0.00851379,27.1377,33.8203,47.093,1.82219,9.64639,0.468142,1.36385,1.83199,1.2472,-0,-0,0.0704193,-24.8736,
Sun Feb 11 11:26:31 2018,8514847,980.158,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4042,1202,0,8,32,0.196325,-0.229843,-11.157,-0.0404405,0.391635,0.0276698,27.1377,33.8203,47.093,1.00811,9.91458,0.477343,1.29313,1.77047,1.21658,-0,-0,0.0704193,-24.2611,
Sun Feb 11 11:26:31 2018,8524848,980.158,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4034,1202,0,8,32,-0.272939,-0.454898,-9.38048,0.019156,0.365029,0.0042569,27.1377,33.8203,47.093,-1.66664,10.2087,0.48601,1.24833,1.73434,1.18592,-0,-0,0.0704193,-23.6479,
Sun Feb 11 11:26:31 2018,8534849,979.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4034,1202,0,8,32,0.167594,-0.363919,-9.33739,0.0819453,0.428882,-0.0042569,27.1377,33.8203,47.093,1.02828,10.4769,0.490882,1.17784,1.66872,1.15461,-0,-0,0.0704193,-23.0219,
Sun Feb 11 11:26:31 2018,8544850,979.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,3990,1192,0,8,30,0.42138,-0.411803,-11.2671,-0.0127707,0.531048,0.0500185,27.1377,33.8203,47.093,2.14181,10.7341,0.495875,1.09839,1.59427,1.12087,-0,-0,0.0704193,-22.347,
Sun Feb 11 11:26:31 2018,8554851,979.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,3990,1192,0,8,30,0.445322,-0.440533,-10.8409,-0.0989729,0.552332,-0.0276698,27.1377,33.8203,47.093,2.35226,11.0145,0.505806,1.04371,1.54952,1.08565,-0,-0,0.0704193,-21.6425,
Sun Feb 11 11:26:31 2018,8564852,979.107,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4066,1214,0,8,32,0.675165,-0.497994,-11.0085,0.0127707,0.663012,0.0297983,27.1377,33.8203,47.093,3.50962,11.2692,0.522757,0.965243,1.488,1.05005,-0,-0,0.0704193,-20.9307,
Sun Feb 11 11:26:31 2018,8574853,979.524,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4066,1214,0,8,32,0.536301,-0.301669,-9.51935,0.00957802,0.70026,0.0415047,27.1377,33.8203,47.093,3.22453,11.545,0.548181,0.909921,1.4581,1.01266,-0,-0,0.0704193,-20.1827,
Sun Feb 11 11:26:31 2018,8584854,979.524,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4124,1216,0,32,16,0.833182,0.0909797,-9.01656,0.00744957,0.706645,0.0127707,27.1377,33.8203,47.093,5.27947,11.8297,0.583757,0.864324,1.44808,0.974351,-0,-0,0.0704193,-19.4166,
Sun Feb 11 11:26:31 2018,8594855,979.524,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4124,1216,0,32,16,0.47884,-0.296881,-9.22246,0.104294,0.667269,0.0989729,27.1377,33.8203,47.093,2.97219,12.1274,0.629918,0.831879,1.4618,0.93522,-0,-0,0.0704193,-18.634,
Sun Feb 11 11:26:31 2018,8604856,979.524,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4124,1218,0,32,12,0.742203,-0.656011,-9.92157,0.019156,0.615122,0.0361836,27.1377,33.8203,47.093,4.27816,12.4289,0.684409,0.802551,1.48696,0.895712,-0,-0,0.0704193,-17.8438,
Sun Feb 11 11:26:31 2018,8614857,979.524,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4124,1218,0,32,12,1.15879,-0.411803,-11.6789,-0.00319267,0.697067,0.0872664,27.1377,33.8203,47.093,5.6664,12.6919,0.747913,0.735939,1.48385,0.855566,-0,-0,0.0704193,-17.0409,
Sun Feb 11 11:26:31 2018,8624858,979.524,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4958,4132,1220,0,32,14,1.00078,-0.454898,-10.8457,-0.0446974,0.752407,0.0244772,22.9893,32.4328,50.7539,5.27197,12.9625,0.822906,0.6795,1.50241,0.814318,-0,-0,0.0704193,-16.2159,
Sun Feb 11 11:26:31 2018,8634859,980.054,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4958,4132,1220,0,32,14,1.06781,-0.287304,-10.9702,-0.0138349,0.797104,0.0266056,22.9893,32.4328,50.7539,5.55951,13.2362,0.908964,0.628209,1.53717,0.772978,-0,-0,0.0704193,-15.3891,
Sun Feb 11 11:26:31 2018,8644860,980.054,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4144,1220,0,32,14,0.679953,-0.416591,-8.38449,0.0649177,0.749214,0.0500185,22.9893,32.4328,50.7539,4.63635,13.5364,1.00412,0.604279,1.6084,0.731984,-0,-0,0.0704193,-14.5693,
Sun Feb 11 11:26:31 2018,8654861,980.054,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4144,1220,0,32,14,1.46525,-0.407014,-9.15064,0.042569,0.657691,-0.00744957,22.9893,32.4328,50.7539,9.0973,13.8491,1.10999,0.592057,1.70204,0.692357,-0,-0,0.0704193,-13.7767,
Sun Feb 11 11:26:31 2018,8664862,980.054,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4146,1218,0,8,14,1.27372,-0.368707,-11.0612,-0.00319267,0.635342,0.052147,22.9893,32.4328,50.7539,6.56877,14.1419,1.23041,0.559683,1.79009,0.65237,-0,-0,0.0704193,-12.977,
Sun Feb 11 11:26:31 2018,8674863,979.897,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4146,1218,0,8,14,1.39343,-0.560243,-10.9367,-0.0893948,0.59703,-0.0244772,22.9893,32.4328,50.7539,7.26083,14.4394,1.36379,0.532322,1.89611,0.612944,-0,-0,0.0704193,-12.1885,
Sun Feb 11 11:26:31 2018,8684864,979.897,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4150,1220,0,8,32,1.73819,-0.258574,-10.161,0.00319267,0.581066,-0.0117065,22.9893,32.4328,50.7539,9.70735,14.7305,1.50976,0.499152,2.00891,0.574729,-0,-0,0.0704193,-11.4242,
