today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0001, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 13:33:01 2018,10086621,945.749,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4994,4128,1216,0,8,32,0.244209,-0.071826,-10.3094,0.00638535,-0.0138349,0.00532112,24.8906,32.2594,46.9266,1.35696,7.45242,0.362724,1.85992,2.22265,0.183266,-0,-0,50.3838,-36.3741,
Sun Feb 11 13:33:01 2018,10096622,947.478,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4994,4128,1216,0,8,32,0.0909797,0.00957681,-10.3813,0.00319267,-0.0138349,0.00532112,24.8906,32.2594,46.9266,0.502119,7.7389,0.387411,1.81214,2.19955,0.180784,-0,-0,50.3838,-35.8813,
Sun Feb 11 13:33:01 2018,10106623,947.478,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,8,32,0.153229,-0.148441,-10.386,0.00319267,-0.0117065,0.00638535,24.8906,32.2594,46.9266,0.845244,8.02477,0.411563,1.761,2.17256,0.178323,-0,-0,50.3838,-35.393,
Sun Feb 11 13:33:01 2018,10116624,947.478,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,8,32,0.23942,-0.158017,-10.2424,0.00106422,-0.00638535,0.0042569,24.8906,32.2594,46.9266,1.33907,8.30972,0.435443,1.70668,2.14212,0.175874,-0,-0,50.3838,-34.9069,
Sun Feb 11 13:33:01 2018,10126625,947.478,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1214,0,8,30,0.191536,-0.0909797,-10.2663,0.00532112,-0.00957802,0.00212845,24.8906,32.2594,46.9266,1.06883,8.59712,0.459983,1.65286,2.11285,0.173403,-0,-0,50.3838,-34.4164,
Sun Feb 11 13:33:01 2018,10136626,943.421,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1214,0,8,30,0.0957681,0.0143652,-10.3813,0.00851379,-0.0127707,0.0106422,24.8906,32.2594,46.9266,0.528544,8.88451,0.484481,1.59738,2.08187,0.170947,-0,-0,50.3838,-33.929,
Sun Feb 11 13:33:01 2018,10146627,943.421,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,32,14,0.196325,-0.158017,-10.3238,0.00851379,-0.0106422,0.00744957,24.8906,32.2594,46.9266,1.08945,9.17038,0.508103,1.53913,2.04723,0.168522,-0,-0,50.3838,-33.4477,
Sun Feb 11 13:33:01 2018,10156628,943.421,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,32,14,0.186748,-0.124498,-10.3717,0.00957802,-0.00957802,0.0117065,24.8906,32.2594,46.9266,1.03153,9.45656,0.531328,1.48031,2.01164,0.166091,-0,-0,50.3838,-32.9651,
Sun Feb 11 13:33:01 2018,10166629,943.421,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1214,0,8,32,0.114922,-0.0670376,-10.4483,0.0106422,-0.00851379,0.0138349,24.8906,32.2594,46.9266,0.630176,9.74273,0.554143,1.4209,1.97504,0.16365,-0,-0,50.3838,-32.4806,
Sun Feb 11 13:33:01 2018,10176630,943.421,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1214,0,8,32,0.0909797,0.0143652,-10.41,0.0138349,-0.00532112,0.0148991,24.8906,32.2594,46.9266,0.500733,10.0283,0.575564,1.36059,1.93615,0.161237,-0,-0,50.3838,-32.0017,
Sun Feb 11 13:33:01 2018,10186631,943.421,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4996,4124,1214,0,8,32,0.196325,-0.100556,-10.4291,0.0159634,-0.00319267,0.00957802,24.8906,32.2594,46.9266,1.07844,10.3142,0.595549,1.30056,1.89611,0.15883,-0,-0,50.3838,-31.5239,
Sun Feb 11 13:33:01 2018,10196632,943.664,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4996,4124,1214,0,8,32,0.0143652,-0.196325,-10.343,0.0159634,-0.00638535,0.00957802,24.8906,32.2594,46.9266,0.0795775,10.6016,0.61417,1.24218,1.85635,0.156417,-0,-0,50.3838,-31.0451,
Sun Feb 11 13:33:01 2018,10206633,943.664,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1214,0,8,32,0.0670376,-0.138864,-10.319,0.0106422,0.00106422,0.00532112,24.8906,32.2594,46.9266,0.372218,10.8859,0.63041,1.18116,1.81157,0.154024,-0,-0,50.3838,-30.5702,
Sun Feb 11 13:33:01 2018,10216634,943.664,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1214,0,8,32,0.0047884,-0.047884,-10.1849,0.0159634,-0.00106422,0.00638535,24.8906,32.2594,46.9266,0.0269374,11.173,0.643693,1.12349,1.76718,0.151641,-0,-0,50.3838,-30.0973,
Sun Feb 11 13:33:01 2018,10226635,943.664,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,32,16,0.114922,-0.11971,-10.3908,0.0180918,-0.00319267,0.00744957,24.8906,32.2594,46.9266,0.633661,11.4601,0.654418,1.06648,1.7209,0.149262,-0,-0,50.3838,-29.625,
Sun Feb 11 13:33:01 2018,10236636,941.613,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1216,0,32,16,0.071826,-0.110133,-10.4483,0.019156,-0.00319267,0.0042569,24.8906,32.2594,46.9266,0.39387,11.7466,0.663354,1.0097,1.67306,0.146881,-0,-0,50.3838,-29.1525,
Sun Feb 11 13:33:01 2018,10246640,941.613,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4990,4124,1216,0,8,32,0.11971,-0.196325,-10.2759,0.0127707,-0.00106422,0.00851379,24.8906,32.2594,46.9266,0.667442,12.0324,0.670997,0.953358,1.62436,0.144517,-0,-0,50.3838,-28.6833,
Sun Feb 11 13:33:01 2018,10256641,941.613,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4990,4124,1216,0,8,32,0.100556,-0.134075,-10.1418,0.0170276,-0.00106422,0.0117065,24.8906,32.2594,46.9266,0.56807,12.3189,0.677626,0.898785,1.57641,0.142142,-0,-0,50.3838,-28.2118,
Sun Feb 11 13:33:01 2018,10266644,941.613,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4996,4124,1212,0,32,14,0.138864,-0.23942,-10.2711,0.0127707,-0.00319267,0.00957802,24.8906,32.2594,46.9266,0.774582,12.606,0.683567,0.84604,1.52961,0.139791,-0,-0,50.3838,-27.7451,
