today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=6e-05,signal, mad_pitch, multiplier
Sun Feb 11 14:26:36 2018,8085693,923.045,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5038,4142,1218,0,32,14,0.919373,-0.201113,-10.3765,-0.00319267,0.0649177,0.0415047,22.9893,31.0453,50.0883,5.06329,7.14338,2.18174,1.91099,4.09273,0.0641129,-0,-0.142452,50.3838,-32.0564,50.3838,
Sun Feb 11 14:26:36 2018,8095694,923.045,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4134,1216,0,30,14,1.01035,-0.21069,-10.2472,-0.00532112,0.0510828,0.0415047,22.9893,31.0453,50.0883,5.63106,7.43382,2.29625,1.87041,4.16666,0.0631753,-0,-0.14172,50.3838,-31.5876,50.3838,
Sun Feb 11 14:26:36 2018,8105695,921.88,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4134,1216,0,30,14,1.01035,-0.172383,-10.2951,-0.00638535,0.0297983,0.0393763,22.9893,31.0453,50.0883,5.60504,7.7264,2.41305,1.82827,4.24132,0.0622451,-0,-0.140606,50.3838,-31.1225,50.3838,
Sun Feb 11 14:26:36 2018,8115696,921.88,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4124,1214,0,8,32,1.02472,-0.191536,-10.2615,-0.00532112,0.0170276,0.042569,22.9893,31.0453,50.0883,5.70266,8.01654,2.5321,1.78046,4.31257,0.0613343,-0,-0.137663,50.3838,-30.6671,50.3838,
Sun Feb 11 14:26:36 2018,8125697,921.88,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4986,4124,1214,0,8,32,1.22583,-0.177171,-10.2807,0,0.00106422,0.0393763,22.9893,31.0453,50.0883,6.79963,8.30759,2.65394,1.73088,4.38482,0.0604346,-0,-0.135996,50.3838,-30.2173,50.3838,
Sun Feb 11 14:26:36 2018,8135698,921.88,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5024,4142,1218,0,32,14,1.26414,-0.148441,-10.1897,0.00106422,-0.0180918,0.0457616,22.9893,31.0453,50.0883,7.072,8.59956,2.7803,1.67985,4.46015,0.0595471,-0,-0.13414,50.3838,-29.7736,50.3838,
Sun Feb 11 14:26:36 2018,8145699,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5024,4142,1218,0,32,14,1.17795,-0.158017,-10.2089,0.00851379,-0.0457616,0.0436332,22.9893,31.0453,50.0883,6.58195,8.89396,2.91141,1.62915,4.54056,0.0586769,-0,-0.131538,50.3838,-29.3384,50.3838,
Sun Feb 11 14:26:36 2018,8155700,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4138,1212,0,32,14,1.18274,-0.0574608,-10.2951,0.00957802,-0.0595966,0.042569,22.9893,31.0453,50.0883,6.55363,9.18441,3.04566,1.57281,4.61848,0.0578302,-0,-0.127977,50.3838,-28.9151,50.3838,
Sun Feb 11 14:26:36 2018,8165701,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4138,1212,0,32,14,1.18752,-0.143652,-10.2424,0.0159634,-0.080881,0.042569,22.9893,31.0453,50.0883,6.61347,9.47698,3.18183,1.51737,4.6992,0.0570046,-0,-0.124793,50.3838,-28.5023,50.3838,
Sun Feb 11 14:26:36 2018,8175702,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1212,0,30,14,1.20668,-0.234632,-10.0556,0.0223487,-0.102166,0.0415047,22.9893,31.0453,50.0883,6.84278,9.76956,3.31955,1.46091,4.78046,0.0562,-0,-0.121604,50.3838,-28.1,50.3838,
Sun Feb 11 14:26:36 2018,8185703,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1212,0,30,14,1.20668,-0.21069,-10.2807,0.0244772,-0.120257,0.0404405,22.9893,31.0453,50.0883,6.69436,10.0612,3.4585,1.40286,4.86136,0.0554139,-0,-0.118829,50.3838,-27.7069,50.3838,
Sun Feb 11 14:26:36 2018,8195704,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5024,4138,1218,0,30,12,1.35033,-0.181959,-10.2855,0.0159634,-0.137285,0.0340552,22.9893,31.0453,50.0883,7.4793,10.3526,3.59874,1.34416,4.9429,0.0546459,-0,-0.116075,50.3838,-27.323,50.3838,
