today,microseconds_since_start,msl,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2]
Fri Jun 29 19:32:54 2018,175660083,956.228271,-6.08127213,1.54186583,-14.6908216,0.088330612,-0.402276784,0.13302803,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175670090,956.228271,-6.06690693,0.009576807,-9.03571701,0.024477158,-0.54062593,0.284147888,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175680094,956.228271,3.88818359,-1.01035309,-6.04296494,-0.055339664,0.313946158,-0.059596561,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175690101,956.228271,6.90008926,-0.090979666,-9.68694019,-0.344808668,0.356515139,-0.337359101,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175700107,956.523682,1.54665422,1.30723405,-7.52736998,0.072367251,0.468258679,-0.087266393,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175710110,956.523682,-4.71657705,1.03429508,-11.0324812,0.282019436,-0.522534132,0.253285378,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175720118,956.523682,-3.97437477,-0.038307227,-11.8752403,0.020220261,-0.667268634,0.176661223,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175730122,956.523682,1.9488802,-0.962469041,-9.28471375,-0.223487094,-0.204331055,-0.131963804,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175740129,956.523682,5.98071575,-0.110133275,-9.60553741,0.027669832,0.680039287,-0.194753036,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175750134,956.523682,0.737414122,-0.866701007,-7.21133518,-0.100037083,0.575745344,-0.067046128,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175760142,956.99292,-6.50744009,-1.90099609,-12.8041906,-0.050018542,-0.135156482,0.111743547,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175770146,956.99292,-3.40934324,0.81881696,-17.6548424,-0.065981902,-0.56084621,0.109615102,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175780151,956.99292,-1.75255561,-0.397437483,-12.3971758,-0.225615546,-0.433139294,-0.012770691,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175790158,956.99292,3.96000957,0.301669419,-15.6054068,-0.441653073,0.309689254,-0.047890093,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175800161,955.237732,0.876277804,-0.421379507,2.04943657,0.25541383,0.507634997,0.022348709,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175810170,955.237732,1.60411513,-1.54665422,-8.33182144,-0.056403887,0.183046579,-0.09152329,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175820175,955.237732,2.7389667,0.038307227,-7.85776997,0.216037527,-0.181982353,-0.123450018,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175830180,955.237732,2.08774376,2.26970315,-16.0603046,-0.128771141,-0.155376747,-0.057468113,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175840185,955.237732,-0.114921682,1.75734401,-14.6716681,-0.19900994,-0.184110805,0.122385792,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175850192,955.237732,-4.03183556,-1.33117616,-9.76355457,0.018091813,-0.048954316,0.183046579,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175860194,955.107361,-0.895431399,-1.98718739,-3.37103605,0.076624148,-0.031926729,-0.067046128,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175870200,955.107361,3.13640428,-2.29843354,-7.98226833,0.376735389,0.254349589,-0.277762532,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175880204,955.107361,4.55855989,-0.727837324,-11.8656635,0.294790119,0.293725908,-0.176661223,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175890212,955.107361,1.59932673,1.934515,-19.3307838,-0.084073715,0.085137941,0.071303025,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175900215,957.140625,-2.57137251,1.934515,-10.4482956,0.221358657,-0.410790563,0.223487094,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175910223,957.140625,-4.59686708,2.49475813,-10.7834845,-0.193688825,-0.69387424,0.13302803,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175920225,957.140625,-3.80199218,2.8826189,-8.27436066,-0.192624599,-0.610864758,0.025541382,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175930235,957.140625,-6.44519091,0.325611413,-1.25935006,-0.035119399,-0.279890984,-0.072367251,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175940240,957.140625,-3.36145902,0.651222825,2.10210896,0.005321121,0.221358657,-0.103229754,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175950246,957.140625,2.6001029,-2.01112938,-10.357316,-0.432075053,0.664075971,-0.105358206,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175960250,957.149292,8.25041866,-4.26167917,-18.3635273,-0.594901383,0.717287183,-0.146862954,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175970256,957.149292,9.59596062,-4.88895988,-17.4872494,-0.292661667,0.608736277,-0.179853901,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175980263,957.149292,9.62947941,-4.63517427,-12.339715,0.106422424,0.210716411,-0.131963804,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,175990267,957.149292,6.86657047,-5.06134224,-12.0907183,0.242643133,-0.140477598,-0.09471596,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176000273,957.210144,4.90332508,-4.26646757,-13.8480625,0.144734502,-0.317138821,-0.073431477,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176010278,957.210144,2.66714072,-3.29442143,-13.6182194,0.071303025,-0.619378507,-0.085137941,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176020285,957.210144,-1.28808045,-1.49877024,-11.8034143,0.161762089,-0.412919015,-0.089394838,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176030291,957.210144,-1.96324539,-0.507570744,-13.1872625,0.222422868,-0.527855217,-0.046825867,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176040296,957.210144,-3.28963304,1.98239899,-12.9717846,0.249028474,-0.288404793,0.002128449,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176050305,957.210144,-2.92092609,-0.756567717,-11.6501856,0.121321566,-0.220294431,0.005321121,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176060308,957.940002,-4.56813669,0.919373453,-7.96790314,-0.220294431,-0.108550876,0.003192673,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176070322,957.940002,-4.29998636,0.866701007,-11.9135475,-0.33629486,-0.087266393,0.022348709,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176080878,957.940002,-5.92325497,-0.20590134,-7.28795004,-0.161762089,-0.155376747,0.084073715,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176090884,957.940002,-3.84508777,0.076614454,-8.36534023,-0.09471596,-0.184110805,0.153248295,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176100888,957.705383,-5.26724386,1.03429508,-1.99676418,0.368221611,-0.188367695,0.216037527,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176110895,957.705383,-6.42603731,-1.02471828,-0.387860656,0.771562576,-0.289469004,0.207523733,13.2679691,55.2234383,-24.9750004
Fri Jun 29 19:32:54 2018,176120902,957.705383,-8.49462795,-0.785298169,-5.62158537,0.572552681,-0.31607461,0.106422424,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176130908,957.705383,-8.99740982,-2.43729734,-7.46990919,0.488478959,-0.293725908,-0.003192673,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176140913,957.705383,-9.23682976,-4.05577755,-7.64707994,0.190496147,-0.135156482,-0.080881044,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176150919,957.705383,-8.1115551,-1.39821374,-5.2049942,0.140477598,0.006385345,-0.136220708,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176160922,956.723572,-9.76834297,-1.52750063,-3.5577836,0.301175475,0.157505199,-0.157505199,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176170929,956.723572,-10.4195652,-0.871489406,-4.09408474,0.233065113,0.213909075,-0.135156482,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176180935,956.723572,-11.4155531,2.16914678,-8.1019783,0.276698321,0.299047023,-0.134092256,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176190940,956.723572,-11.2814779,1.43173254,-10.0939541,0.189431921,0.324588418,-0.092587516,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176200945,957.922607,-10.1849337,1.64242232,-7.81467438,-0.180918127,0.320331514,-0.098972857,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176210950,957.922607,-11.7315884,2.7581203,-7.97747993,-0.296918571,0.317138821,-0.060660783,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176220954,957.922607,-10.429142,0.909796655,-7.95353794,-0.408662111,0.296918571,-0.008513794,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176230959,957.922607,-10.2950668,2.29364514,-12.339715,-0.587451816,0.254349589,0.031926729,15.2402353,53.9601555,-23.7609386
Fri Jun 29 19:32:54 2018,176240965,957.922607,-7.20654678,1.03908348,-12.7323647,-0.382056504,0.259670734,0.076624148,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176250972,957.922607,-7.46033239,0.636857629,-11.9949503,0.067046128,0.046825867,0.12025734,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176260976,958.035583,-8.6861639,-0.22505495,-7.17302799,0.214973301,0.102165528,0.131963804,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176270983,958.035583,-10.0077629,-0.684741676,-5.75566101,0.375671178,-0.2852121,0.146862954,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176280987,958.035583,-13.1585321,-1.88184249,-4.8123455,0.446974188,-0.112807773,0.070238799,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176290995,958.035583,-13.2878189,-1.90578449,-5.41089582,0.404405236,-0.227743998,0.031926729,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176300998,956.297791,-14.9877024,-1.50355864,-5.45877981,0.389506072,-0.161762089,0.023412934,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176311009,956.297791,-13.1776857,-1.38384855,-6.32548094,0.335230649,-0.10429398,-0.045761645,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176321012,956.297791,-11.9757967,-0.354341835,-11.3245735,0.212844849,0.003192673,-0.06917458,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176331018,956.297791,-10.8696756,0.248996973,-13.9965029,0.126642689,0.169211656,-0.089394838,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176341023,956.297791,-9.80665016,1.57538474,-12.1864862,0.096844412,0.266056061,-0.128771141,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176351031,956.297791,-7.56088877,0.905008256,-8.62870312,0.005321121,0.442717314,-0.156440973,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176361035,956.089233,-6.11000252,0.866701007,-8.43237782,-0.243707359,0.535304785,-0.118128896,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176371038,956.089233,-1.52750063,2.35589433,-13.0053034,-0.35757935,0.564038873,-0.151119843,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176381043,956.089233,-0.287304193,1.11569798,-13.000515,-0.391634524,0.532112122,-0.130899593,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176391052,956.089233,2.7629087,2.08295536,-16.2422638,-0.50018543,0.544882834,-0.09471596,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176401057,953.847473,4.61602068,2.72938991,-18.4449291,-0.436331958,0.468258679,-0.050018542,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176411061,953.847473,4.97036266,1.47003984,-15.0882587,-0.341616005,0.33629486,-0.00744957,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176421066,953.847473,7.7332716,2.6001029,-12.7371531,-0.308625042,0.180918127,-0.006385345,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176431075,953.847473,9.33738613,2.33195233,-12.5025215,-0.201138392,0.090459064,0.045761645,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176441078,953.847473,10.7164469,3.15076947,-8.61912632,-0.072367251,-0.037247852,0.089394838,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176451081,953.847473,10.6302557,3.83072257,-10.4722376,0.034055177,-0.268184513,0.106422424,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176461088,955.706909,9.24161816,3.7110126,-12.8377094,0.112807773,-0.304368138,0.10748665,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176471092,955.706909,5.54975939,3.64397502,-9.54328823,0.250092715,-0.528919458,0.146862954,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176481100,955.706909,3.08852005,3.36145902,-8.37491703,0.420368582,-0.545947075,0.212844849,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176491104,955.706909,2.37983656,3.78762698,-9.6773634,0.349065572,-0.689617336,0.234129339,18.4675789,49.9898453,-22.720314
Fri Jun 29 19:32:54 2018,176501111,953.760559,0.569819987,3.90254879,-9.70609379,0.2852121,-0.676846623,0.180918127,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176511115,953.760559,-0.426167905,3.37103605,-8.42280102,0.086202167,-0.636406124,0.053211212,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176521123,953.760559,-1.62326872,2.92092609,-8.07324791,0.036183626,-0.427818149,0.001064224,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176531127,953.760559,1.41736734,4.29040956,-11.3341503,0.012770691,-0.083009496,0.040440522,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176541134,953.760559,1.74776721,3.82593417,-10.2232409,0.063853458,0.022348709,0.095780186,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176551139,953.760559,1.70946002,2.72460151,-11.7890491,0.178789675,0.119193122,0.130899593,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176561143,953.977783,4.12281513,3.10767365,-17.434576,0.143670276,-0.031926729,0.161762089,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176571151,953.977783,1.64242232,0.92895025,-19.8192005,0.162826315,-0.137284935,0.174532786,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176581154,953.977783,-0.16759412,2.02549458,-16.4864731,0.344808668,-0.393762976,0.303303927,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176591156,953.977783,-4.75488472,1.53228903,-11.5639944,0.399084091,-0.610864758,0.327781081,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176601166,954.759827,-8.64785671,1.14442837,-9.17458057,0.423561275,-0.727929413,0.181982353,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176611170,954.759827,-11.8512983,2.55700731,-6.95276165,0.481029361,-0.524662554,0.127706915,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176621175,954.759827,-12.8472862,3.20344186,-7.1586628,0.587451816,-0.138349161,0.163890541,25.1015625,45.1171875,-21.5062504
Fri Jun 29 19:32:54 2018,176631184,954.759827,-13.0100918,3.19865346,-5.5018754,0.717287183,0.266056061,0.137284935,29.0460949,42.2296867,-20.8125
Fri Jun 29 19:32:54 2018,176641193,954.759827,-12.9669962,2.63841033,-6.12436771,0.71409452,0.444845736,0.130899593,29.0460949,42.2296867,-20.8125
