today,microseconds_since_start,msl,T_Baro,rc0,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,rc6_scaled,rc7_scaled,roll_desired,,roll_cmd,roll_error,roll_error_rate,roll_error_sum,pitch_desired,,pitch_cmd,pitch_error,pitch_error_rate,pitch_error_sum,yaw_rate_desired,yaw_mpu_madgwick,yaw_cmd,yaw_rate_error,yaw_rate_error_rate,yaw_rate_error_sum,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],m1cmd,m2cmd,m3cmd,m4cmd,throttle,time_gps,lat,lng,msl_gps,horz_accuracy,vert_accuracy,status_gps,prescribed_input1,prescribed_input2,prescribed_input3,prescribed_input4,prescribed_input_index,rpm
Fri Jun 29 20:29:52 2018,40560349,693.428406,29.6165257,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-426.962769,-14441.3174,0,,16.7906017,0,0,0,0,,-5.53812695,0,0,0,0,176.850113,0.262915224,0,0,0,-0.282515794,0.766144514,-9.53849983,0,-0.031926729,0.001064224,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40570376,694.462402,29.6449928,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-311.006775,-14477.5576,0,,16.7708473,0,0,0,0,,-5.58805513,0,0,0,0,176.921402,0.267801315,0,0,0,-0.20590134,0.727837324,-9.56244183,-0.002128449,-0.037247852,-0.004256897,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40580377,694.462402,29.6449928,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-180.541946,-14869.0293,0,,16.7498932,0,0,0,0,,-5.63859034,0,0,0,0,176.999832,0.264484584,0,0,0,-0.11971008,0.699106872,-9.82101536,0,-0.037247852,0,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40590407,694.462402,29.6449928,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-383.560669,-14687.8018,0,,16.7288094,0,0,0,0,,-5.68965149,0,0,0,0,177.085922,0.263946056,0,0,0,-0.253785372,0.67037648,-9.70130539,0,-0.035119399,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40600415,694.462402,29.6449928,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-318.285187,-14615.3018,0,,16.7069702,0,0,0,0,,-5.74045467,0,0,0,0,177.176483,0.264341921,0,0,0,-0.210689753,0.699106872,-9.6534214,0.003192673,-0.036183626,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40610416,694.462402,29.6449928,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-354.437622,-14724.0479,0,,16.6848793,0,0,0,0,,-5.79194069,0,0,0,0,177.277176,0.267526805,0,0,0,-0.234631762,0.794874966,-9.72524738,0.002128449,-0.032990951,-0.002128449,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40620429,694.775208,29.6692448,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-376.344543,-14637.0547,0,,16.6622238,0,0,0,0,,-5.84183979,0,0,0,0,177.388535,0.267098725,0,0,0,-0.248996973,0.636857629,-9.6677866,-0.002128449,-0.0393763,-0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40630459,694.775208,29.6692448,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-441.47641,-14535.5635,0,,16.6379185,0,0,0,0,,-5.89326525,0,0,0,0,177.506073,0.268527448,0,0,0,-0.292092592,0.751779318,-9.60074902,0.001064224,-0.038312074,-0.002128449,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40640460,694.775208,29.6692448,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-448.730896,-14673.3076,0,,16.6134853,0,0,0,0,,-5.94469452,0,0,0,0,177.6371,0.262695968,0,0,0,-0.29688102,0.746990919,-9.69172859,-0.003192673,-0.036183626,0.005321121,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40650461,694.775208,29.6692448,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-390.724121,-14550.0596,0,,16.5871048,0,0,0,0,,-5.99593925,0,0,0,0,177.778366,0.269717783,0,0,0,-0.258573771,0.756567717,-9.61032581,0,-0.035119399,-0.002128449,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
