today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0015, kiei(I)=5e-06, kded(D)=0.0009,signal, mad_pitch, multiplier
Thu Sep 26 21:39:06 2019,35279003,940.423,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5360,5522,1230,0,30,28,-0.234632,-0.263362,-9.59596,0.00851379,0.0127707,0.0180918,-21.5531,35.3215,33.0146,-1.40067,719.355,-1.35548,-0.00488178,-1.36036,0.0016361,2.10255e-11,7.56919e-05,-0.140839,-1.23157,0,
Thu Sep 26 21:39:06 2019,35289004,938.763,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5360,5522,1230,0,30,28,-0.277727,-0.186748,-9.72525,-0.00106422,0.0170276,0.0180918,-21.5531,35.3215,33.0146,-1.63577,719.64,-1.38001,-0.00548576,-1.3855,0.0016405,7.32124e-11,0.000263565,-0.140839,-1.2345,0,
Thu Sep 26 21:39:06 2019,35299005,938.763,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5540,1228,0,28,30,-0.268151,-0.196325,-9.74919,0.0117065,0.019156,0.0170276,-21.5531,35.3215,33.0146,-1.57552,719.926,-1.40314,-0.00546839,-1.40861,0.00164369,5.3218e-11,0.000191585,-0.140839,-1.23663,0,
Thu Sep 26 21:39:06 2019,35309006,938.763,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5540,1228,0,28,30,-0.191536,-0.229843,-9.69652,0.00957802,0.019156,0.00744957,-21.5531,35.3215,33.0146,-1.13162,720.213,-1.4246,-0.0048215,-1.42942,0.0016326,-1.84795e-10,-0.000665263,-0.140839,-1.22924,0,
Thu Sep 26 21:39:06 2019,35319007,938.763,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5540,1232,0,30,28,-0.162806,-0.21069,-9.76834,0.0148991,0.0180918,0.0042569,-21.5531,35.3215,33.0146,-0.954842,720.5,-1.44338,-0.00390621,-1.44729,0.0016171,-2.58359e-10,-0.000930094,-0.140839,-1.2189,0,
Thu Sep 26 21:39:06 2019,35329008,939.25,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5540,1232,0,30,28,-0.0814029,-0.296881,-9.73961,0.0127707,0.0202203,0.00638535,-21.5531,35.3215,33.0146,-0.478863,720.785,-1.45844,-0.00390845,-1.46234,0.00159027,-4.47226e-10,-0.00161001,-0.140839,-1.20102,0,
Thu Sep 26 21:39:06 2019,35339009,939.25,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5378,5540,1228,0,30,28,-0.162806,-0.253785,-9.73961,0.00851379,0.0223487,0.0138349,-21.5531,35.3215,33.0146,-0.957658,721.071,-1.46942,-0.00395678,-1.47337,0.00156085,-4.90272e-10,-0.00176498,-0.140839,-1.1814,0,
Thu Sep 26 21:39:06 2019,35349010,939.25,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5378,5540,1228,0,30,28,-0.100556,-0.296881,-9.52892,0.0117065,0.0287341,0.0117065,-21.5531,35.3215,33.0146,-0.604607,721.356,-1.47675,-0.00508469,-1.48183,0.00153955,-3.54996e-10,-0.00127799,-0.140839,-1.1672,0,
Thu Sep 26 21:39:06 2019,35359011,939.25,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5532,1230,0,28,28,-0.234632,-0.268151,-9.52892,0.0138349,0.019156,0.0106422,-21.5531,35.3215,33.0146,-1.41052,721.645,-1.48125,-0.00176407,-1.48302,0.00150646,-5.51432e-10,-0.00198516,-0.140839,-1.14515,0,
Thu Sep 26 21:39:06 2019,35369012,939.25,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5532,1230,0,28,28,-0.225055,-0.277727,-9.60554,0.0127707,0.0212845,0.019156,-21.5531,35.3215,33.0146,-1.34218,721.931,-1.48429,-0.00195384,-1.48624,0.00148851,-2.99221e-10,-0.0010772,-0.140839,-1.13318,0,
