today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=0, kded(D)=0.00085,signal, mad_pitch, multiplier
Thu Sep 26 21:56:11 2019,7167516,934.61,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5546,1234,0,28,28,-0.933739,0,-9.76834,0.0244772,-0.641727,0.0393763,-20.6625,36.218,32.1504,-5.46022,10.7836,0.749446,1.26065,2.01009,0.0776477,0,0.00122291,-0.140839,-31.1999,0,
Thu Sep 26 21:56:11 2019,7177517,934.61,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5546,1234,0,28,28,-0.938527,-0.316035,-9.88326,0.0446974,-0.640663,0.0457616,-20.6625,36.218,32.1504,-5.42462,11.0697,0.657809,1.19556,1.85337,0.0777157,0,0.0023119,-0.140839,-31.2271,0,
Thu Sep 26 21:56:11 2019,7187518,934.61,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5546,1234,0,28,28,-1.20668,-0.205901,-9.8258,0.00851379,-0.647048,0.0138349,-20.6625,36.218,32.1504,-7.00127,11.3581,0.549478,1.13354,1.68302,0.0777919,0,0.00258783,-0.140839,-31.2576,0,
Thu Sep 26 21:56:11 2019,7197519,934.61,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5354,5532,1228,0,28,28,-1.34554,0.0143652,-9.7444,0.0170276,-0.625764,0.0042569,-20.6625,36.218,32.1504,-7.86189,11.6384,0.422524,1.06493,1.48745,0.0779099,0,0.00401356,-0.140839,-31.3048,0,
Thu Sep 26 21:56:11 2019,7207520,934.732,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5354,5532,1228,0,28,28,-1.17316,-0.287304,-9.56723,0.0383121,-0.623635,0.00319267,-20.6625,36.218,32.1504,-6.99086,11.9243,0.276719,1.00337,1.28009,0.0780453,0,0.0046032,-0.140839,-31.359,0,
Thu Sep 26 21:56:11 2019,7217521,934.732,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5404,5528,1226,0,28,30,-1.38864,-0.191536,-9.38527,0.00957802,-0.615122,-0.0266056,-20.6625,36.218,32.1504,-8.41638,12.2083,0.113703,0.941513,1.05522,0.0781484,0,0.00350578,-0.140839,-31.4002,0,
Thu Sep 26 21:56:11 2019,7227522,934.732,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1228,0,28,28,-1.26414,-0.172383,-9.17458,0.0255414,-0.587452,-0.0308625,-20.6625,36.218,32.1504,-7.84522,12.4869,-0.0657768,0.876106,0.810329,0.0782767,0,0.00436099,-0.140839,-31.4515,0,
Thu Sep 26 21:56:11 2019,7237523,934.732,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1228,0,28,28,-1.20189,-0.469264,-9.20331,0.00319267,-0.572553,-0.0404405,-20.6625,36.218,32.1504,-7.44034,12.7691,-0.259528,0.816451,0.556923,0.0783873,0,0.00376194,-0.140839,-31.4958,0,
Thu Sep 26 21:56:11 2019,7247524,934.732,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1232,0,28,28,-1.43652,-0.124498,-9.21768,-0.0319267,-0.557654,-0.0574681,-20.6625,36.218,32.1504,-8.85797,13.0513,-0.465642,0.758783,0.293141,0.0784658,0,0.00267035,-0.140839,-31.5272,0,
Thu Sep 26 21:56:11 2019,7257525,934.732,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1232,0,28,28,-1.2402,-0.114922,-9.19373,0.00319267,-0.525727,-0.0436332,-20.6625,36.218,32.1504,-7.68259,13.3287,-0.683473,0.698485,0.0150124,0.0785448,0,0.00268316,-0.140839,-31.5587,0,
Thu Sep 26 21:56:11 2019,7267526,934.462,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1232,0,28,28,-1.22583,-0.258574,-9.42837,-0.00851379,-0.509763,-0.032991,-20.6625,36.218,32.1504,-7.40778,13.6106,-0.910064,0.64505,-0.265014,0.0785577,0,0.000441141,-0.140839,-31.5639,0,
Thu Sep 26 21:56:11 2019,7277527,934.462,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5356,5522,1226,0,30,10,-1.48919,-0.129287,-9.56244,-0.00106422,-0.490607,-0.0308625,-20.6625,36.218,32.1504,-8.85178,13.8915,-1.14355,0.592845,-0.550705,0.0785177,-0,-0.00136136,-0.140839,-31.5479,0,
Thu Sep 26 21:56:11 2019,7287528,934.462,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5356,5522,1226,0,30,10,-1.30245,-0.373495,-9.64863,0.0042569,-0.454424,-0.00638535,-20.6625,36.218,32.1504,-7.68776,14.1677,-1.38383,0.538173,-0.845658,0.0784785,-0,-0.00133153,-0.140839,-31.5323,0,
Thu Sep 26 21:56:11 2019,7297529,934.462,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5404,5528,1228,0,28,28,-1.35512,-0.316035,-9.71088,-0.0202203,-0.431011,0.00212845,-20.6625,36.218,32.1504,-7.94412,14.4474,-1.62883,0.489615,-1.13922,0.0783831,-0,-0.00324428,-0.140839,-31.4941,0,
Thu Sep 26 21:56:11 2019,7307530,933.011,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5526,1232,0,26,26,-1.61369,-0.0335188,-9.78271,-0.0042569,-0.402277,0.0127707,-20.6625,36.218,32.1504,-9.3668,14.7257,-1.87795,0.441877,-1.43607,0.0782401,-0,-0.00486309,-0.140839,-31.4369,0,
Thu Sep 26 21:56:11 2019,7317531,933.011,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5526,1232,0,26,26,-1.48919,-0.196325,-9.72525,0.0159634,-0.372478,0.0255414,-20.6625,36.218,32.1504,-8.70589,15.0036,-2.1322,0.396236,-1.73597,0.0780744,-0,-0.00563497,-0.140839,-31.3706,0,
Thu Sep 26 21:56:11 2019,7327532,933.011,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5526,1232,0,26,26,-1.67115,-0.244209,-10.0126,0.0106422,-0.34268,0.0372479,-13.1813,34.0664,33.8789,-9.47566,15.2816,-2.39101,0.352978,-2.03804,0.0778577,-0,-0.00736711,-0.140839,-31.2839,0,
Thu Sep 26 21:56:11 2019,7337533,933.011,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1230,0,28,28,-1.76692,-0.181959,-9.52413,-0.00106422,-0.305432,0.019156,-13.1813,34.0664,33.8789,-10.5101,15.5574,-2.65483,0.310022,-2.3448,0.0776087,-0,-0.00846582,-0.140839,-31.1843,0,
Thu Sep 26 21:56:11 2019,7347534,933.011,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1228,0,28,28,-1.63763,-0.268151,-9.66779,0.0159634,-0.264992,0.0255414,-13.1813,34.0664,33.8789,-9.61413,15.8323,-2.92405,0.268672,-2.65538,0.0773442,-0,-0.00899354,-0.140839,-31.0785,0,
Thu Sep 26 21:56:11 2019,7357535,933.011,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1228,0,28,28,-1.85311,-0.220267,-9.49062,-0.00744957,-0.230937,0.0106422,-13.1813,34.0664,33.8789,-11.0484,16.109,-3.19785,0.231572,-2.96628,0.0770236,-0,-0.0109004,-0.140839,-30.9503,0,
Thu Sep 26 21:56:11 2019,7367536,932.916,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5544,1232,0,28,28,-1.90578,-0.215478,-9.41879,-0.0212845,-0.186239,-0.00851379,-13.1813,34.0664,33.8789,-11.4387,16.3827,-3.47703,0.193833,-3.2832,0.0766632,-0,-0.0122516,-0.140839,-30.8061,0,
Thu Sep 26 21:56:11 2019,7377537,932.916,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5544,1232,0,28,28,-1.8148,-0.311246,-9.38527,-0.019156,-0.138349,-0.00957802,-13.1813,34.0664,33.8789,-10.9441,16.6554,-3.76171,0.157696,-3.60401,0.0762821,-0,-0.0129576,-0.140839,-30.6537,0,
Thu Sep 26 21:56:11 2019,7387538,932.916,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5544,1232,0,28,28,-1.85311,0.0191536,-9.30866,-0.0585323,-0.0957802,-0.0468259,-13.1813,34.0664,33.8789,-11.2589,16.9297,-4.05007,0.125493,-3.92457,0.0758386,-0,-0.0150802,-0.140839,-30.4763,0,
Thu Sep 26 21:56:11 2019,7397539,932.916,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5358,5520,1224,0,8,14,-1.99676,0.114922,-9.31823,-0.0234129,-0.0468259,-0.042569,-13.1813,34.0664,33.8789,-12.0948,17.2022,-4.34163,0.093802,-4.24783,0.0753241,-0,-0.0174913,-0.140839,-30.2705,0,
Thu Sep 26 21:56:11 2019,7407540,934.61,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5358,5520,1224,0,8,14,-1.83875,-0.21069,-9.4954,0.00212845,0.00851379,-0.0383121,-13.1813,34.0664,33.8789,-10.9595,17.4728,-4.63582,0.0627007,-4.57312,0.0747851,-0,-0.0183266,-0.140839,-30.0549,0,
Thu Sep 26 21:56:11 2019,7417541,934.61,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5404,5534,1226,0,28,30,-2.05422,-0.110133,-9.33739,-0.0202203,0.0606608,-0.0404405,-13.1813,34.0664,33.8789,-12.4074,17.7443,-4.93132,0.0348812,-4.89644,0.0741383,-0,-0.0219924,-0.140839,-29.7962,0,
