today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.0038KI=0KD=0.00073,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.26KIy=0.0038KDy=0,YAW_MEAS{43},
Sun Feb 18 11:50:33 2018,439316230,579.967,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5514,1038,0,30,30,0.162806,-0.129287,-10.5393,0.0127707,-0.019156,0.0159634,32.8418,39.8906,-26.9578,7.62939e-06,-45.524,-7.62939e-06,162.827,2.38419e-07,0.0159634,
Sun Feb 18 11:50:33 2018,439326231,579.967,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5514,1038,0,30,30,0.0143652,-0.172383,-10.7978,-0.00638535,0.0212845,-0.052147,32.8418,39.8906,-26.9578,7.62939e-06,-46.0114,-7.62939e-06,162.803,2.38419e-07,-0.052147,
Sun Feb 18 11:50:33 2018,439336232,580.106,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5512,1026,0,8,30,-0.114922,-0.191536,-10.1706,0.0383121,-0.0255414,0.00638535,32.8418,39.8906,-26.9578,7.62939e-06,-46.4988,-7.62939e-06,162.754,2.38419e-07,0.00638535,
Sun Feb 18 11:50:33 2018,439346233,580.106,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5512,1026,0,8,30,0.0957681,-0.325611,-10.5153,0.0351194,-0.0180918,0.0702388,32.8418,39.8906,-26.9578,7.62939e-06,-46.9774,-7.62939e-06,162.693,2.38419e-07,0.0702388,
Sun Feb 18 11:50:33 2018,439356234,580.106,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5336,5502,1018,2,30,14,0.244209,-0.129287,-10.6542,-0.00319267,0.00851379,0.0319267,32.8418,39.8906,-26.9578,7.62939e-06,-47.472,-7.62939e-06,162.65,2.38419e-07,0.0319267,
Sun Feb 18 11:50:33 2018,439366235,580.106,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5336,5502,1018,2,30,14,-0.023942,0.0335188,-10.4483,0.0117065,0.00319267,0.0212845,32.8418,39.8906,-26.9578,7.62939e-06,-47.9496,-7.62939e-06,162.612,2.38419e-07,0.0212845,
Sun Feb 18 11:50:33 2018,439376236,580.106,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5522,1044,0,28,14,-0.220267,-0.177171,-10.5153,0.019156,0.00532112,-0.00957802,32.8418,39.8906,-26.9578,7.62939e-06,-48.4242,-7.62939e-06,162.596,2.38419e-07,-0.00957802,
Sun Feb 18 11:50:33 2018,439386237,580.106,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5522,1044,0,28,14,0.0574608,-0.253785,-10.6542,0.0042569,-0.00957802,-0.0159634,32.8418,39.8906,-26.9578,7.62939e-06,-48.9113,-7.62939e-06,162.542,2.38419e-07,-0.0159634,
Sun Feb 18 11:50:33 2018,439396238,580.627,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5500,1042,0,30,14,0.186748,-0.186748,-10.2424,0.032991,-0.0127707,0.0234129,32.8418,39.8906,-26.9578,7.62939e-06,-49.3931,-7.62939e-06,162.464,2.38419e-07,0.0234129,
Sun Feb 18 11:50:33 2018,439406239,580.627,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5500,1042,0,30,14,0.0574608,-0.229843,-10.3621,0.00744957,-0.00638535,0.0308625,32.8418,39.8906,-26.9578,7.62939e-06,-49.8627,-7.62939e-06,162.417,2.38419e-07,0.0308625,
Sun Feb 18 11:50:33 2018,439416240,580.627,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5500,1040,0,8,30,-0.0430956,-0.167594,-10.2328,-0.00319267,-0.0127707,0.0308625,32.8418,39.8906,-26.9578,7.62939e-06,-50.331,-7.62939e-06,162.375,2.38419e-07,0.0308625,
