Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
7.002,-1.877695,-8.277188,12.1859
7.011,-1.992656,-8.296348,12.42963
7.02,-2.39502,-8.315508,13.46511
7.03,-2.739902,-8.238868,13.58596
7.04,-3.525469,-9.177715,14.01132
7.052,-3.851192,-9.407638,14.74156
7.06,-4.061953,-9.75252,15.53443
7.072,-4.157754,-9.829161,16.26642
7.08,-4.042793,-9.733359,16.32824
7.091,-3.832031,-9.560919,16.93911
7.1,-3.525469,-9.407638,17.36678
7.11,-2.816543,-8.871153,17.61119
7.12,-2.529141,-8.449629,17.79395
7.131,-2.280059,-8.258028,18.0986
7.142,-2.165098,-8.162227,18.5252
7.15,-2.318379,-8.219707,18.82991
7.161,-2.605781,-8.296348,18.64604
7.18,-3.353028,-8.737032,19.61999
7.191,-4.119434,-9.426797,19.74028
7.2,-4.406836,-9.637559,20.22684
7.21,-4.579278,-9.7142,20.89688
7.221,-4.579278,-9.522598,20.83648
7.23,-4.311035,-9.081915,21.38569
7.24,-4.004473,-9.024434,21.75198
7.251,-3.64043,-8.717872,22.48426
7.26,-3.276387,-8.52627,21.87453
7.271,-2.931504,-7.970625,21.87345
7.29,-2.797383,-7.989786,21.62847
7.3,-3.065625,-8.737032,21.32252
7.311,-3.333867,-8.813672,20.89465
7.322,-3.62127,-9.005274,20.46582
7.33,-4.023633,-9.273516,21.19603
7.341,-4.751719,-9.637559,21.37696
7.35,-5.134922,-9.503438,21.61937
7.361,-5.249883,-9.311836,22.10631
7.372,-4.943321,-8.641231,22.5334
7.381,-4.598438,-8.449629,22.59458
7.393,-4.234395,-8.123906,22.7166
7.402,-3.889512,-7.817344,22.83875
7.412,-3.276387,-7.606582,23.14329
7.42,-3.103945,-7.510782,23.14269
7.43,-3.046465,-7.702383,23.44696
7.441,-3.084785,-8.162227,23.5681
7.45,-3.238066,-8.52627,23.20164
7.46,-3.966152,-9.177715,23.13958
7.47,-4.406836,-9.254355,23.38141
7.481,-4.82836,-9.350157,23.50061
7.492,-5.498965,-9.273516,23.49993
7.5,-5.633086,-9.005274,23.74177
7.511,-5.690567,-8.602911,23.61842
7.522,-5.575606,-8.123906,24.04517
7.53,-4.981641,-7.683223,23.86218
7.541,-4.617598,-7.549102,24.28893
7.55,-4.272715,-7.568262,24.04498
7.561,-4.004473,-7.702383,23.67834
7.57,-3.755391,-7.970625,23.37234
7.58,-3.755391,-8.219707,23.06598
7.604,-4.598438,-8.909473,22.33278
7.61,-4.962481,-8.890313,22.08787
7.62,-5.307364,-8.717872,21.96338
7.63,-5.556446,-8.56459,21.9005
7.641,-5.728887,-8.334668,21.59308
7.652,-5.613926,-8.143066,21.59054
7.66,-5.460645,-7.951465,21.46754
7.671,-5.249883,-7.664063,21.2228
7.68,-5.077442,-7.568262,21.28315
7.691,-4.790039,-7.702383,21.09939
7.702,-4.675078,-7.874825,20.67235
7.71,-4.636758,-7.932305,20.42763
7.72,-4.770879,-7.989786,20.36422
7.732,-4.905,-7.989786,20.05691
7.74,-5.077442,-8.047266,19.81118
7.751,-5.269043,-8.104747,19.86972
7.762,-5.594766,-7.932305,19.6237
7.77,-5.671406,-7.779024,19.74429
7.78,-5.671406,-7.817344,19.74293
7.792,-5.613926,-7.913145,19.74111
7.811,-5.518125,-7.836504,19.80071
7.82,-5.498965,-7.740704,19.92126
7.831,-5.364844,-7.817344,20.04135
7.84,-5.249883,-8.047266,20.10093
7.851,-5.249883,-7.855664,20.34297
7.862,-5.269043,-7.893985,20.64556
7.87,-5.326524,-7.836504,20.64353
7.88,-5.384004,-7.951465,20.58052
7.891,-5.518125,-7.893985,20.88269
7.902,-5.594766,-7.836504,21.42876
7.92,-5.977969,-7.280859,21.61035
7.931,-5.997129,-7.30002,22.03456
7.94,-5.997129,-7.31918,22.21552
7.951,-5.920488,-7.395821,22.51778
7.96,-5.901329,-7.3575,22.88182
7.97,-5.863008,-7.3575,22.87979
7.98,-5.824688,-7.453301,23.30509
7.992,-5.843848,-7.664063,23.48598
8,-5.863008,-7.740704,23.66738
8.01,-5.863008,-7.721543,24.15417
8.021,-5.901329,-7.549102,24.39733
8.031,-5.958809,-7.549102,24.63899
8.042,-5.997129,-7.529942,24.75796
8.05,-6.03545,-7.434141,24.99963
8.06,-6.11209,-7.33834,25.30236
8.072,-6.265371,-7.012618,25.42169
8.08,-6.322852,-6.974297,25.60266
8.091,-6.361172,-6.974297,26.08785
8.101,-6.418653,-7.012618,26.51271
8.111,-6.437813,-6.935977,26.75473
8.13,-6.361172,-7.031778,27.54508
8.141,-6.342012,-7.280859,27.90861
8.15,-6.342012,-7.280859,28.0898
8.161,-6.322852,-7.223379,28.57482
8.172,-6.418653,-7.165899,28.38865
8.18,-6.437813,-7.165899,28.935
8.191,-6.456973,-7.089258,29.11468
8.2,-6.514453,-7.012618,29.2342
8.211,-6.648574,-6.725215,29.71959
8.223,-6.686895,-6.610254,29.9603
8.241,-6.821016,-6.571934,30.26198
8.25,-6.878496,-6.533614,30.50349
8.261,-6.935977,-6.418653,30.92737
8.27,-6.935977,-6.361172,31.10827
8.28,-6.897656,-6.437813,31.22752
8.29,-6.897656,-6.552774,31.22549
8.301,-6.935977,-6.591094,31.58864
8.31,-6.955137,-6.571934,31.70924
8.321,-6.955137,-6.380332,31.70575
8.332,-7.012618,-6.495293,32.55593
8.35,-7.089258,-6.533614,32.9183
8.36,-7.146739,-6.418653,33.28152
8.371,-7.223379,-6.227051,33.39991
8.382,-7.280859,-6.150411,33.88415
8.39,-7.31918,-6.11209,33.8205
8.4,-7.3575,-6.07377,34.06173
8.41,-7.414981,-5.882168,34.24202
8.421,-7.414981,-5.824688,34.48256
8.43,-7.434141,-5.805528,34.541
8.442,-7.472461,-5.863008,34.53764
8.461,-7.529942,-5.671406,35.38781
8.47,-7.606582,-5.556446,35.14119
8.481,-7.664063,-5.767207,35.62539
8.492,-7.664063,-5.690567,35.98763
8.5,-7.721543,-5.767207,36.04591
8.511,-7.740704,-5.748047,36.22601
8.522,-7.740704,-5.613926,36.83173
