Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
32.43,-2.835703,-5.077442,143.2666
32.44,-11.32365,-4.330195,153.814
32.45,-11.26617,-3.353028,166.6176
32.46,-12.93311,-3.832031,161.2504
32.47,-8.123906,-3.429668,148.2564
32.48,-4.349356,-3.372188,141.0551
32.49,-15.07904,-2.47166,150.3781
32.501,-6.495293,-2.184258,143.4848
32.511,-14.35096,-2.356699,151.1607
32.52,-4.311035,-3.985313,157.1346
32.53,-13.43127,-2.49082,160.6694
32.54,-4.905,-3.314707,153.1677
32.55,-10.49977,1.22625,160.3001
32.56,-10.289,-2.797383,174.0788
32.57,-10.0016,0.249082,172.1879
32.58,-8.813672,-2.854863,169.0165
32.59,-9.924961,0.249082,174.8695
32.6,-9.330997,-1.475332,177.9179
32.611,-10.80633,1.743574,182.0625
32.62,-7.070098,1.16877,182.9749
32.63,-9.311836,-1.111289,183.2776
32.642,-6.686895,0.9388477,185.6524
32.65,-9.924961,0.8622071,194.066
32.66,-10.30816,2.988985,192.2345
32.67,-6.150411,0.5556446,188.9997
32.68,-11.5919,2.356699,190.7039
32.69,-6.610254,1.16877,198.5056
32.701,-12.28166,4.023633,192.7114
32.711,-7.702383,2.375859,201.001
32.72,-7.702383,2.39502,193.9279
32.73,-5.633086,4.483477,193.0134
32.74,-8.353828,3.123106,200.3915
32.75,-11.30449,5.671406,199.9648
32.76,-9.886642,4.119434,207.282
32.77,-9.79084,6.16957,204.599
32.783,-10.49977,5.173243,205.1478
32.79,-10.49977,5.192402,191.3063
32.8,-4.138594,4.962481,190.9404
32.811,-10.61473,6.09293,193.1961
32.82,-6.227051,7.702383,197.4637
32.83,-5.058281,5.575606,190.8167
32.84,-4.732559,7.568262,190.5721
32.85,-5.633086,6.342012,198.1934
32.86,-9.75252,8.085587,204.0464
32.87,-2.778223,7.836504,204.473
32.88,-8.123906,8.449629,202.5215
32.89,-1.322051,7.913145,191.4847
32.901,-6.13125,8.449629,198.4968
32.91,-0.613125,8.50711,199.96
32.92,-8.315508,9.503438,213.4969
32.93,-3.295547,7.913145,203.3751
32.94,-0.3257227,9.330997,198.3753
32.95,-0.8813672,6.821016,204.717
32.96,-1.973496,11.89846,220.5708
32.97,-5.518125,9.062755,223.6204
32.98,-1.24541,6.993457,228.1334
32.99,-1.781895,9.101074,219.9635
33,-2.969824,8.928633,229.1712
33.01,-1.379531,10.94045,231.3672
33.02,-2.931504,10.0974,239.0507
33.03,-1.437012,10.80633,234.478
33.042,3.008145,9.369317,242.8323
33.05,-3.046465,11.55357,250.3325
33.06,1.973496,10.05908,255.15
33.07,-3.946992,10.40396,248.931
33.08,5.613926,8.794512,242.773
33.09,1.22625,12.24334,245.0906
33.101,5.671406,8.871153,246.3104
33.112,1.437012,13.39295,249.7268
33.12,1.820215,7.280859,264.3633
33.13,3.985313,10.78717,250.6462
33.14,3.889512,7.549102,251.6852
33.15,4.157754,10.3848,258.334
33.16,4.215235,11.05541,258.5193
33.17,4.483477,7.070098,253.1544
33.18,4.579278,10.3848,247.3627
33.19,5.958809,6.150411,243.705
33.201,4.981641,8.966953,239.8031
33.212,7.031778,6.016289,232.9744
33.22,6.207891,10.53809,235.9615
33.23,4.540957,6.974297,231.8754
33.242,6.322852,10.02076,229.9232
33.25,6.322852,10.03992,212.4228
33.26,11.18953,7.165899,208.8246
33.27,5.671406,7.836504,213.9447
33.28,3.832031,5.652246,203.0282
33.29,12.83731,7.587422,195.8313
33.301,5.115762,6.878496,194.8548
33.311,12.12838,6.476133,184.2429
33.32,6.016289,3.563789,173.6326
33.33,7.050938,7.204219,172.9613
33.342,7.395821,4.061953,156.436
33.35,6.916817,6.03545,159.6064
33.36,10.57641,3.946992,149.6059
33.37,6.763535,5.786367,141.0069
33.38,9.522598,2.893184,133.5055
33.39,9.484278,2.874024,126.9188
33.401,8.583751,2.030977,120.9425
33.41,10.90213,3.027305,111.7947
33.42,7.012618,4.809199,114.1731
33.43,8.737032,0.8238868,111.0635
33.44,12.76066,3.889512,97.40516
33.45,10.0016,1.341211,86.79559
33.46,12.68402,3.467988,86.61286
33.47,3.832031,1.532813,92.76891
33.48,10.99793,3.487149,89.1079
33.49,4.92416,1.24541,81.23956
33.501,11.22785,3.832031,72.45784
33.511,6.571934,2.260899,63.67594
33.522,10.63389,2.280059,53.25229
33.53,10.57641,0.364043,53.98505
33.54,7.127578,2.701582,50.02376
33.55,10.1932,2.4525,43.50149
33.56,7.779024,2.529141,35.69873
33.57,9.7142,1.992656,28.50418
33.58,10.289,-0.1532813,23.44378
33.59,8.334668,2.988985,18.38338
33.601,10.30816,-0.3257227,11.18854
33.612,9.043594,3.717071,4.054941
33.62,7.798184,0.2682422,8.567085
33.63,11.22785,0.1916016,6.615816
33.64,7.453301,-0.1724414,-2.042771
33.65,13.08639,1.18793,-13.81111
33.66,6.878496,3.429668,-9.9697
33.67,8.219707,-0.2874024,-5.334437
33.68,5.326524,1.762734,-11.06503
33.69,10.05908,0.5939649,-25.51513
33.71,11.30449,1.916016,-40.57555
33.721,12.49242,1.858535,-42.95743
33.73,3.755391,0.977168,-28.93744
33.74,12.95227,2.529141,-31.07451
33.75,4.349356,1.111289,-32.11403
33.76,14.08272,2.567461,-45.89745
33.77,8.909473,1.743574,-43.58321
33.78,5.154082,1.820215,-33.46408
33.79,7.280859,2.509981,-34.56447
33.8,6.476133,1.820215,-47.00632
33.814,5.977969,2.126777,-43.83701
33.82,8.296348,1.532813,-47.25194
33.83,14.56172,3.448828,-62.24858
33.842,10.34649,2.624942,-65.35498
33.85,10.34649,2.644102,-48.15874
33.86,13.10555,3.180586,-63.09554
33.87,11.72602,2.835703,-71.57046
33.88,11.74518,3.429668,-63.94783
33.89,3.67875,2.509981,-52.97154
33.9,13.85279,3.372188,-53.09281
33.913,4.004473,3.084785,-62.05589
33.92,14.17852,4.483477,-68.15495
33.93,7.970625,2.663262,-82.42876
33.94,13.81447,4.215235,-73.591
33.95,6.514453,2.337539,-68.89957
33.96,6.629415,5.307364,-74.93983
33.97,12.68402,4.196074,-79.15067
33.98,7.089258,6.361172,-94.58103
33.99,11.43861,4.081113,-95.62115
34,6.744375,4.081113,-99.58809
34.016,10.88297,3.276387,-98.24839
34.02,6.782696,5.058281,-96.23796
34.031,7.721543,6.246211,-100.6296
34.04,10.36565,3.870352,-105.6302
34.05,7.031778,5.307364,-109.5943
34.06,9.79084,4.157754,-108.0097
34.07,7.223379,6.016289,-110.757
34.08,7.779024,6.725215,-108.5652
34.09,8.909473,4.598438,-107.1662
34.103,7.414981,6.878496,-108.6957
34.121,7.089258,6.476133,-111.7491
34.13,7.644903,4.82836,-110.5935
34.14,6.859336,8.909473,-107.9744
34.15,7.2617,6.322852,-109.8066
34.16,7.30002,5.748047,-109.0778
34.17,6.993457,5.767207,-113.3473
34.18,7.050938,6.667735,-113.5313
34.19,6.437813,9.656719,-107.0081
34.2,6.801856,5.441484,-105.9727
34.21,6.188731,9.426797,-104.4495
34.221,6.916817,6.05461,-103.4135
34.23,6.571934,8.909473,-106.159
34.24,6.571934,8.928633,-104.0868
34.25,4.272715,9.330997,-101.8928
34.26,6.706055,8.085587,-103.906
34.27,5.709727,6.782696,-107.9936
34.28,3.908672,10.40396,-106.1664
34.29,5.671406,6.648574,-103.6076
34.3,3.793711,10.17404,-103.061
34.31,5.958809,8.52627,-104.8314
34.321,3.314707,9.733359,-108.3084
34.33,5.479805,8.43047,-108.8611
34.34,4.215235,8.52627,-116.3638
34.35,2.874024,10.57641,-116.9762
34.36,4.732559,8.047266,-118.3813
34.37,2.41418,10.78717,-121.1285
34.38,1.724414,7.606582,-127.7781
34.39,6.188731,9.388477,-138.2082
34.4,1.26457,8.813672,-150.3456
34.41,7.855664,10.48061,-156.9952
34.421,0.7855664,10.74885,-161.08
34.43,6.13125,9.944121,-169.6146
34.44,0.1149609,7.606582,-157.9669
34.45,0.2107617,11.72602,-170.0388
34.46,2.835703,9.465117,-175.9521
34.47,2.318379,10.07824,-184.308
34.48,-0.4598438,9.196876,-190.0418
34.49,3.065625,7.817344,-195.2269
34.5,-0.4790039,13.08639,-198.1559
34.51,3.582949,10.25068,-199.0117
34.521,-2.222578,9.75252,-216.1472
34.53,-3.448828,9.484278,-202.0048
34.54,3.008145,10.1932,-216.6415
34.55,-2.874024,11.03625,-225.9734
34.56,1.149609,10.80633,-224.0859
34.57,-3.257227,7.970625,-219.5142
34.58,-3.966152,10.90213,-218.906
34.59,-2.663262,8.200547,-222.749
34.6,-4.004473,10.55725,-221.47
34.61,-2.548301,8.602911,-220.496
34.621,-5.230723,10.94045,-217.9356
34.63,-2.912344,7.434141,-219.1567
34.64,-4.521797,7.913145,-219.2797
34.65,-5.786367,8.986114,-215.6223
34.66,-4.119434,6.322852,-212.2087
34.67,-6.227051,8.200547,-214.5273
34.68,-4.92416,5.460645,-215.6873
34.69,-6.05461,8.909473,-210.6278
34.7,-5.556446,5.364844,-204.8976
34.71,-7.204219,8.449629,-198.0698
34.721,-6.955137,6.495293,-196.7288
34.73,-7.874825,8.775352,-189.84
34.74,-6.591094,5.192402,-193.8044
34.75,-7.031778,5.288203,-186.7322
34.76,-8.219707,7.932305,-179.6599
34.77,-6.686895,4.157754,-173.6236
34.782,-8.775352,7.070098,-168.7458
34.79,-6.437813,3.353028,-172.1606
34.8,-8.756192,4.86668,-163.9901
34.81,-6.993457,2.912344,-157.2829
34.821,-9.69504,4.981641,-151.0028
34.832,-7.817344,2.874024,-142.5283
34.84,-7.817344,2.893184,-147.7725
34.85,-10.49977,4.943321,-138.8097
34.86,-8.372989,2.088457,-129.6639
34.87,-10.90213,4.540957,-123.811
34.88,-6.552774,1.571133,-121.8604
34.89,-9.675879,3.736231,-122.166
34.9,-6.648574,0.5939649,-116.7399
34.91,-11.36197,2.797383,-106.1308
34.921,-6.993457,0.7472461,-105.9479
34.93,-12.51158,2.912344,-92.89935
34.94,-7.012618,1.647774,-101.3141
34.95,-8.008945,0.5939649,-95.27766
34.96,-12.6457,2.165098,-82.41194
34.97,-10.36565,0.9005274,-72.16788
34.98,-11.8793,1.283731,-72.89944
34.99,-4.253555,0.5364844,-78.50904
35,-12.53074,1.053809,-73.63083
35.01,-4.234395,0.2874024,-64.97214
35.022,-8.104747,-1.092129,-62.35073
35.031,-5.824688,1.092129,-45.52311
35.04,-5.824688,1.111289,-50.40225
35.05,-7.280859,-1.916016,-50.22042
35.06,-7.644903,1.743574,-35.40445
35.07,-12.56906,0.2299219,-21.44243
35.08,-8.928633,2.720742,-18.45602
35.09,-10.95961,-0.9963282,-22.90864
35.1,-7.549102,-1.322051,-24.80028
35.11,-9.77168,2.624942,-17.91144
35.121,-7.893985,-0.4406836,-15.22896
35.13,-10.25068,2.145938,-11.63275
35.14,-9.656719,-2.41418,-4.804381
35.15,-8.066426,0.09580079,-7.793085
35.16,-9.196876,-2.759063,-6.208618
35.17,-8.52627,0.9580079,0.3152901
35.182,-8.602911,-2.663262,-2.063481
35.19,-8.602911,-2.644102,7.936277
35.2,-11.20869,-0.07664063,4.582138
35.21,-8.334668,-2.088457,7.325559
35.221,-11.22785,-0.8813672,10.19167
35.23,-7.644903,-1.22625,6.594869
35.242,-9.637559,2.145938,7.632217
35.25,-10.90213,-1.666934,16.65686
35.26,-7.031778,-0.5748047,11.65737
35.27,-10.55725,2.050137,10.86444
35.28,-6.821016,0.1532813,18.12029
35.29,-11.28533,1.628613,27.44931
35.3,-9.522598,-2.260899,30.25393
35.31,-11.47693,0.8047266,26.53418
35.33,-7.874825,2.165098,27.63092
35.341,-8.238868,-2.030977,32.26179
35.35,-8.871153,2.663262,42.01543
35.36,-10.61473,-0.2874024,44.5138
35.37,-8.449629,-1.16877,42.80502
35.38,-9.273516,2.969824,46.15721
35.39,-9.330997,-0.4023633,54.69232
35.4,-9.465117,2.529141,60.97134
35.41,-8.54543,-1.475332,65.23817
35.42,-10.25068,0.4981641,66.21378
35.44,-10.99793,1.456172,71.51865
35.45,-8.372989,2.184258,78.04304
35.46,-8.334668,-0.4598438,78.16499
35.47,-7.185059,1.590293,79.07799
35.48,-8.909473,0.03832031,82.97878
35.49,-11.40029,3.199746,90.53811
35.503,-9.924961,0.9005274,89.01125
35.51,-10.57641,3.506309,92.42506
35.52,-6.016289,1.149609,89.86229
35.53,-11.13205,2.222578,92.42146
35.541,-6.188731,1.092129,92.90836
35.55,-11.93678,2.567461,93.02762
35.56,-8.679551,3.870352,100.5258
35.57,-6.935977,1.322051,94.48966
35.583,-7.932305,4.061953,102.2342
35.59,-7.280859,1.590293,96.13688
35.6,-11.86014,4.311035,100.4056
35.61,-7.510782,1.801055,97.7841
35.62,-11.45777,5.249883,95.34557
35.63,-7.089258,4.272715,90.468
35.641,-10.44229,5.326524,94.06581
35.65,-7.587422,4.253555,89.24947
35.66,-7.970625,2.797383,88.82312
35.67,-10.21236,5.709727,90.40902
35.68,-7.740704,4.100274,88.03149
35.69,-9.560919,6.342012,84.37347
35.7,-8.162227,3.391348,80.89839
35.71,-7.434141,3.64043,79.74039
35.72,-8.966953,6.801856,83.03247
35.73,-7.223379,4.809199,86.5075
35.741,-8.411309,6.840176,83.39746
35.75,-7.817344,3.161426,89.6161
35.762,-7.817344,6.744375,92.05428
35.771,-7.510782,3.525469,87.84669
35.78,-8.028106,6.648574,94.5535
35.79,-6.801856,6.859336,98.88226
35.8,-7.165899,4.157754,99.30858
35.81,-5.269043,6.303692,104.1861
35.82,-7.012618,4.445157,107.1736
35.83,-9.139395,7.606582,115.8318
35.841,-7.702383,6.150411,121.3195
35.85,-8.392149,6.821016,130.8922
35.86,-2.203418,6.07377,124.4894
35.87,-9.292676,8.717872,133.3917
35.88,-2.318379,7.33834,150.6476
35.89,-9.541759,8.928633,156.745
35.9,-5.479805,4.100274,155.1595
35.91,-4.809199,9.580078,157.3544
35.92,-6.342012,6.571934,169.4275
35.93,-7.127578,9.848321,176.9275
35.941,-5.077442,8.181387,186.5006
35.95,-6.552774,9.273516,192.5372
35.96,-0.7664063,7.855664,190.7078
35.97,-6.916817,10.42313,205.1594
35.98,-4.311035,7.529942,209.0012
35.99,-0.1724414,9.101074,203.3917
36.007,-1.571133,11.64938,214.7946
36.01,-1.571133,11.66854,210.2216
36.02,-3.008145,10.17404,224.9172
36.03,-2.241738,8.52627,223.82
36.041,0.07664063,10.17404,228.2105
36.05,-2.586621,8.411309,226.5648
36.062,1.24541,10.21236,227.1749
36.07,-2.145938,9.829161,234.3091
36.08,-1.302891,11.11289,230.3457
36.09,2.567461,9.599238,229.3091
36.1,-2.778223,11.13205,234.9188
36.11,3.257227,10.44229,245.5286
36.12,-4.981641,10.3848,245.1648
36.13,5.518125,9.216036,234.1303
36.141,-2.47166,9.062755,247.607
36.15,6.303692,8.641231,236.4516
36.16,1.360371,12.60738,244.2585
36.17,0.09580079,8.181387,248.2209
36.182,2.375859,12.87563,242.8535
36.19,3.353028,6.725215,232.1212
36.2,4.655918,10.32732,234.5592
36.21,3.65959,10.57641,235.046
36.22,4.751719,7.453301,242.1187
36.23,5.460645,10.0016,239.1305
36.261,5.633086,6.974297,233.0912
36.27,4.061953,10.21236,236.0757
36.28,8.890313,7.740704,234.7309
36.29,6.207891,6.188731,228.5701
36.3,9.388477,6.840176,228.0801
36.31,5.786367,6.725215,231.0657
36.32,6.514453,7.414981,230.3922
36.33,10.3848,5.863008,223.0114
36.34,7.817344,6.744375,218.6793
36.35,10.97877,4.655918,219.1034
36.633,8.756192,0.2874024,130.8093
36.641,8.698711,-3.314707,127.7601
36.65,10.25068,-4.253555,117.0893
36.66,7.874825,-0.1149609,113.6767
36.67,10.69137,-3.65959,116.3018
36.681,7.012618,-1.053809,110.4523
36.69,7.932305,-5.767207,112.4066
36.7,11.32365,-2.950664,109.6058
36.711,8.641231,-5.843848,96.86536
36.722,12.05174,-2.644102,86.444
36.93,8.200547,-6.935977,26.3844
36.94,12.37746,-5.173243,26.99746
36.95,6.207891,-6.686895,38.76752
36.962,12.87563,-5.728887,34.44096
36.97,4.464316,-6.974297,42.31315
36.981,5.077442,-4.713398,35.06551
36.99,12.31998,-6.342012,14.52307
37.001,3.027305,-5.939649,12.15347
37.011,11.55357,-5.115762,19.10892
37.02,1.571133,-5.939649,34.11034
37.032,9.445957,-6.782696,34.41568
37.042,1.26457,-6.437813,21.4293
37.05,11.07457,-6.571934,11.73559
37.062,8.602911,-5.575606,10.02736
37.07,2.49082,-5.556446,24.90262
37.08,11.24701,-7.529942,25.38763
37.091,4.138594,-8.123906,26.11561
37.104,10.17404,-6.456973,26.8436
37.11,5.690567,-4.100274,22.08631
37.121,8.353828,-6.686895,22.14623
37.132,6.016289,-3.563789,29.585
37.14,7.510782,-9.311836,26.65738
37.15,6.246211,-5.671406,18.12001
37.161,7.683223,-8.717872,19.39956
37.172,4.88584,-4.483477,24.15505
37.18,8.56459,-6.246211,27.08142
37.191,7.37666,-7.798184,23.72716
37.2,9.445957,-6.476133,19.76329
37.21,6.667735,-7.30002,22.93284
37.221,5.173243,-5.000801,21.34399
37.24,5.518125,-4.88584,13.23074
37.25,9.292676,-7.970625,10.6053
37.26,4.464316,-6.418653,13.59151
37.271,8.909473,-7.836504,9.68964
37.28,3.755391,-6.188731,8.470557
37.29,7.3575,-5.633086,5.300398
37.3,8.028106,-8.008945,-4.333318
37.31,3.870352,-5.115762,-4.331897
37.321,7.510782,-7.874825,-9.754188
37.332,4.081113,-5.326524,-7.615502
37.352,4.617598,-5.441484,-17.48787
37.36,9.541759,-6.456973,-25.41252
37.371,6.13125,-7.434141,-28.52262
37.38,5.441484,-4.82836,-21.75458
37.391,5.058281,-6.686895,-25.35249
37.404,6.13125,-5.000801,-28.70648
37.41,9.599238,-7.37666,-39.98857
37.421,4.042793,-6.227051,-42.92148
37.432,9.120234,-7.070098,-41.28122
37.44,3.487149,-5.384004,-35.49309
37.46,8.411309,-6.514453,-51.34827
37.47,3.046465,-5.652246,-49.0309
37.481,6.418653,-5.288203,-50.85653
37.492,4.100274,-6.648574,-37.92607
37.5,12.97143,-6.667735,-30.42334
37.511,5.863008,-6.744375,-37.92044
37.52,10.36565,-6.03545,-48.03913
37.53,7.012618,-2.43334,-43.88844
37.54,8.047266,-9.177715,-31.01933
37.551,9.081915,-4.004473,-29.55158
37.57,4.311035,-3.046465,-33.57245
37.581,8.411309,-5.958809,-27.04538
37.59,4.617598,-4.445157,-24.11655
37.601,12.60738,-6.591094,-21.24801
37.612,6.265371,-7.089258,-30.20927
37.62,12.28166,-5.652246,-28.0117
37.631,6.07377,-1.16877,-15.20356
37.64,7.759863,-9.158555,-17.21331
37.652,9.388477,-4.176914,-17.14907
37.66,8.411309,-7.050938,-20.74543
37.672,5.019961,-2.759063,-15.31903
37.68,10.55725,-5.307364,-11.8447
37.691,5.230723,-3.372188,-14.71227
37.7,11.51525,-5.939649,-19.53019
37.71,6.571934,-5.058281,-15.38471
37.72,6.437813,-3.908672,-12.82511
37.73,12.18586,-5.115762,-19.71673
37.74,7.721543,-4.349356,-31.24249
37.75,12.20502,-4.406836,-35.69509
37.76,3.391348,-4.82836,-30.57451
37.772,11.64938,-4.636758,-38.1357
37.78,2.759063,-5.269043,-32.95342
37.79,10.3848,-2.912344,-49.90507
37.8,10.78717,-5.498965,-62.46648
37.81,3.142266,-4.368516,-63.74739
37.82,9.848321,-5.479805,-59.65758
37.83,4.157754,-4.081113,-62.03119
37.84,10.42313,-2.720742,-72.69748
37.85,5.594766,-3.506309,-85.8028
37.86,10.02076,-2.203418,-94.51785
37.871,9.445957,-5.096602,-100.9198
37.88,6.533614,-2.567461,-102.3206
37.89,10.07824,-2.069297,-106.5269
37.9,6.878496,-1.26457,-113.7819
37.91,9.580078,-1.858535,-119.8784
37.92,9.982442,-3.67875,-127.8685
37.93,9.330997,-1.896856,-137.0781
37.94,9.637559,-3.467988,-142.2633
37.95,8.085587,-0.2107617,-145.3144
37.96,8.62207,-1.437012,-148.4875
37.972,8.50711,1.072969,-156.537
37.98,8.200547,-1.609453,-158.1247
37.99,11.20869,-1.705254,-170.9921
38,8.296348,1.609453,-179.9571
38.01,12.51158,1.034649,-186.544
38.02,7.223379,1.398691,-176.118
38.03,10.07824,-1.130449,-175.4481
38.04,12.53074,2.184258,-184.4733
38.05,11.41945,0.2682422,-201.9741
38.06,12.20502,2.509981,-208.3164
38.072,13.71867,3.544629,-214.7804
38.08,9.75252,2.49082,-206.6726
38.09,3.966152,2.739902,-196.6129
38.1,13.18219,4.579278,-211.5531
38.11,8.56459,1.647774,-226.1276
38.12,13.31631,5.019961,-226.2484
38.13,6.763535,2.701582,-219.4789
38.14,6.629415,6.11209,-218.868
38.15,11.86014,4.790039,-224.6595
38.16,6.571934,7.280859,-232.7072
38.171,10.3848,5.997129,-235.146
38.18,7.31918,5.000801,-244.6574
38.19,6.303692,7.702383,-240.2058
38.2,6.840176,6.418653,-239.4126
38.21,6.744375,7.395821,-241.6682
38.22,8.392149,6.16957,-244.0481
38.23,5.690567,6.514453,-251.9158
38.24,7.951465,6.533614,-254.4786
38.25,5.192402,7.587422,-249.4194
38.26,5.537285,10.289,-247.592
38.272,4.540957,9.311836,-248.8127
38.28,5.613926,9.675879,-248.6945
38.29,5.403164,8.200547,-254.6725
38.3,2.874024,10.84465,-252.4799
38.31,4.617598,8.52627,-247.4214
38.32,1.973496,11.63022,-244.8608
38.33,4.368516,9.560919,-242.605
38.34,3.67875,8.928633,-246.02
38.35,3.736231,9.7142,-248.8862
38.36,1.20709,9.292676,-242.2402
38.372,2.912344,8.851993,-240.7157
38.38,-0.2107617,9.388477,-235.8983
38.39,0.7664063,9.944121,-238.1542
38.4,2.567461,8.890313,-242.9101
38.41,-2.184258,8.909473,-239.7391
38.42,0,10.1932,-234.4964
38.43,-2.931504,9.733359,-233.827
38.44,0.7855664,9.81,-235.7184
38.45,-1.053809,9.7142,-242.3661
38.461,-3.410508,10.53809,-245.2941
38.48,-5.134922,10.25068,-237.9816
38.49,-1.24541,9.024434,-240.301
38.5,-6.16957,9.79084,-244.0838
38.51,-1.858535,8.54543,-251.2202
38.52,-4.655918,7.913145,-253.7234
38.53,-5.824688,8.468789,-248.7877
38.54,-5.671406,8.028106,-248.2422
38.55,-6.016289,8.909473,-248.6723
38.56,-4.061953,7.529942,-252.0902
38.57,-6.476133,7.913145,-261.6659
38.582,-4.540957,6.342012,-260.8745
38.59,-6.571934,7.108418,-264.9637
38.6,-8.008945,8.947793,-258.2589
38.61,-5.613926,6.09293,-256.5541
38.62,-8.50711,6.686895,-259.7274
38.63,-6.610254,4.962481,-268.2665
38.64,-8.162227,5.901329,-269.3666
38.65,-8.62207,6.05461,-266.8082
38.66,-9.177715,5.479805,-264.5546
38.67,-8.717872,4.291875,-260.2889
38.681,-9.79084,4.82836,-259.0707
38.69,-8.737032,3.295547,-268.0991
38.704,-8.066426,2.088457,-257.3713
38.71,-10.11656,4.196074,-258.5922
38.72,-8.468789,1.839375,-253.837
38.73,-9.81,2.567461,-251.7648
38.74,-7.606582,0.1341211,-256.3998
38.75,-11.15121,1.686094,-253.7788
38.76,-7.836504,1.686094,-244.4504
38.77,-11.76434,0.4215235,-240
38.781,-8.085587,0.2299219,-236.8906
38.79,-8.162227,-2.318379,-249.5748
38.8,-12.68402,-0.1341211,-246.5878
38.81,-9.77168,-3.65959,-236.4057
38.82,-11.93678,-1.666934,-227.6852
38.83,-3.487149,-2.912344,-231.3427
38.84,-11.20869,-2.988985,-245.4879
38.85,-1.954336,-3.429668,-247.5601
38.86,-12.4541,-2.797383,-233.9005
38.87,-10.42313,-3.314707,-221.9486
38.881,-13.50791,-3.161426,-223.3507
38.89,-8.315508,-4.253555,-234.6302
38.9,-1.858535,-5.441484,-252.8002
38.91,-13.62287,-4.655918,-249.8118
38.92,-2.030977,-5.441484,-234.3225
38.93,-12.33914,-8.143066,-227.3699
38.94,-5.575606,-2.165098,-234.5635
38.95,-2.797383,-6.935977,-252.4889
38.96,-4.215235,-3.506309,-267.3655
38.97,-3.832031,-9.005274,-269.2541
38.981,-8.047266,-7.510782,-275.5338
38.99,-3.218906,-8.794512,-266.3239
39.007,-3.487149,-6.150411,-281.7482
39.01,-3.487149,-6.13125,-283.3328
39.02,-2.778223,-8.583751,-286.6242
39.03,-2.356699,-8.56459,-295.5863
39.04,-3.927832,-8.679551,-306.1948
39.05,0.05748047,-8.123906,-314.3033
39.06,-4.061953,-7.664063,-316.6191
39.07,1.705254,-8.43047,-315.4599
39.091,-0.2874024,-6.821016,-318.203
39.1,-2.356699,-10.48061,-323.4455
39.11,2.280059,-4.176914,-347.5911
39.12,4.215235,-8.890313,-346.8568
39.13,-1.724414,-9.273516,-340.3909
39.14,3.065625,-4.655918,-342.0956
39.15,0.5173243,-7.2617,-348.1297
39.16,2.43334,-5.422325,-354.3466
39.17,4.579278,-8.238868,-360.3811
39.181,0.2299219,-3.793711,-365.6838
39.2,0.8813672,-3.161426,-355.3746
39.21,5.230723,-3.257227,-359.5188
39.22,4.138594,-5.556446,-361.5934
39.23,6.821016,-3.966152,-370.0704
39.24,4.406836,-5.249883,-367.4499
39.25,2.548301,-0.8813672,-358.7927
39.26,7.31918,-4.119434,-358.6721
39.27,6.706055,-1.820215,-361.9647
39.28,10.74885,-3.832031,-369.0987
39.29,5.479805,-1.20709,-368.4888
39.301,10.44229,-1.743574,-367.696
39.311,6.246211,0.6514453,-360.5619
39.321,12.33914,-0.6322852,-359.0989
39.33,7.510782,-0.9005274,-369.77
39.34,14.0444,0.9196875,-366.9045
39.35,6.476133,2.145938,-355.3195
39.36,6.821016,3.123106,-346.7224
39.37,13.54623,2.874024,-343.9836
39.381,8.50711,1.456172,-356.3666
39.39,9.924961,5.709727,-356.1888
39.401,8.143066,1.628613,-352.5328
39.41,7.568262,6.648574,-328.7574
39.42,5.863008,3.755391,-327.5364
39.43,9.388477,5.019961,-338.3282
39.44,8.162227,8.602911,-338.5712
39.45,8.947793,6.284532,-330.7044
39.46,6.648574,8.698711,-321.1303
39.47,6.456973,3.467988,-316.374
39.48,6.859336,8.277188,-321.0079
39.49,6.955137,8.277188,-313.3248
39.501,4.406836,9.560919,-307.3491
39.511,5.958809,8.372989,-299.6662
39.52,4.86668,8.104747,-300.1544
39.53,7.165899,7.855664,-302.0452
39.54,3.65959,10.34649,-296.07
39.55,2.739902,11.22785,-287.8388
39.56,6.782696,9.618399,-282.3514
39.57,3.985313,8.756192,-289.7276
39.58,5.403164,10.26984,-290.7013
39.59,-2.624942,11.32365,-277.4677
39.601,1.686094,10.36565,-273.2594
39.61,-3.525469,8.411309,-259.477
39.62,3.69791,7.529942,-269.3627
39.63,-0.2682422,11.43861,-273.6971
39.64,1.820215,9.848321,-263.3364
39.65,-1.896856,13.12471,-252.7928
39.66,-1.666934,7.31918,-250.8467
39.67,-0.7472461,9.350157,-256.3953
39.68,-1.839375,8.047266,-253.8341
39.69,-3.123106,11.95594,-250.0535
39.701,-2.203418,10.30816,-246.09
39.711,-4.905,10.11656,-240.9688
39.72,-1.973496,8.468789,-245.5438
39.73,-2.854863,7.434141,-242.192
39.74,-6.150411,8.813672,-235.7914
39.75,-2.644102,6.456973,-232.8665
39.76,-5.633086,6.782696,-230.8561
39.77,-3.180586,6.859336,-235.5508
39.78,-7.280859,7.932305,-236.2819
39.79,-5.997129,7.33834,-228.2936
39.81,-6.07377,7.606582,-222.6238
39.82,-6.207891,5.939649,-226.1647
39.83,-9.675879,7.510782,-228.1798
39.84,-7.664063,5.977969,-219.951
39.85,-9.311836,7.242539,-213.9783
39.861,-4.905,5.288203,-211.2983
39.87,-8.698711,6.840176,-213.9226
39.88,-4.560117,3.793711,-215.6323
39.89,-10.95961,4.349356,-208.8053
